temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Chapter One: The Vanishing of Will Byers,15 Jul. 2016,8.6,"At the U.S. Dept. of Energy an unexplained event occurs. Then when a young Dungeons and Dragons playing boy named Will disappears after a night with his friends, his mother Joyce and the town of Hawkins are plunged into darkness."
1,2,Chapter Two: The Weirdo on Maple Street,15 Jul. 2016,8.5,Mike hides the mysterious girl in his house. Joyce gets a strange phone call.
1,3,"Chapter Three: Holly, Jolly",15 Jul. 2016,8.9,An increasingly concerned Nancy looks for Barb and finds out what Jonathan's been up to. Joyce is convinced Will is trying to talk to her.
1,4,Chapter Four: The Body,15 Jul. 2016,9.0,"Refusing to believe Will is dead, Joyce tries to connect with her son. The boys give Eleven a makeover. Jonathan and Nancy form an unlikely alliance."
1,5,Chapter Five: The Flea and the Acrobat,15 Jul. 2016,8.8,"Hopper breaks into the lab to find the truth about Will's death. The boys try to locate the ""gate"" that will take them to Will."
1,6,Chapter Six: The Monster,15 Jul. 2016,8.9,"Hopper and Joyce find the truth about the lab's experiments. After their fight, the boys look for the missing Eleven."
1,7,Chapter Seven: The Bathtub,15 Jul. 2016,9.1,The government comes searching for Eleven. Eleven looks for Will and Barb in the Upside Down.
1,8,Chapter Eight: The Upside Down,15 Jul. 2016,9.4,Joyce and Hopper are taken in for questioning. Nancy and Jonathan prepare to fight the monster and save Will.
2,1,Chapter One: MADMAX,27 Oct. 2017,8.3,"As the town preps for Halloween, a high-scoring rival shakes things up at the arcade, and a skeptical Hopper inspects a field of rotting pumpkins."
2,2,"Chapter Two: Trick or Treat, Freak",27 Oct. 2017,8.4,"After Will sees something terrible on trick-or-treat night, Mike wonders whether Eleven's still out there. Nancy wrestles with the truth about Barb."
2,3,Chapter Three: The Pollywog,27 Oct. 2017,8.7,"Dustin adopts a strange new pet, and Eleven grows increasingly impatient. A well-meaning Bob urges Will to stand up to his fears."
2,4,Chapter Four: Will the Wise,27 Oct. 2017,8.7,"An ailing Will opens up to Joyce -- with disturbing results. While Hopper digs for the truth, Eleven unearths a surprising discovery."
2,5,Chapter Five: Dig Dug,27 Oct. 2017,8.9,"Nancy and Jonathan swap conspiracy theories with a new ally as Eleven searches for someone from her past. ""Bob the Brain"" tackles a difficult problem."
2,6,Chapter Six: The Spy,27 Oct. 2017,9.2,"Will's connection to a shadowy evil grows stronger but no one's quite sure how to stop it. Elsewhere, Dustin and Steve forge an unlikely bond."
2,7,Chapter Seven: The Lost Sister,27 Oct. 2017,6.1,Psychic visions draw Eleven to a band of violent outcasts and an angry girl with a shadowy past.
2,8,Chapter Eight: The Mind Flayer,27 Oct. 2017,9.3,"An unlikely hero steps forward when a deadly development puts the Hawkins lab on lockdown, trapping Will and several others inside."
2,9,Chapter Nine: The Gate,27 Oct. 2017,9.4,Eleven makes plans to finish what she started while the survivors turn up the heat on the monstrous force that's holding Will hostage.
3,1,"Chapter One: Suzie, Do You Copy?",4 Jul. 2019,7.9,"Summer brings new jobs and budding romance. But the mood shifts when Dustin's radio picks up a Russian broadcast, and Will senses something is wrong."
3,2,Chapter Two: The Mall Rats,4 Jul. 2019,8.0,"Nancy and Jonathan follow a lead, Steve and Robin sign on to a secret mission, and Max and Eleven go shopping. A rattled Billy has troubling visions."
3,3,Chapter Three: The Case of the Missing Lifeguard,4 Jul. 2019,8.4,"With El and Max looking for Billy, Will declares a day without girls. Steve and Dustin go on a stakeout, and Joyce and Hopper return to Hawkins Lab."
3,4,Chapter Four: The Sauna Test,4 Jul. 2019,9.0,"A code red brings the gang back together to face a frighteningly familiar evil. Karen urges Nancy to keep digging, and Robin finds a useful map."
3,5,Chapter Five: The Flayed,4 Jul. 2019,8.6,"Strange surprises lurk inside an old farmhouse and deep beneath the Starcourt Mall. Meanwhile, the Mind Flayer is gathering strength."
3,6,Chapter Six: E Pluribus Unum,4 Jul. 2019,8.7,"Dr. Alexei reveals what the Russians have been building, and Eleven sees where Billy has been. Dustin and Erica stage a daring rescue."
3,7,Chapter Seven: The Bite,4 Jul. 2019,8.8,"With time running out - and an assassin close behind - Hopper's crew races back to Hawkins, where El and the kids are preparing for war."
3,8,Chapter Eight: The Battle of Starcourt,4 Jul. 2019,9.3,"Terror reigns in the food court when the Mind Flayer comes to collect. But down below, in the dark, the future of the world is at stake."
4,1,Chapter One: The Hellfire Club,2021,,
4,2,Episode #4.2,2021,,
4,3,Episode #4.3,2021,,
4,4,Episode #4.4,2021,,
4,5,Episode #4.5,2021,,
4,6,Episode #4.6,2021,,
4,7,Episode #4.7,2021,,
4,8,Episode #4.8,2021,,
4,9,Episode #4.9,2021,,
