temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,15 Feb. 2010,8.1,"A rival gang steals the Sons' stockpile of assault rifles, while Jax's ex-wife's drug overdose leads to an emergency c-section and life-threatening surgery for their baby."
1,2,Seeds,10 Sep. 2008,7.9,The club deals with the aftermath of their firearms warehouse attack as a new Deputy Chief of Police poses a new threat to SAMCRO.
1,3,Fun Town,17 Sep. 2008,8.2,"When a daughter of a Charming family is assaulted during a carnival, SAMCRO seeks justice and races against authorities to capture the assailant."
1,4,Patch Over,24 Sep. 2008,8.1,SAMCRO travel to Nevada to store their firearms with a fellow MC. Meanwhile the Mayans pose to be another threat.
1,5,Giving Back,1 Oct. 2008,8.3,"Gemma hosts a fundraiser, bringing back a familiar but not welcome face who has history with SAMCRO."
1,6,AK-51,8 Oct. 2008,8.1,With Clay in custody Jax has to step up as Piney's old friend turns out to be a problem for the MC.
1,7,Old Bones,15 Oct. 2008,8.2,"As buried secrets resurface in Charming, Clay has to deal with them. Meanwhile the MC looks to earn some money via Half-Sack's brawling."
1,8,The Pull,22 Oct. 2008,8.8,Samcro scrambles to raise cash as the IRA gun payment comes due. The Mayans and Nords take an extreme step to cement their alliance. And Jax finds himself in danger as his relationship with Tara deepens.
1,9,Hell Followed,29 Oct. 2008,8.3,"SOA plans revenge on a rival biker club while hosting the wounded Cameron Hayes in the clubhouse. Meanwhile, Jax, Bobby, and Opie strive to clear the gun debt forever."
1,10,Better Half,5 Nov. 2008,8.3,"As ATF agent Stahl pressures the women of SAMCRO, Jax looks to Chief Unser as the key to the club's freedom. Tara can't escape nightmares about Kohn. And Cherry reveals secrets about her past to Gemma."
1,11,Capybara,12 Nov. 2008,8.4,"One SOA member is arrested for murder. Another goes missing. Jax has to choose between the club and one of his closest friendships. At the hospital, Abel grows stronger, but he's not the only one coming home."
1,12,The Sleep of Babies,19 Nov. 2008,9.2,"The club needs cash to fund Bobby's defense, but Clay's strategy leaves them in a vulnerable position. Abel comes home for the first time. But the homecoming party ends in tragedy."
1,13,The Revelator,26 Nov. 2008,9.2,"After a tragedy hits the club, the bonds of brotherhood are called into question and Jax must take a stand."
2,1,Albification,29 Mar. 2010,8.7,"With the club divided in the wake of a tragic death, Clay sets up a new gun deal with the IRA."
2,2,Small Tears,29 Mar. 2010,8.2,"Jax's decision without the club's approval doesn't sit well with Clay, especially when it brings dangerous repercussions upon the MC."
2,3,Fix,22 Sep. 2009,8.2,"The League takes bold new steps in their quest to undermine Samcro, forcing the club to take explosive measures."
2,4,Eureka,29 Sep. 2009,8.3,"When the MC heads north on a ""charity"" club run, they find more than just bike trouble when they cross state lines. And with Samcro out of Charming, Gemma's left in a compromising position with The League."
2,5,Smite,6 Oct. 2009,8.7,"Charming and its small-town appeal become vulnerable to The League, which finds new ways to provoke SOA members. Tara's compassionate efforts to help a distraught Gemma don't go unpunished."
2,6,Falx Cerebri,13 Oct. 2009,8.8,Clay sets a course for retaliation; Gemma shows Tara how an old lady handles anger.
2,7,Gilead,20 Oct. 2009,8.9,The club must make new alliances in prison to survive.
2,8,Potlatch,27 Oct. 2009,8.6,"When Oswald puts up the bail money, SAMCRO are released from prison, but the split between Clay and Jax is wider than ever. Complicating matters, Caruso's thugs attack Luann's studio. In an effort to heal the tensions between her husband and son, Gemma organises a meal. Clay comes to an agreement with Oswald when he learns Jacob is planning to run for mayor. Chibs's estranged wife Fiona Larkin (Bellina Logan) shows up at his hospital bedside, much to Gemma's chagrin. Lin has a proposal for SAMCRO, who are surprised to learn Marstein is still alive. Given the accounting job at ..."
2,9,Fa Guan,3 Nov. 2009,8.3,"When SAMCRO's adult film business becomes a hindrance to the club, Clay seizes the opportunity to revive the gun-running cartel. As Jax and Clay continue to clash over club activities, their relationship reaches a new level of antagonism."
2,10,Balm,10 Nov. 2009,9.2,"While the repo business proves more fruitful than the club ever imagined, ATF Agent Stahl gets up close and personal with the MC. Meanwhile, tension between Jax and Clay forces Gemma to make a tough decision."
