temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Sonnie's Edge,15 Mar. 2019,8.3,"In the underground world of ""beastie"" fights, Sonnie is unbeatable -- as long as she keeps her edge."
1,2,Three Robots,15 Mar. 2019,8.0,"Long after the fall of humanity, three robots embark on a sightseeing tour of a post-apocalyptic city."
1,3,The Witness,15 Mar. 2019,7.8,"After seeing a brutal murder, a woman flees from the killer through the streets of a surreal city."
1,4,Suits,15 Mar. 2019,7.5,A community of farmers use their homemade mechs to defend their families from an alien invasion.
1,5,Sucker of Souls,15 Mar. 2019,6.5,"Unleashed by an archaeological dig, a bloodthirsty demon battles a team of mercenaries armed with... cats?"
1,6,When the Yogurt Took Over,15 Mar. 2019,6.9,"After scientists accidentally breed super-intelligent yogurt, it soon hungers for world domination."
1,7,Beyond the Aquila Rift,15 Mar. 2019,8.6,"Awakening after traveling light years off course, a ship's crew struggles to discover just how far they've come."
1,8,Good Hunting,15 Mar. 2019,8.1,The son of a spirit hunter forges a bond with a shape-shifting huli jing.
1,9,The Dump,15 Mar. 2019,6.3,"Ugly Dave calls the garbage dump home, and he's not about to let some city slicker take it away from him."
1,10,Shape-Shifters,15 Mar. 2019,7.5,"Deep in Afghanistan, two Marines with supernatural powers face a threat from one of their own kind."
1,11,Helping Hand,15 Mar. 2019,7.5,"Stranded in orbit, an astronaut must choose between life and limb before her oxygen runs out."
1,12,Fish Night,15 Mar. 2019,6.4,"After their car breaks down in the desert, two salesmen take a dreamlike voyage to the dawn of time."
1,13,Lucky 13,15 Mar. 2019,7.5,"After the drop-ship Lucky 13 lost two crews, no pilot would fly her... but rookies don't get a choice."
1,14,Zima Blue,15 Mar. 2019,8.4,The renowned artist Zima recounts his mysterious past and rise to fame before unveiling his final work.
1,15,Blind Spot,15 Mar. 2019,6.4,A gang of cyborg thieves stage a high-speed heist of a heavily armored convoy.
1,16,Ice Age,15 Mar. 2019,7.0,A young couple moves into an apartment and finds a lost civilization inside their antique freezer.
1,17,Alternate Histories,15 Mar. 2019,6.4,Want to see Hitler die in a variety of comically fantastic ways? Now you can. Welcome to Multiversity!
1,18,The Secret War,15 Mar. 2019,8.1,Elite units of the Red Army fight an unholy evil deep in the ancient forests of Siberia.
2,1,Episode #2.1,2020,,
