temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Uno,8 Feb. 2015,8.6,Struggling public defender Jimmy McGill constructs an elaborate yet questionable plan for winning back a pair of wealthy potential clients.
1,2,Mijo,9 Feb. 2015,9.0,Jimmy's latest scam has gone horribly wrong and he's face-to-face with violent criminals and being forced to talk his way out of a life-threatening situation.
1,3,Nacho,16 Feb. 2015,8.9,Jimmy must prove that Nacho is innocent when he is wrongly suspected of kidnapping.
1,4,Hero,23 Feb. 2015,8.6,Jimmy makes a bold move against Hamlin in an effort to attract potential clients.
1,5,Alpine Shepherd Boy,2 Mar. 2015,8.2,"After a strange encounter with the police, Chuck ends up in the hospital. Jimmy meets up with a series of unruly clients."
1,6,Five-O,9 Mar. 2015,9.5,Mike's days as a police officer in Philadelphia catch up to him when he's questioned about a tragic event from his past.
1,7,Bingo,16 Mar. 2015,8.8,"The Kettlemans seek Jimmy as their lawyer after turning down an offer from HHM, going as far as attempting to blackmail him."
1,8,RICO,23 Mar. 2015,8.8,"Jimmy discovers the Sandpiper Retirement Home has been scamming his elderly clients, and prepares to take legal action."
1,9,Pimento,30 Mar. 2015,9.5,Chuck wants to transfer the Sandpiper case to HHM much to Jimmy's dismay. Mike gets a job offer working as a bodyguard.
1,10,Marco,6 Apr. 2015,8.7,Jimmy seizes an opportunity to reconnect with an old friend; Chuck adjusts to a new way of life.
2,1,Switch,15 Feb. 2016,8.4,Jimmy decides to quit the law after turning down a job at Davis & Main. Mike breaks ties with a former associate.
2,2,Cobbler,22 Feb. 2016,8.6,"While Mike attempts to track down Pryce's stolen baseball cards, Jimmy must defend him when the police call him in for further questioning."
2,3,Amarillo,29 Feb. 2016,8.4,Jimmy struggles with client outreach and decides to shoot a TV commercial for Davis & Main. Mike begins an investigation.
2,4,Gloves Off,7 Mar. 2016,9.0,Jimmy and Kim face the repercussions of the TV commercial. Mike makes a deal with Nacho in regards to his newest job offer.
2,5,Rebecca,14 Mar. 2016,8.1,Jimmy chafes under his restrictive work environment; Kim goes to extremes to dig herself from a bottomless hole at HHM.
2,6,Bali Ha'i,21 Mar. 2016,8.5,"Jimmy finds comfort in familiarity; Kim receives a life-changing proposal; when he is threatened, Mike finds himself pushed to the limit."
2,7,Inflatable,28 Mar. 2016,8.5,"When Mike's hand is forced, he can no longer hide his frustration; Mike and Jimmy work together to keep the peace."
2,8,Fifi,4 Apr. 2016,8.5,Mike aims to settle the score with an enemy; an unexpected opportunity presents itself to Jimmy.
2,9,Nailed,11 Apr. 2016,9.4,Mike takes a methodical approach to his mission; someone questions Chuck's capabilities; Jimmy faces a personal dilemma.
2,10,Klick,18 Apr. 2016,9.1,Jimmy must make a hard choice; Mike takes control of matters; Hamlin delivers shocking news.
3,1,Mabel,11 Apr. 2017,8.2,"As Chuck plots his next move, another lie comes back to haunt Jimmy. A rattled Mike tries to find out who's been tracking his movements - and how."
3,2,Witness,17 Apr. 2017,9.1,Jimmy and Kim hire an assistant; Mike seeks out a mysterious acquaintance; and Chuck uses the law to gain an advantage over Jimmy.
3,3,Sunk Costs,24 Apr. 2017,8.6,"Jimmy decides to represent a new client, much to Kim's dismay. Meanwhile, Mike meets a formidable ally who presents him an enticing offer."
3,4,Sabrosito,1 May 2017,9.0,"Jimmy calls in a favor from Mike. Meanwhile, new complications disrupt the Salamancas' business; and Chuck and Jimmy struggle to compromise."
3,5,Chicanery,8 May 2017,9.7,Kim and Jimmy face off with an adversary. Jimmy looks to Chuck's past to secure his future. Jimmy loses an ally and gains another.
3,6,Off Brand,15 May 2017,8.6,Jimmy embarks on a new endeavor. Chuck pushes himself to the limit. Nacho finds himself ensnared in a power struggle.
3,7,Expenses,22 May 2017,8.4,Jimmy tries to settle his debts. Nacho reunites with an old acquaintance. Mike helps Stacey with a project and makes a meaningful connection.
3,8,Slip,5 Jun. 2017,8.7,Jimmy is pushed to desperate measures. Nacho picks up a skill and Mike explores an alliance. Kim stands up to Hamlin.
3,9,Fall,12 Jun. 2017,8.9,Jimmy visits an old friend and takes up a new pastime; Chuck and Hamlin spar over the future of the firm; and Kim faces challenges at work.
3,10,Lantern,19 Jun. 2017,9.2,"Kim resolves to take some time off from work, while Jimmy does his best to make amends; Nacho takes a major gamble with his future; Hamlin applies pressure on Chuck to finally make a decision."
4,1,Smoke,6 Aug. 2018,8.4,Jimmy struggles to cope with Chuck's tragic incidence. Mike ponders his role at Madrigal. Howard makes a startling confession.
4,2,Breathe,13 Aug. 2018,8.9,Jimmy seeks new employment. Gus navigates the fallout from Hector's collapse. Kim endeavors to support Jimmy in the wake of Chuck's death.
4,3,Something Beautiful,20 Aug. 2018,8.6,"Jimmy puts a risky plan into motion; as alliances shift, Nacho finds himself in the crosshairs; Kim contemplates her future."
4,4,Talk,27 Aug. 2018,8.3,A restless Jimmy embarks on a new endeavor while Mike burns bridges; Kim pursues her bliss; Nacho tries to survive a turf war.
4,5,Quite a Ride,3 Sep. 2018,8.7,Jimmy identifies a new market for his talents; Mike vets a potential partnership; Kim drives a hard bargain.
4,6,Piñata,10 Sep. 2018,8.7,"While Jimmy daydreams about reconstituting Wexler-McGill, Kim sets out to secure her own future; Mike puts a plan into motion for Gus."
4,7,Something Stupid,17 Sep. 2018,8.5,Jimmy runs into a problem as he expands his business that only Kim can solve. Gus gets involved in Hector's medical care. Mike has to deal with a setback.
