temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,27 Feb. 2017,7.5,"Agent Malotru returns to Paris after 6 yrs undercover in Damascus and begins training Marina Loiseau, a future undercover agent in Iran. Agent Cyclone goes missing after a DUI arrest in Algeria and the department comes together to find him."
1,2,Episode #1.2,27 Apr. 2015,7.7,"With Cyclone still missing, the Bureau now has to handle the ex-filtration of another asset in Algeria. Malotru rekindles his relationship with Nadia, but his guilt and paranoia soon make him question her loyalty. At the same time, the Bureau is cleaning Marina's record so as not to put her mission or ""legend"" at risk."
1,3,Episode #1.3,4 May 2015,7.8,"Malotru tests Gherbi's loyalty by luring him into a trap. Nadia's regular ""night-outs"" soon arouse the suspicion of a Syrian agent, Nadim. Malotru finally confronts Nadia about her lies, demanding to know the true reason of her presence in Paris. Meantime, Marina infiltrates the Paris Institute of Earth Physics but is quickly put to the test by her superior."
1,4,Episode #1.4,4 May 2015,8.0,"Malotru attempts to find out whether or not the Algerians are holding Cyclone in detention. He also discovers that Nadia has been taking part in secret negotiations. Realizing that their affair is putting her life in danger, Malotru covers up his tracks from the DGSE to protect Nadia. Meanwhile, Reza starts flirting with Marina, who must find a way to rebuff his advances without humiliating him."
1,5,Episode #1.5,11 May 2015,8.0,"Sisteron follow Cyclone across the Mediterranean to Algiers, where he harshly has his woman arrested by Algerian officers..Meanwhile a certain Pigalle enters Malotru's channel, while he must remain Lefebvre to protect Nadia. Marina is arrested, suspected of being an Iranian spy I Reza's service. A Syrian academic is warned by her secret service to be more cooperative. The brass worries whether to cancel an international operation on insufficient indications, or risk a disaster."
1,6,Episode #1.6,11 May 2015,8.2,"While attempting to trade his Intel on Cyclone, Malotru needs to uncover Pigalle's true identity. Still on a mission to unmask Malotru, Nadim locates Prune and starts inquiring about him. Meanwhile, Marina must act quickly to keep Jérôme from going to Iran after he has been picked by Reza to accompany him there."
1,7,Episode #1.7,18 May 2015,8.0,"Kerbouche finally unveils the truth about Cyclone's life-or-death situation, which requires immediate action from the Bureau. The DGSE sets out to recruit Nadia, but Marie-Jeanne, doubtful about Malotru's intentions, is not convinced that she will accept the offer. Marie-Jeanne also sets out to teach Marina a lesson and show her the dangers of emotional attachment."
1,8,Episode #1.8,18 May 2015,8.1,"The DGSE recruits Lefkir's secretary to plant a tracking device on him. Meantime, Nadia, devastated by Malotru's revelations, cannot set out to betray her country and refuses to join the DGSE. Nadim uses her emotional breakdown to get her confession. Finally, Marina is introduced to Reza's wife Azar and finds that she is asking far too many questions."
1,9,Episode #1.9,25 May 2015,8.1,"The DGSE pretends to accept a deal offered by the Algerian DG, but Malotru is secretly working on a plan B to avoid their interference. Meanwhile, Malotru finds out that the Syrians have imprisoned Nadia. If Malotru wants to save her, he must cooperate. At last, Marina passes her final intelligence test - an interrogation while under the influence - and leaves the country for Iran."
1,10,Episode #1.10,25 May 2015,8.3,"At the DGSE, Sisteron is anxiously waiting for Cyclone's release. Malotru takes a few days off the operation and secretly meets up with the CIA. All the while, Marie-Jeanne starts to worry when she discovers that Marina has been removed from her plane to Iran at a stopover in Georgia."
2,1,Episode #2.1,9 May 2016,7.9,"After 4 Months working undercover as the CIA's mole inside the DGSE, Malotru is threatening to cut ties with the Americans unless they take action to save Nadia, who is still held prisoner. While Marina discovers the indiscretions of Iran's gilded youth, the DGSE faces a major crisis when one of ISIS's executioners is revealed to be French and must be neutralized."
2,2,Episode #2.2,9 May 2016,8.1,"Malotru secretly bypasses his superiors to oversee Marina's mission in Iran as she is getting closer to Shapur Zamani, the son of a high-ranking Iranian official. Nadia is transferred to Syria and placed under house arrest. Meanwhile in Paris, Cyclone returns to duty to get closer to the French Jihadist's family and Duflot is on a hunt for the mole operating inside the Bureau."
2,3,Episode #2.3,16 May 2016,8.1,"The Bureau is orchestrating an operation to recruit Sabrina, the French Jihadist's sister. Meantime, Marina tries to learn more about Shapur's professional life, unaware that he is being watched by the Pasdarans. Malotru asks Celine to update him on Nadia's status in Syria, where she's being interrogated by one of the most devious judges of the regime."
2,4,Episode #2.4,16 May 2016,8.0,"When Marina's mission becomes compromised, she is ex filtrated to Paris and forced to distance herself from Shapur. But without his access to the young Iranian, Malotru loses his only leverage with the CIA to secure Nadia's rescue. In Paris, the Bureau's mission to neutralize the French Jihadist takes a step forward thanks to Sabrina and Sisteron."
2,5,Episode #2.5,23 May 2016,8.5,"The DGSE no longer knows whom to trust with its missions and its agents. Malotru's double game backfires and Sisteron is on the front line for a risky mission: Sabrina and him are set to meet the French Jihadist at the Syrian border. Meanwhile, Shapur becomes a priority target again for the DGSE."
2,6,Episode #2.6,23 May 2016,8.4,"Sisteron's critical situation becomes the priority at the DGSE, where the hunt for the CIA's mole is still ongoing. Malotru is assigned to a new mission to help neutralize the French Jihadist. Finally, Nadia discovers that freedom comes with a price."
2,7,Episode #2.7,30 May 2016,8.1,"When Nadia holds the DGSE accountable, they take action to ensure her safety thanks to Malotru's inspired input. Meanwhile, Shapur is about to be recruited as an asset and Malotru is resorting to unorthodox methods to bring an end to his mission regarding Toufik Boumaza."
2,8,Episode #2.8,30 May 2016,8.0,"Still embarked on their delicate mission, Celine and Malotru have to manipulate Andreas Schnabel, a German journalist with connections inside ISIS. Duflot is also struggling to understand how the Americans managed to double-cross them on their own ground."
2,9,Episode #2.9,6 Jun. 2016,8.5,"Shapur's carelessness puts Marina in serious danger. Meantime in Paris, the DGSE is holding the CIA accountable and demanding to know their mole's identity. Finally, the mission to neutralize the French Jihadist ends up in serious jeopardy and Malotru has to put his life on the line to achieve his end."
2,10,Episode #2.10,6 Jun. 2016,8.9,"In Iran, Marina is being transferred to another prison. Meanwhile in Raqqa, Malotru is bent on bringing an end to his mission and finds himself waiting to meet Toufik with Schnabel."
3,1,Episode #3.1,22 May 2017,7.9,"Malotru is still held captive by DAESH and the DGSE enlists Nadia to set up a risky rescue mission. Tensions mount as the CIA is afraid that Malotru's release could bring his treason to the public light. Meanwhile, Marina is still traumatized by her ordeal in Iran and is sinking deeper into paranoia."
3,2,Episode #3.2,22 May 2017,7.9,"As negotiations begin between the DGSE and Daech, via Nadia, Malotru sees a glimmer of hope: one of his jailers is a mole of the Russian secret services and can help. Duflot tries to help Marina overcome her trauma."
3,3,Episode #3.3,29 May 2017,8.0,"The FSB agent likely to help Malotru is wounded in battle, and Malotru loses hope. Marina is approached by Philippe, a man who claims to belong to the DGSE. He wants to recruit her on behalf of Mossad."
3,4,Episode #3.4,29 May 2017,8.0,"Cochise, a high-ranking DAESH general, is ready to defect. The Russian mole returns with new orders from the FSB: let Malotru rot in his cell. Philippe begins to train Marina and asks her to speak at a conference in Baku."
3,5,Episode #3.5,5 Jun. 2017,8.5,"Malotru and the Russian struggle for survival in hostile terrain while they are actively hunted by jihadists. Duflot is preparing to go on the ground, in Syria, to meet Cochise. It is for him the only chance to get Malotru out of Daech's hell. As for Marie-Jeanne, she replaces Duflot at the head of the Bureau."
3,6,Episode #3.6,5 Jun. 2017,8.2,"Malotru can only rely on himself and must fight alone to hope to escape his pursuers. Duflot, who had just left office at the head of the Bureau, went to meet Cochise on the banks of the Euphrates. In Baku, Marina is offered a post at the Institute of Seismology."
3,7,Episode #3.7,12 Jun. 2017,8.5,"In Baku, Marina is caught up in paranoia, which complicates her mission. During an interview under high tension, Duflot meets Cochise and negotiates his defection, on condition that Malotru be released."
3,8,Episode #3.8,12 Jun. 2017,8.6,"The DGSE lives in dark hours, and Marie-Jeanne is on the front line to stay the course. The director-general decides to carry out an operation to free Malotru while ex-filtering Cochise. In Baku, Marina realizes the mission entrusted to her by the Mossad and implants a computer virus."
3,9,Episode #3.9,19 Jun. 2017,8.5,"The Bureau is putting all its resources to find Malotru. Nadia and Prune are put to work on this mission, but Malotru, as a professional, is extremely cautious. In Baku, the wind turns for Marina: Philippe realizes that she is perhaps not as novice as she claims."
3,10,Episode #3.10,19 Jun. 2017,9.0,"Marina is sequestered by Philippe, and the Mossad is ready to get rid of her; she must get out of there. At the same time, at the DGSE, Marie-Jeanne is more determined than ever to stop Malotru during a secret meeting of the latter with Nadia."
4,1,Episode #4.1,23 Oct. 2018,8.3,"Chased by the DGSE and the CIA all the way to Moscow, Malotru tries to negotiate his return to France. The DGSE's new head of Internal Security, JJA, initiates a full-spectrum audit of The Bureau and its new chief Marie-Jeanne, with the clear-cut intention of severing a few heads in the process."
4,2,Episode #4.2,22 Oct. 2018,8.2,"Dumped by the DGSE, Malotru comes out of hiding and is quickly located by the Russian secret services. At the DGSE, Liz manipulates Sisteron to cause distrust between him and Marie-Jeanne. Meanwhile, Jonas begins to suspect that his mission might be hiding an ulterior motive: to ultimately eliminate the Jihadists he has been targeting."
4,3,Episode #4.3,29 Oct. 2018,8.3,"Arrested for Espionage by the Russian secret services, Malotru is tossed aside and left to the mercy of other inmates. Back in France, the DGSE is striving to understand his motives before making a move. Marina's phone has been hacked and used in a cyber attack against the Boulgakov Centre. Back in Iraq, Jonas suspects that a seemingly repentant Jihadist may be playing him to sneak his way back to France."
4,4,Episode #4.4,29 Oct. 2018,8.2,"While under intense pressure from the FSB to cooperate, Malotru is considering how to approach a cyber operations officer. Back in France, Marie-Jeanne seeks Mag's advice, only to find out that JJA had coerced him to resign and that she could very well be next. Jonas hires an expert to infiltrate an Islamist financial network."
4,5,Episode #4.5,5 Nov. 2018,8.2,"Just as Karlov is beginning to lose patience, Malotru suggests recruiting Ellenstein. Back at the DGSE, Marie-Jeanne is monitoring a cyber attack, hoping to track down the person responsible for hacking Marina's phone. Meanwhile in Mosul, Jonas and Jean-Paul are searching for a way through the ravaged city to get to the Collector."
4,6,Episode #4.6,5 Nov. 2018,8.1,"Under Karlov's watchful gaze, Malotru initiates Ellenstein's recruitment. At the DGSE, Sisteron suspects that Cesar is not ready to go on a mission and will not be able to hold his legend undercover. Back in Raqqa, still under Daesh's occupation, Jonas and Jean-Paul join a battalion of Yazidi women to track down Iode 3."
4,7,Episode #4.7,12 Nov. 2018,8.1,"In Moscow, Malotru welcomes César, who has taken Ellenstein's identity. Back in Damascus, the Syrian authorities refuse to let either Jonas or Jean-Paul access the morgue, where Iode 3's body most likely lies."
4,8,Episode #4.8,12 Nov. 2018,8.2,"Karlov asks Malotru to join the FSB in Moscow. In Paris, Sisteron and the entire Bureau must answer to an inquiry questionnaire on Marie-Jeanne, which JJA intends to use against her during the next board meeting. Meanwhile, Marina is resenting the way the Bureau is using Micha, afraid to once again leave a trail of destruction in her wake."
4,9,Episode #4.9,19 Nov. 2018,8.6,"Sisteron warns Marina that her cover has been blown, but that her arrest could help on another crucial assignment. Meanwhile, Malotru parts ways with Samara and comes back to France, where he is to be held in solitary confinement. Back in Syria, Jonas has lost Iode 3's track and must turn to artificial intelligence to try and find him."
4,10,Episode #4.10,19 Nov. 2018,8.8,"In Ukraine, Malotru arrives at the exchange location to get Marina. But on the way back, their convoy deviates from the route initially agreed upon by the DGSE, forcing him to warn Sisteron. Back in Paris, Marie-Jeanne quickly understands that Malotru's life is at stake and confronts JJA and Ponte. Meanwhile, Jonas interrogates Iode 3 to try and prevent an impending terrorist attack in France."
5,1,Episode #5.1,6 Apr. 2020,7.7,"The DGSE is unsettled when an article about Malotru's death in Ukraine gets published. They open an investigation to find out how the Intel got out. The Bureau's director, JJA, has to handle his secret agents following this leak: César, in Russia, and Mille Sabord, a new agent posted in the Middle East, are particularly upset. This whole business awakens a bunch of demons from JJA's past. After being contacted by a powerful sheikh from a tribe in Sinai, Marie-Jeanne, an agent handler based in Egypt (Cairo), is forced to work with a disturbing spy from the Egyptian ..."
5,2,Episode #5.2,6 Apr. 2020,8.0,
5,3,Episode #5.3,13 Apr. 2020,8.1,
5,4,Episode #5.4,13 Apr. 2020,7.9,
5,5,Episode #5.5,20 Apr. 2020,7.8,
5,6,Episode #5.6,20 Apr. 2020,8.0,
5,7,Episode #5.7,27 Apr. 2020,8.4,
5,8,Episode #5.8,27 Apr. 2020,8.8,
5,9,Episode #5.9,4 May 2020,7.3,
