temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Your Will Shall Decide Your Destiny,12 May 2017,9.0,Anne arrives at Green Gables and struggles with fitting into her new environment.
1,2,"I Am No Bird, and No Net Ensnares Me",26 Mar. 2017,8.8,Filled with worry Matthew Cuthbert races to find Anne before it's too late.
1,3,But What Is So Headstrong as Youth?,2 Apr. 2017,8.9,"Anne is introduced to the inner social workings of public school, while Marilla is introduced to the inner social workings of Avonlea's progressive young mothers."
1,4,An Inward Treasure Born,9 Apr. 2017,8.9,"Anne and Marilla struggle with Anne's staunch boycott of the local school. A minister's backward advice has a reverse effect, causing Anne to fiercely challenge gender norms."
1,5,Tightly Knotted to a Similar String,16 Apr. 2017,9.0,"Anne is allowed to ask her best friend Diana over for afternoon tea, things start to go wrong when she looks for the Raspberry Cordial."
1,6,Remorse Is the Poison of Life,23 Apr. 2017,9.0,An emergency occurs in Diana's family while her Mom is away.
1,7,Wherever You Are Is My Home,30 Apr. 2017,9.0,"The Cuthberts vow to do whatever it takes to save the farm, which reminds Anne of the strength of friendship and love."
2,1,Youth Is the Season of Hope,6 Jul. 2018,8.6,"The Cuthberts' boarders stir excitement with a question: Could there be gold in Avonlea? Elsewhere, Gilbert makes a new friend at sea."
2,2,"Signs Are Small Measurable Things, But Interpretations Are Illimitable",6 Jul. 2018,8.5,"The steamer lands in Trinidad, bringing Bash face to face with his past. The Barrys get behind the gold rush, but Matthew and Marilla aren't so sure."
2,3,The True Seeing Is Within,6 Jul. 2018,9.0,An adventure away with the Barrys teaches Anne to trust her instincts. Marilla begins to suspect that her boarders aren't as innocent as they seem.
2,4,The Painful Eagerness of Unfed Hope,6 Jul. 2018,8.7,"Anne writes letters as an ""agent of romance"" while Diana trains at home to be a lady. A life-changing encounter steers Gilbert toward his destiny."
2,5,The Determining Acts of Her Life,6 Jul. 2018,8.8,A game of spin the bottle prompts burning questions about love and beauty. Anne and Cole bond over their differences as Gilbert makes his way home.
2,6,I Protest Against Any Absolute Conclusion,6 Jul. 2018,9.2,Anne faces the world with a shocking new look while the town preps for its annual Christmas pantomime. Gilbert and Bash join the Cuthberts for dinner.
2,7,Memory Has as Many Moods as the Temper,6 Jul. 2018,8.6,"Cole accompanies the girls to Aunt Josephine's for a lavish party filled with surprises. Back at home, Marilla's health takes a worrisome turn."
2,8,Struggling Against the Perception of Facts,6 Jul. 2018,8.8,"With a wedding on the horizon, Anne wonders what kind of bride she'd like to be. Marilla sees an oculist, and Bash meets a friendly face in ""The Bog""."
2,9,What We Have Been Makes Us What We Are,6 Jul. 2018,9.2,A brand-new teacher brings unconventional methods -- and a motorbike -- to Avonlea. Gilbert's plan to speed up his studies leaves Bash feeling lost.
2,10,The Growing Good of the World,6 Jul. 2018,9.3,"Anne rallies her friends to save Miss Stacy in the wake of a disastrous incident. Bash gets an unexpected gift, and Cole makes a surprising choice."
3,1,A Secret Which I Desired to Divine,22 Sep. 2019,9.2,Anne's sixteenth birthday inspires her to learn more about her genealogy.
3,2,There Is Something at Work in My Soul Which I Do Not Understand,29 Sep. 2019,9.0,"Anne's search takes her back to the orphanage, where she's forced to confront new realities. Meanwhile, Elijah pays a visit to Avonlea."
3,3,What Can Stop the Determined Heart,6 Oct. 2019,9.4,"As Easter approaches, Mary's illness brings change to Avonlea."
3,4,A Hope of Meeting You in Another World,13 Oct. 2019,9.2,"Ka'kwet travels to school, while Anne embarks on the next phase of her quest."
3,5,I Am Fearless and Therefore Powerful,20 Oct. 2019,9.3,A dance rehearsal generates sparks (and tension).
3,6,The Summit of My Desires,27 Oct. 2019,9.2,The Cuthberts gain a new perspective on Prince Edward Island
3,7,A Strong Effort of the Spirit of Good,3 Nov. 2019,9.4,Anne rallies the town to speak out against injustice.
3,8,Great and Sudden Change,10 Nov. 2019,9.3,The students sit for the Queens entrance exams.
3,9,A Dense and Frightful Darkness,17 Nov. 2019,9.3,Matthew and Anne journey to help Ka'kwet.
3,10,The Better Feeling of My Heart,24 Nov. 2019,9.7,Anne steps into the next chapter of her life.
