temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Empty House,9 Jul. 1986,8.1,"Believed dead after his fatal encounter with Professor Moriarity three years earlier, Sherlock Holmes returns to England to foil a plot to murder him by a former Moriarity gang member."
1,2,The Abbey Grange,16 Jul. 1986,8.2,Holmes is called to a manor house to investigate the brutal murder of a country lord with a fireplace poker and reconcile the story of his bruised and battered wife with the facts.
1,3,The Second Stain,23 Jul. 1986,7.9,"Holmes is asked by the country's Prime Minister to aid in the recovery of a stolen diplomatic letter, which, if published, might lead England into war."
1,4,The Musgrave Ritual,30 Jul. 1986,8.2,An obscure family document containing an enigmatic ritual holds the key to a hidden treasure if Holmes can decipher the mystery.
1,5,The Man with the Twisted Lip,6 Aug. 1986,8.2,"Responding to a grieving wife, Holmes investigates the apparent murder of her husband in an apartment above an opium den."
1,6,The Priory School,13 Aug. 1986,8.0,The headmaster of a prestigious prep school calls on Holmes for help when the ten year old only son of powerful but publicity-shy duke disappears.
1,7,The Six Napoleons,20 Aug. 1986,7.6,Inspector Lastrade reveals to Holmes that someone has been inexplicably breaking into homes for the senseless purpose of breaking small busts of Napoleon.
2,1,The Devil's Foot,6 Apr. 1988,8.2,"While convalescing in Cornwall, a depressive Holmes investigates the apparent death from apoplexy of a local woman and the unexplained sudden dementia of her two brothers."
2,2,Silver Blaze,13 Apr. 1988,7.6,Holmes investigates the disappearance of a champion racehorse and the murder of its trainer on a lonely moor.
2,3,Wisteria Lodge,20 Apr. 1988,7.7,A bored Holmes eagerly accepts a case involving the disappearance of an amateur Spanish cartographer as well as his servants from his rented country lodge.
2,4,The Bruce Partington Plans,27 Apr. 1988,8.2,Sherlock's brother Mycroft enlists his younger sibling to locate missing patent plans that pertain to a strategically critical state-of-the-art submarine.
