temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Chapter 1: The Hidden People,21 Sep. 2018,7.9,Hilda needs to find out who is attempting to evict her from her home.
1,2,Chapter 2: The Midnight Giant,21 Sep. 2018,8.9,Hilda talks with the giant; Hilda travels to the Elf King.
1,3,Chapter 3: The Bird Parade,21 Sep. 2018,8.4,Hilda helps a bird that has lost it memory.
1,4,Chapter 4: The Sparrow Scouts,21 Sep. 2018,7.7,"Having recently joined the Sparrow Scouts, Hilda joins new friends David and Frida on a mission to earn her very first badge in park beautification but trouble ensues when they realize a mysterious vandal has ruined all their hard work."
1,5,Chapter 5: The Troll Rock,21 Sep. 2018,7.8,The parent's evening becomes chaotic when Hilda makes a discovery about David's rock collection.
1,6,Chapter 6: The Nightmare Spirit,21 Sep. 2018,8.6,"Hilda, David and Frida try to figure out what's causing David's nightmares."
1,7,Chapter 7: The Lost Clan,21 Sep. 2018,8.1,"While trying to earn the botany badge, Hilda, Frida and David make a surprising discovery."
1,8,Chapter 8: The Tide Mice,21 Sep. 2018,8.4,Hilda turns to a mysterious book for tips to help her friends and family gain confidence.
1,9,Chapter 9: The Ghost,21 Sep. 2018,8.0,"Frida has a messy room and a lost book, the group finds a ghost is behind it so they will hunt it."
1,10,Chapter 10: The Storm,21 Sep. 2018,8.6,"Trolberg is caught in a storm, Hilda investigates the cause with the Great Raven."
1,11,Chapter 11: The House in the Woods,21 Sep. 2018,9.1,Lost in the wilderness Hilda tries to find her way back to Trollberg with the help of the reluctant woodman.
1,12,Chapter 12: The Nisse,21 Sep. 2018,8.4,"On the day of an overnight camping trip, Hilda tries to help a down-and-out house spirit while a mysterious beast roams Trolberg."
1,13,Chapter 13: The Black Hound,21 Sep. 2018,8.8,Hilda and her friends confront the Black Hound and unravel the mystery of its origin.
2,1,Troll Circle,22 Feb. 2020,9.8,
2,2,The Witch,22 Feb. 2020,0.0,
2,3,The Witches' Tower,Dec. 2020,,
2,5,The Windmill,Dec. 2020,,
