temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Le bambole,19 Nov. 2018,8.2,"The disappearance of her old friend, Lila Cerrullo, causes 60-year-old author Elena Greco to reflect on the early days of their friendship in 1950s Naples, when Elena and Lila are two very different girls at the top of their class. When the girls discover the underground lair of Don Achille, a criminal figure who controls the neighborhood, they decide to confront him, facing their fears together and laying the cornerstone of a lasting friendship and rivalry."
1,2,I soldi,19 Nov. 2018,8.8,[HBO] HD. 'I Soldi (The Money).' (Season One) Elena and Lila fight to continue their education; a death changes things in the neighborhood forever.
1,3,Le metamorfosi,25 Nov. 2018,8.4,"[HBO] HD. 'Le Metamorfosi (The Metamorphoses).' (Season One) Now teens, Elena and Lila struggle to connect as their futures diverge."
1,4,La smarginatura,26 Nov. 2018,8.6,[HBO] HD. 'Le Smarginatura (Dissolving Margins).' (Season One) Elena enters high school as Lila ignores her many suitors.
1,5,Le scarpe,2 Dec. 2018,8.2,"Elena grows tired of Gino, while Lila rejects two potential suitors at a cost; a rare outing into the city turns violent; Elena worries about not being there for Lila after accepting an invitation to spend the summer away from the neighborhood."
1,6,L'isola,3 Dec. 2018,8.9,"On the island of Ischia, Elena runs into the Sarratore family, reigniting her childhood crush on Nino; Lila's resistance to Marcello's pressing courtship reaches a breaking point; an unexpected encounter leaves Elena shaken on her 15th birthday."
1,7,I fidanzati,9 Dec. 2018,8.2,"Elena returns to Naples and finds out that Lila is romantically involved with Stefano, despite Marcello's advances. While Lila embraces that luxurious lifestyle Elena decides to reciprocate romantic advances."
1,8,La promessa,10 Dec. 2018,8.8,"The shoe sales are slow, so Stefano makes a deal with the Solares despite Lila's objections. Elena is thrown out of class for expressing her mind, she writes an article about that. Lila's wedding day arrives."
2,1,Il nuovo cognome,10 Feb. 2020,8.3,Lenu and Lila continue their lives in different path: Lila works in the shoe store and Elena returns to school.
2,2,Il corpo,10 Feb. 2020,8.5,Antonio is mad as Lenu for trying to stop his draft to the army. Stefano hits Lila and opens his heart to Lenu. Lila is mad at Lenu for trying to reconcile Stefano and her.
2,3,Scancellare,17 Feb. 2020,8.3,"Lila invests her energy into the grocery store, even on the expense of her health - But she refuses to have her photo in the shoe store. Elena is invited to a party at her teacher's home and Lila wants to join her."
2,4,Il bacio,17 Feb. 2020,8.5,"On Lila's request, Lenu joins her and Pinuccia at Ischia for the summer. They meet Nino Sarratore, and both are attracted to him."
2,5,Il tradimento,24 Feb. 2020,8.7,"Lila and Nino get dangerously close to each other during the summer vacation in Ischia. This breaks Lenu's heart, feeling twice betrayed."
2,6,La rabbia,24 Feb. 2020,8.5,"Following the vacation in Ischia Elena disconnects from Lila and Nino. Lila decides she cannot go on with her life, so she leaves Stefano and moves in with Nino. Elena travels to Pisa for her university studies. Antonio returns broken from him military service and looks for work."
2,7,I fantasmi,2 Mar. 2020,8.9,"Elena enjoys her life as a student in Pisa. When she is sick she reads the notebooks Lila gave her during her visit to Naples, and learns what Lila has gone through during the years."
2,8,La fata blu,2 Mar. 2020,9.2,"Elena graduates university, meets a man from a nice family and returns to Naples. When she returns home she is told that Lila left home with her son. While in Pisa Elena wrote a novel based on her life."
3,1,Episode #3.1,,,"Based on ""Those Who Leave and Those Who Stay"", the third book in author Elena Ferrante's quadrilogy."
