temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Chapter 1: The Mandalorian,24 Mar. 2020,8.7,"A Mandalorian bounty hunter tracks a target for a well-paying, mysterious client."
1,2,Chapter 2: The Child,15 Nov. 2019,8.7,"Target in hand, the Mandalorian must now contend with scavengers."
1,3,Chapter 3: The Sin,22 Nov. 2019,9.1,The battered Mandalorian returns to his client for his reward.
1,4,Chapter 4: Sanctuary,29 Nov. 2019,7.8,The Mandalorian teams up with an ex-soldier to protect a farming village from raiders.
1,5,Chapter 5: The Gunslinger,6 Dec. 2019,7.6,"On a familiar desert planet, the Mandalorian helps a rookie bounty hunter who is in over his head."
1,6,Chapter 6: The Prisoner,13 Dec. 2019,8.4,The Mandalorian is part of a crew of mercenaries springing a convict from a prison ship.
1,7,Chapter 7: The Reckoning,18 Dec. 2019,9.1,An old contact extends an invitation for the Mandalorian to make peace with his enemies.
1,8,Chapter 8: Redemption,27 Dec. 2019,9.3,"The Mandalorian and his allies come to know their true enemy, who already knows much about them."
2,1,Chapter 9: The Marshal,30 Oct. 2020,9.1,The Mandalorian is drawn to the Outer Rim in search of others of his kind.
2,2,Episode #2.2,6 Nov. 2020,,
2,3,Episode #2.3,13 Nov. 2020,,
2,4,Episode #2.4,20 Nov. 2020,,
2,5,Episode #2.5,27 Nov. 2020,,
2,6,Episode #2.6,4 Dec. 2020,,
2,7,Episode #2.7,11 Dec. 2020,,
2,8,Episode #2.8,18 Dec. 2020,,
3,1,Episode #3.1,,,
