temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Chapter 1: The Old Grist Mill,3 Nov. 2014,8.1,"Lost in the mysterious woods of the Unknown, two brothers named Wirt and Gregory run into a jaded old woodsman."
1,2,Chapter 2: Hard Times at the Huskin' Bee,3 Nov. 2014,8.5,A bluebird named Beatrice offers to guide Wirt and Greg to Adelaide of the Pasture (the good woman of the woods) and help them get home.
1,3,Chapter 3: Schooltown Follies,4 Nov. 2014,7.9,"Wirt, Greg, and Beatrice get all mixed up in the musical antics of a schoolhouse of animals."
1,4,Chapter 4: Songs of the Dark Lantern,4 Nov. 2014,8.4,"Beatrice is left out in the rain with a brainless horse while Wirt and Greg must ask for directions in a lively colonial tavern called ""The Dark Lantern."""
1,5,Chapter 5: Mad Love,5 Nov. 2014,8.1,"Is millionaire Quincy Endicott's sprawling mansion haunted by a beautiful ghost, or is the tea baron going mad?"
1,6,Chapter 6: Lullaby in Frogland,5 Nov. 2014,8.6,Wirt and Greg go on a lighthearted romp aboard the Frogland Ferry as they approach Adelaide of the Pasture.
1,7,Chapter 7: The Ringing of the Bell,6 Nov. 2014,8.9,"Wirt meets Lorna, a young woman forced to do housework by an odious witch with a magic bell."
1,8,Chapter 8: Babes in the Woods,6 Nov. 2014,8.2,"While Wirt and Greg lay down to rest, they're drawn into a dreamworld of cherubs, flowers, and clouds."
1,9,Chapter 9: Into the Unknown,7 Nov. 2014,9.2,The origin of Wirt and Greg's descent into the Unknown reveals itself.
1,10,Chapter 10: The Unknown,7 Nov. 2014,9.5,The Beast has come. The final chapter begins.
