temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Prologue to the Beginning and End,6 Apr. 2011,7.4,A scientist can't recall events that others claim he experienced.
1,2,Time Travel Paranoia,13 Apr. 2011,7.6,Okabe is surprised to see Makise up and about after she was killed.
1,3,Parallel Process Paranoia,20 Apr. 2011,7.7,Okabe suspects his microwave oven is behind the recent unusual events.
1,4,Interpreter Rendezvous...,27 Apr. 2011,7.4,Okabe needs to find a very old computer to hack a very new tech.
1,5,Starmine Rendezvous,4 May 2011,8.1,A successful hack reveals SERN's big secret.
1,6,Butterfly Effect's Divergence,11 May 2011,7.7,Okabe's small scale experiment is partially successful.
1,7,Divergence Singularity,18 May 2011,8.4,"Okabe takes his experimentation to the next level by texting the winning lotto numbers back in time, but he fails to consider how his actions might alter the present - or the future."
1,8,Chaos Theory Homeostasis I,25 May 2011,8.2,"The latest experiment for Okabe and his lab mates leads to the disappearance of one of their own. Next, they'll attempt to use their time travel technology to make a young boy's dream a reality."
1,9,Chaos Theory Homeostasis II,1 Jun. 2011,8.4,"Okabe grows concerned over the drastic changes his experimentation is causing, and the IBN-5100 disappears from the lab. The only hope for finding a replacement rests upon the delicate shoulders of Feyris the cat girl."
1,10,Chaos Theory Homeostasis III,8 Jun. 2011,8.1,"The part-time warrior from downstairs tells Okabe about the search for her missing father. Meanwhile, the aspiring mad scientist is troubled by a mysterious text message."
1,11,Dogma in Event Horizon,15 Jun. 2011,8.3,"As the lab members prepare to transport human memories by way of a Time Leap, Okabe receives some highly disturbing news: Makise may be a SERN spy!"
1,12,Dogma in Ergosphere,22 Jun. 2011,9.2,"Tension builds at the Lab when Makise and Suzuha both show up for the party, but that's just the beginning. As the night draws to a close, armed thugs - led by a familiar face - come looking for the time machine."
1,13,Metaphysics Necrosis,29 Jun. 2011,9.0,"Okabe, desperate to prevent the tragedy he's already seen happen, summons the courage for a daring Time Leap. Can he save the life of his oldest and dearest companion?"
1,14,Physically Necrosis,6 Jul. 2011,9.1,"Despite his many attempts, Okabe is unable to prevent the death of Mayuri, so he turns to Makise for help solving the riddle of time travel. Later, Suzuha's true identity is revealed"
1,15,Missing Link Necrosis,13 Jul. 2011,8.3,"Suzuha reveals the orgins of SERN's future totalitarianism. While she continues her work to destroy the organization, Okabe and Mayuri continue the search for Suzuha's father."
1,16,Sacrificial Necrosis,20 Jul. 2011,9.2,The truth about Suzuha's father is finally revealed. Okabe realizes the devastating consequences of stopping her from leaving the night of the party.
1,17,Made in Complex,27 Jul. 2011,8.4,"After the change in divergence fails to have a lasting effect, Okabe and Kurisu set out to further manipulate time in the hopes of gaining an IBN 5100."
1,18,Fractal Androgynous,3 Aug. 2011,8.1,"In a further attempt to rescue Mayuri from her fate, Okabe reveals Ruka's past to her. Ruka must make a difficult decision that might change her entire life."
1,19,Endless Apoptosis,10 Aug. 2011,8.6,Okabe must make a time leap in order to save Moeka from herself. He realizes that all is not what it seems as Moeka's shady behavior leads him closer to the IBN 5100.
