temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,0,Pilot,14 Apr. 2020,8.4,Young Endeavour Morse joins Inspector Fred Thursday's investigation into the disappearance of a schoolgirl named Mary Tremlett.
1,1,Girl,14 Apr. 2013,8.3,"The sudden death of a secretarial student and the shooting of a doctor appear unconnected, but Morse suspects otherwise."
1,2,Fugue,21 Apr. 2013,8.7,The strangulation of a married woman and the poisoning of an elderly botanist lead Morse to bring a serial killer to justice.
1,3,Rocket,28 Apr. 2013,8.3,An unpopular fitter is murdered during a royal visit at a family owned munitions factory.
1,4,Home,5 May 2013,8.5,Morse investigates a seemingly apparent hit-and-run accident that has claimed the life of an Oxford don.
2,1,Trove,30 Mar. 2014,8.5,"When an unknown man plummets to his death, Morse unearths secrets in the very bowels of the university and far beyond the city."
2,2,Nocturne,6 Apr. 2014,8.7,The death of an elderly gentleman with a specialism in heraldry and genealogy propels Morse to the Blythe Mount School for Girls.
2,3,Sway,13 Apr. 2014,8.6,"A housewife found choked to death in her own house marks the third strangling in a month, setting Oxford City Police on edge."
2,4,Neverland,20 Apr. 2014,9.0,"When a petty criminal absconds from an open prison, it sets off a chain reaction of troubling events, threatening to expose unspeakable horrors of the past."
3,1,Ride,3 Jan. 2016,8.2,"While recuperating in a wooden shack in a forest, Morse is drawn into the complex lives of the rich people across the lake."
3,2,Arcadia,10 Jan. 2016,8.3,The death of an artist in a horrendous house fire leaves Oxford City Police baffled as to the cause of the blaze.
3,3,Prey,17 Jan. 2016,8.2,The detectives are called in to deal with the case of a missing au pair who disappeared after her evening class at Night School.
3,4,Coda,24 Jan. 2016,8.9,"As Endeavour Morse takes his sergeant's exam, a garment factory owner is shot dead outside a bank during a wage snatch."
4,1,Game,27 Mar. 2018,8.3,"As Endeavour and Thursday deal with the heartbreak of Joan's departure, a death at East Cowley Slipper Baths hurls the pair into another dark adventure."
4,2,Canticle,15 Jan. 2017,8.0,"Endeavour is charged with protecting Joy Pettybon, self-appointed guardian of the nation's morals, who is visiting Oxford to promote her 'Keep Britain Decent' campaign."
4,3,Lazaretto,22 Jan. 2017,8.1,Endeavour is tasked with protecting prisoner and criminal informant Terry Bakewell whilst he's undergoing treatment in Cowley General Hospital.
4,4,Harvest,29 Jan. 2017,8.5,"When a body is found in a marshland outside of Oxford, everyone assumes they're the remains of Oxford botanist Matthew Laxman, who disappeared near the site five years earlier."
5,1,Muse,4 Feb. 2018,8.3,"Past and present collide in Oxford, as the auction of a priceless Faberge Egg gets underway at Lonsdale College."
5,2,Cartouche,11 Feb. 2018,8.1,The unexplained poisoning of a former detective sergeant leads Endeavour and Thursday to a local cinema.
5,3,Passenger,18 Feb. 2018,8.5,"The railway takes center stage as Endeavour investigates the disappearance of a local woman - with initial fears linking it to the unsolved murder of a teenager, killed several years earlier."
5,4,Colours,25 Feb. 2018,8.3,A photo-shoot on an army base turns sinister when one of the models is found dead. But the investigation is complicated when Sam Thursday is revealed to be involved.
5,5,Quartet,4 Mar. 2018,8.5,"An assassination attempt at an international sporting event opens a new case for Endeavour and Thursday, but their investigation is quickly brought to an unexpected end."
5,6,Icarus,11 Mar. 2018,8.9,"After the mysterious disappearance of a teacher, Endeavour finds himself investigating the dark and secret world of a public school."
6,1,Pylon,16 Apr. 2019,8.6,"The death of a schoolgirl brings Endeavour back to Oxford. When he refuses to accept that the main suspect is guilty, Endeavour has to uncover the truth and rescue a victim before it is too late."
6,2,Apollo,17 Feb. 2019,8.1,"As the highly-anticipated moon landings of Apollo 11 draw near, Endeavour finds himself investigating the death of a promising young astrophysicist and his girlfriend."
6,3,Confection,24 Feb. 2019,8.3,The murder of a chocolate factory owner during a local hunt leads Endeavour to the sleepy village of Chigton Green.
6,4,Degüello,3 Mar. 2019,9.4,"The murder of an Oxford librarian and a local tragedy test Endeavour and the team to their limits, as they uncover the truth behind the crime that has haunted them all."
7,1,Oracle,9 Feb. 2020,8.1,"It's 1970, and the new year and a new decade arrives with a murder on an Oxford towpath and a visit to Venice."
7,2,Raga,16 Feb. 2020,7.9,"As campaigning for the 1970 general election gets underway in Oxford, racial tensions escalate in the city and a clash between two young rival gangs results in tragedy."
7,3,Zenana,23 Feb. 2020,8.6,"When Endeavour is called to investigate what at first appears to be a freak accident at Lady Matilda's College, he uncovers a potential link between a series of peculiar incidents across Oxford."
8,1,Episode #8.1,2021,,
