temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Long Bright Dark,13 Jan. 2014,9.0,"In 2012, former detective partners Rust Cohle and Martin Hart recap one of their very first cases together involving a serial killer, back in 1995."
1,2,Seeing Things,20 Jan. 2014,8.9,Cohle and Hart travel around trying to track down leads to their case. Darker sides of Hart's personal and family lives are revealed.
1,3,The Locked Room,27 Jan. 2014,9.2,Cohle and Martin finally get a new wind in the case and can confirm a suspect. Martin's mistress gets on with somebody else leaving him furious. Cohle's theory becomes increasingly more convincing than ever.
1,4,Who Goes There,10 Feb. 2014,9.7,"Martin is faced with marital problems. The search for Reggie Ledoux leads the detectives to a motorcycle gang called the Iron Crusaders, which Rust worked undercover in the past."
1,5,The Secret Fate of All Life,17 Feb. 2014,9.6,Hart and Cohle share the spoils of a solved case; Papania and Gilbough confront the detectives with troubling new intelligence.
1,6,Haunted Houses,24 Feb. 2014,9.2,"Cohle's activities in 2002, when his partnership with Hart disintegrated and he quit the force, are recalled by Maggie."
1,7,After You've Gone,3 Mar. 2014,9.3,Cohle and Hart try to discover if a series of missing persons reports could be related to the Dora Lange murder and the Tuttle family.
1,8,Form and Void,10 Mar. 2014,9.6,An overlooked detail provides Hart and Cohle with an important new lead in their 17-year-old case.
2,1,The Western Book of the Dead,21 Jun. 2015,7.7,"A bizarre murder brings together three police officers and a career criminal in the corrupt city of Vinci, California."
2,2,Night Finds You,28 Jun. 2015,7.8,"Ray, Ani, and Paul are assigned to Casper's murder case. Frank tries to keep his business deals going, even after Caspere's death."
2,3,Maybe Tomorrow,5 Jul. 2015,7.5,Paul works the prostitute angle; Frank receives the first casualty in a secret war.
2,4,Down Will Come,12 Jul. 2015,8.3,The detail works a pawn shop lead to close in on a suspect in the Caspere case. Frank revisits his past to pay for the present.
2,5,Other Lives,19 Jul. 2015,7.8,Ray and Frank consider new life choices; Ani and Paul go up to the coast to follow a lead.
2,6,Church in Ruins,26 Jul. 2015,8.4,"Desperate to locate a missing woman with intel about Caspere, Frank meets with Mexican drug dealers; Ani infiltrates an exclusive inner circle, with Ray and Paul keeping close tabs."
2,7,Black Maps and Motel Rooms,2 Aug. 2015,8.8,"As Ani, Paul, and Ray get closer to finding out the truth about Caspere, circumstances become more dangerous for them all and everyone around them. Frank deals with an inside betrayal, learns important information, and plans his next move."
2,8,Omega Station,9 Aug. 2015,8.2,Ray and Ani attempt to escape their desperate situation while Frank ties up some loose ends.
3,1,The Great War and Modern Memory,14 Jan. 2019,8.7,The disappearance of a young brother and sister leads to a frantic search which will haunt one detective for the rest of his life.
3,2,Kiss Tomorrow Goodbye,13 Jan. 2019,8.3,"As the search for Julie continues, the doll discovered at the crime scene provokes a reaction, while Wayne and Roland learn of a potential suspect."
3,3,The Big Never,20 Jan. 2019,8.0,"The search for Julie brings Wayne and Amelia together again, Wayne and Roland retrace their investigation to spot missed clues, while one White Finger resident receives a warning."
3,4,The Hour and the Day,27 Jan. 2019,8.2,Wayne and Roland investigate possible connections between the local church and the Purcell crimes as tensions in West Finger reach boiling point.
3,5,If You Have Ghosts,1 Feb. 2019,8.5,"In 1980, all hell breaks loose at the home of Woodard, while in the present, Wayne and Roland reconnect after Wayne makes a discovery."
3,6,Hunters in the Dark,10 Feb. 2019,8.6,"In 1990, Wayne and Roland revisit the Purcell case to uncover previously hidden or forgotten clues, while Tom looks for answers and two faces from the past resurface."
3,7,The Final Country,17 Feb. 2019,8.7,"In 1990, following an apparent suicide, the Purcell case is deemed solved, but Wayne and Roland have other ideas, which leads them to a defining course of action."
3,8,Now Am Found,24 Feb. 2019,8.0,"Wayne struggles to hold on to his memories, and his grip on reality, as the truth behind the Purcell case is finally revealed."
