temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Fire in the Hole,16 Mar. 2010,8.5,Marshal Givens returns home and is assigned a case involving an old friend from his coal mining days who has become a white supremacist and blew up an African American church.
1,2,Riverbrook,23 Mar. 2010,7.8,Raylan hunts an escaped prisoner who is determined to reunite with his ex-wife...and his stashed fortune.
1,3,Fixer,30 Mar. 2010,7.7,"Raylan comes to the aid of a bookie informant, who has been kidnapped by one of his collectors and one of his delinquent clients."
1,4,Long in the Tooth,6 Apr. 2010,8.2,"Raylan and the mob compete to capture a fugitive, Roland Pike, racing to the Mexican border."
1,5,The Lord of War and Thunder,13 Apr. 2010,7.9,"Raylan's surveillance job on a fugitive is interrupted when he is forced to deal with his troubled father, who is causing mischief for a drug dealer who is renting from him."
1,6,The Collection,20 Apr. 2010,8.0,"Raylan turns to an art collector to help bring a criminal to justice, but the case soon turns to a murder investigation. Meanwhile, Raylan's ex-wife turns to him for help, and he turns to Boyd Crowder to gather dirt on his father."
1,7,Blind Spot,27 Apr. 2010,8.3,"Raylan and Ava survive a hitman's attack, and Raylan suspects that the Crowder family is trying to get revenge on Ava. But are his own biases clouding his judgment?"
1,8,Blowback,4 May 2010,8.5,"Raylan tries to defuse a hostage situation in the Marshals' office without any casualties, and later discovers that his relationship with Ava could have repercussions on Boyd Crowder's prison sentence."
1,9,Hatless,11 May 2010,8.6,"While away from the Marshall's office because of a forced ""vacation,"" Raylan comes to the aid of his ex-wife after she is threatened by dangerous loan collectors who are looking for her husband."
1,10,The Hammer,18 May 2010,8.1,"Fresh out of prison, Boyd Crowder begins his mission to bring ""religion"" to the backwoods. Meanwhile Raylan starts trying to make a new case against Boyd while working as a bodyguard for a judge whose life has been threatened."
1,11,Veterans,25 May 2010,8.1,Raylan learns that his dad's life is in danger because he ran Bo Crowder's business while Bo was in prison and ran it into the ground. Raylan turns to an unlikely source to pin a meth lab killing on Boyd Crowder.
1,12,Fathers and Sons,1 Jun. 2010,8.6,"The marshals are forced to turn to Arlo for help in making a case against Bo Crowder, but will he go along? Meanwhile, Bo is having problems of his own with Boyd, who continues to wage a religious war against his drug business."
1,13,Bulletville,8 Jun. 2010,9.3,"Bo gets revenge on Boyd for blowing up his ephedrine shipment, asks Arlo to help him kill Raylan at the request of the Miami cartel, and kidnaps Ava for bait and insurance against Raylan."
2,1,The Moonshine War,5 May 2011,8.6,Raylan tangles with a ruthless Harlan County crime family while hunting for a fugitive sex offender.
2,2,The Life Inside,16 Feb. 2011,8.1,Raylan chases a pregnant fugitive who has fallen into the hands of human traffickers.
2,3,The I of the Storm,23 Feb. 2011,8.5,"Dewey Crowe returns and tries to score on a drug shipment, but the bus carrying the drugs is hijacked, and he tries to impersonate Raylan Givens to get it back. Meanwhile Boyd gets a proposition from some fellow coal miners."
2,4,For Blood or Money,2 Mar. 2011,8.0,"Raylan helps Rachel find her brother in law, who has left a halfway house without permission to see his son on his birthday. He also begins investigating the oxy bus shooting and makes contact with the Dixie Mafia."
2,5,Cottonmouth,9 Mar. 2011,8.7,"Boyd reluctantly joins a payroll heist, but can he trust his new partners? Meanwhile, Raylan's investigation into a forged signature on a dead man's government check leads back to the Bennett clan."
2,6,Blaze of Glory,16 Mar. 2011,8.2,"Winona finds herself in hot water after she is a victim in a bank robbery, so Raylan does everything in his power to catch the culprits before anybody else does."
2,7,Save My Love,23 Mar. 2011,8.6,"After Winona realizes that Raylan didn't recover her counterfeit $100 bill from the bank robbery, she drops another bombshell on him. Meanwhile, the coal mine offers Boyd a new job more suited toward his skills."
2,8,The Spoil,30 Mar. 2011,8.6,Raylan is assigned to protect a local coal mine executive as she tries to buy up land for the company but faces opposition from the Bennett clan.
2,9,Brother's Keeper,6 Apr. 2011,9.1,"As the coal mine makes one final attempt to negotiate with the Bennett clan, Loretta begins to piece together what the Bennetts did with her father."
2,10,Debts and Accounts,13 Apr. 2011,8.4,"As Winona begins divorce proceedings, Raylan begins to contemplate his future as a marshal. Meanwhile, Dicky Bennett takes exception to his family's new business arrangement with Boyd Crowder."
2,11,Full Commitment,20 Apr. 2011,8.8,"Raylan tries to find out who tried to kill him, but the investigation leads to an unlikely source. Meanwhile, Dicky retaliates after Boyd stakes his claim on the Bennett clan's marijuana business."
2,12,Reckoning,27 Apr. 2011,9.1,"Raylan tries to track down Dicky after Helen is killed, but he is forced to turn to Arlo to make a deal and get Mags' blessing."
2,13,Bloody Harlan,4 May 2011,9.4,"The bad blood between the Bennetts and the Crowders reaches its boiling point and results in bloodshed, and Loretta returns from Lexington to avenge her father's death."
3,1,The Gunfighter,17 Jan. 2012,9.0,"Still recovering from his gunshot, Raylan takes himself off of desk duty when one of Wynn Duffy's associates is involved in a murder. Meanwhile, Ava takes over Boyd's business while he is back in jail."
3,2,Cut Ties,24 Jan. 2012,8.2,"While the marshals try to figure out who killed a witness security officer and why, Boyd finds a way to get a message to Dickie Bennett in prison."
3,3,Harlan Roulette,31 Jan. 2012,8.8,"While tracking down a familiar enemy, Raylan crosses paths with a pawn shop owner with connections with the Dixie Mafia, while Boyd and his new crew begin setting up shop in Harlan."
3,4,The Devil You Know,7 Feb. 2012,8.6,"A prison guard springs Dickie and Dewey from prison in an attempt to get his hands on Mags' secret fortune, while Robert Quarles offers Devil a shot at becoming a boss if he betrays Boyd."
3,5,Thick as Mud,14 Feb. 2012,8.8,"After the plan to steal Mags' money fails, Dewey finds him himself in a life or death situation in a last-ditch attempt to make money. Meanwhile, after Devil's attempted betrayal, Boyd decides to retaliate on his enemies."
3,6,When the Guns Come Out,21 Feb. 2012,8.2,"Raylan tries to find Winona after she leaves him, Boyd tries to find out who hit his crew's oxy clinic, and Quarles takes an interest in Raylan after he finds out that he has been asking questions about him."
3,7,The Man Behind the Curtain,28 Feb. 2012,8.1,"As Quarles prepares to corner the oxy market in Harlan, he gets a visit from the boss' son. Meanwhile, Raylan's interest in the enterprise gets him in trouble with the FBI."
3,8,Watching the Detectives,6 Mar. 2012,8.8,"Quarles and Duffy kill Gary Hawkins and try to frame Raylan for his death, while also getting the FBI on his tail. Meanwhile, Quarles raises the stakes in his war with Boyd Crowder, and Ellstin Limehouse tries to decide whose side he's on."
3,9,Loose Ends,13 Mar. 2012,8.6,"Raylan tracks down Tanner Dodd, the Quarles associate who helped frame Boyd for planting a bomb in sheriff Napier's car. Meanwhile, Ava helps a prostitute who needs protection from Delroy after a robbery goes bad."
3,10,Guy Walks Into a Bar,20 Mar. 2012,8.7,"Raylan tries to make sure that Dickie Bennett isn't released from prison, while Boyd works to fix the election and get rid of sheriff Napier and Robert Quarles for good."
3,11,Measures,27 Mar. 2012,8.5,"Dickie Bennett sets out to find the money Ellstin Limehouse stole from him, Robert Quarles takes a shot at Boyd Crowder's protection business, and Raylan has a run-in with a couple of hitmen from Detroit after Quarles threatens him."
3,12,Coalition,3 Apr. 2012,8.9,"Limehouse launches a plan in motion that will get rid of all his enemies once and for all, but will anyone take the bait? Meanwhile, Wynn Duffy works on getting Robert Quarles delivered back--dead or alive--to the Detroit mob."
3,13,Slaughterhouse,10 Apr. 2012,9.3,"While Quarles winds up on the run from the marshals after killing a state trooper, Limehouse uses an inside source to get Boyd in trouble with the law."
4,1,Hole in the Wall,8 Jan. 2013,8.5,"After a botched robbery, Raylan stumbles on a mysterious bag in the wall of his father's house. Meanwhile, an old friend pays a visit to Boyd, whose crime business is being threatened by a new church."
4,2,Where's Waldo?,15 Jan. 2013,8.3,"The marshals try to solve the mystery behind Waldo Truth's identity, Boyd gets an opportunity to confront his two biggest competitors, and Raylan makes an intimidating new enemy."
4,3,Truth and Consequences,22 Jan. 2013,8.4,"Boyd steps up his battle with the new preacher in Harlan, the marshals run into trouble trying to interview fugitive Drew Thompson's ""widow,"" and Raylan confronts Lindsey's ex husband and tells him to leave town."
4,4,This Bird Has Flown,29 Jan. 2013,8.0,"Raylan tries to track down Randall, Lindsey, and his stolen money. Meanwhile, Ava has to figure out how to tie up loose ends with Ellen Mae."
4,5,Kin,5 Feb. 2013,8.6,"While Raylan heads to the hills to find Drew Thompson, he discovers that Boyd is searching for him too on behalf of Wynn Duffy. Meanwhile, Colt tries to tracks down Ellen Mae after she runs away."
4,6,Foot Chase,12 Feb. 2013,8.1,"Raylan and Boyd take different paths as they continue their search for Drew Thompson, but a third group thinks they have already found him. Meanwhile, the fallout from the Ellen Mae situation weighs heavily on Ava and Colt."
4,7,Money Trap,19 Feb. 2013,8.1,"While Raylan has to track down a fugitive for a second time, Boyd and Ava go to an exclusive party hoping to track down Drew Thompson."
4,8,Outlaw,26 Feb. 2013,9.0,"Will Arlo reveal the identity of Drew Thompson to Raylan, or will he take the secret to his grave? Meanwhile, Boyd tricks the local mob and Wynn Duffy, and Colt is blackmailed over not killing Ellen May."
4,9,The Hatchet Tour,5 Mar. 2013,8.8,"While transferring Arlo's killer, former sheriff Mosley, to another prison, Raylan stumbles upon the identity of Drew Thompson. Meanwhile, Boyd and Ava discover that Colt did not kill Ellen Mae, and that sheriff Parlow is protecting her."
