temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Ashwathama,6 Jul. 2018,8.8,A mysterious phone call from an anonymous man leads police officer Sartaj Singh on a chase around Mumbai in a dangerous cat-and-mouse game.
1,2,Halahala,6 Jul. 2018,8.4,"News of Ganesh Gaitonde's death activates the political forces in Mumbai. The Internal tension in the police department results in Sartaj Singh's suspension, forcing him to begin his own investigation."
1,3,Aatapi Vatapi,6 Jul. 2018,8.3,"The woman found in the bunker leads Sartaj to Gaitonde's thug, Bunty. In a flashback, Gaitonde recalls stealing a lucky charm from rival Suleiman Isa."
1,4,Brahmahatya,6 Jul. 2018,8.3,"TV starlet Nayanika visits Bunty with a hidden camera. In the mid-'80s, Gaitonde discovers a racket even more lucrative than drugs and guns: politics."
1,5,Sarama,6 Jul. 2018,8.3,"To save Nayanika, Sartaj intervenes during a RAW operation. In 1992, as political unrest increases, so does the bloodshed from Gaitonde and Isa's feud."
1,6,Pretakalpa,6 Jul. 2018,8.7,"When Sartaj's constable, Katekar, is pressured to investigate the disappearance of a young man from a Muslim slum, disastrous consequences follow."
1,7,Rudra,6 Jul. 2018,8.8,"Hoping to tie up the many loose ends of their case, Sartaj and Anjali reunite to figure out how the enigmatic Trivedi is linked to Gaitonde's prophecy."
1,8,Yayati,6 Jul. 2018,8.9,"To save Mumbai from impending doom, Sartaj races against time to find out who Gaitonde's third father is and what's planned to happen on the 25th day."
2,1,Matsya,15 Aug. 2019,8.3,"After making a discovery in Gaitonde's bunker, Sartaj joins a mission to foil a deadly conspiracy. In 1994, Gaitonde resurfaces in a new location."
2,2,Siduri,15 Aug. 2019,8.0,"With the terrorist cell investigation underway, Sartaj visits Guruji's ashram. In the late '90s, Gaitonde is urged to seek a spiritual anchor."
2,3,Apasmara,15 Aug. 2019,7.7,"Sartaj traces how Shahid khan's nuclear consignment was delivered to India. in early 2000, Gaitonde takes bold action to maintain his notoriety."
2,4,Bardo,15 Aug. 2019,7.8,"Sartaj's team tries to reach Shahid Khan via an internet chatroom. In 2003, Gaitonde's growing disenchantment with his life brings him closer to Guruji."
2,5,Vikarna,15 Aug. 2019,8.2,"As Sartaj's team baits a trap for Shahid Khan, Majid suspects a department member. Immersed in ashram life, Gaitonde learns of Guruji's lethal plans."
2,6,Azrael,15 Aug. 2019,8.3,"Batya lets Sartaj in on several secrets, leaving him reeling and conflicted. Gaitonde returns to Mumbai to set Guruji's destructive plan in motion."
2,7,Torino,15 Aug. 2019,8.1,"After committing a drastic act, Gaitonde can't silence Guruji's voice in his mind. Parulkar reaches a shocking realization. Sartaj makes a breakthrough."
2,8,Radcliffe,15 Aug. 2019,8.3,"Unsettling truths, complex betrayals and unforeseen connections emerge for Sartaj, Gaitonde and Shahid Khan as doomsday descends on Mumbai."
