temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Steven Sees a Ghost,12 Oct. 2018,8.2,"While investigating a ghost story for his latest novel, a skeptical Steven receives a call from his sister that triggers a chain of fateful events."
1,2,Open Casket,12 Oct. 2018,8.0,"A devastating family tragedy stirs memories of traumatic losses, reminding Shirley of her first brush with death -- and awakening long-dormant fears."
1,3,Touch,12 Oct. 2018,8.7,"Keenly perceptive Theo sees shades of herself in a troubled young patient, a girl who's haunted by the menacing grin of ""Mr. Smiley."""
1,4,The Twin Thing,12 Oct. 2018,8.6,Still wrestling with addiction -- and an unshakable fright -- a frantic Luke tries to save a friend while sensing his twin sister is in danger.
1,5,The Bent-Neck Lady,12 Oct. 2018,9.5,"A dark specter with an unsettling silhouette has haunted Nell since she was a girl. Now ""the Bent-Neck Lady"" is back -- and she's calling Nell home."
1,6,Two Storms,12 Oct. 2018,9.4,"It's a reunion for all the wrong reasons when Hugh flies in for the funeral, coming face to face with his estranged children on a dark, stormy night."
1,7,Eulogy,12 Oct. 2018,8.3,"As the Crains gather to say their final goodbyes, a flashback reveals Mr. Dudley's connection to the house -- and exposes a secret in the walls."
1,8,Witness Marks,12 Oct. 2018,8.9,"A familiar terror revisits Shirley and Theo on Halloween night as Hugh and Steve go looking for Luke, who disappeared on a deadly errand."
1,9,Screaming Meemies,12 Oct. 2018,8.9,"While struggling to discern dreams from reality, Olivia fears for her children's safety, a motherly instinct Mrs. Dudley urges her to embrace."
1,10,Silence Lay Steadily,12 Oct. 2018,8.6,"The Red Room's contents are finally revealed as the Crains return to the house to confront old ghosts, unspeakable secrets and an insatiable evil."
