temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,3 AM,17 Nov. 2017,8.6,Former Marine Frank Castle takes the law into his own hands while struggling to come to terms with his traumatic past.
1,2,Two Dead Men,17 Nov. 2017,8.3,"A mysterious phone call forces Frank's hand. Meanwhile, Madani goes digging for suspects and Curtis delivers a message."
1,3,Kandahar,17 Nov. 2017,8.5,Frank skips the subtlety while interrogating Micro. Brutal memories of top-secret missions shed light on Frank's past.
1,4,Resupply,17 Nov. 2017,8.4,"Madani and Sam plan a delicate operation, Curtis tries to connect with Lewis, and Frank encourages Micro to get his hands dirty."
1,5,Gunner,17 Nov. 2017,8.7,Frank and Micro go looking for answers from a reluctant witness. Madani and Sam learn of a looming investigation. Rawlins sees a ghost.
1,6,The Judas Goat,17 Nov. 2017,8.3,"With Frank in bad shape, Micro calls on Curtis for help. Madani and Russo continue to mix business with pleasure. Lewis stands up for his rights."
1,7,Crosshairs,17 Nov. 2017,8.7,Lewis struggles with the ramifications of his actions. Frank and Micro pursue another face from the past. Madani and Sam go bug hunting.
1,8,Cold Steel,17 Nov. 2017,8.9,"Russo opens up to Madani about his past, Sarah shares her concerns about her son with Frank, and a decoy operation takes a turn."
1,9,Front Toward Enemy,17 Nov. 2017,9.0,"Following a deadly explosion, Karen lands in a bomber's crosshairs -- and Frank isn't happy about it. Meanwhile, Curtis makes a grisly discovery."
1,10,Virtue of the Vicious,17 Nov. 2017,9.2,An attack on a high-profile politician is examined (and reexamined) through different perspectives. Madani faces a painful truth.
1,11,Danger Close,17 Nov. 2017,9.3,"As danger knocks on Sarah's door, Frank takes his quest for vengeance to the next level with some help from an unexpected ally."
1,12,Home,17 Nov. 2017,9.5,"Frank makes a damning confession. A shootout leaves Sarah wondering what to believe. Rawlins goes in for the kill, once and for all."
1,13,Memento Mori,17 Nov. 2017,9.2,"As the authorities close in, an exhausted but unbroken Frank vows to put an end to the war that has consumed his life."
2,1,Roadhouse Blues,18 Jan. 2019,9.0,"While driving through Michigan, Frank stops for a beer at a roadside bar. But staying out of trouble has never been his strong suit."
2,2,Fight or Flight,18 Jan. 2019,8.2,"Frank and a reluctant Rachel go on the run as a menacing adversary gives chase. Meanwhile, Madani pays Russo an unwelcome visit."
2,3,Trouble the Water,18 Jan. 2019,8.9,"As Pilgrim's past comes into focus, Frank and Rachel find themselves in police custody, where they're anything but safe."
2,4,Scar Tissue,18 Jan. 2019,7.9,Rachel recalls the night everything changed and lets Frank in on the truth about her name. Russo sits down with a face from his childhood.
2,5,One-Eyed Jacks,18 Jan. 2019,8.4,It's not a trap if you know it's coming: That's Frank's philosophy. Madani opens up and Pilgrim plans a visit to an unholy land.
2,6,Nakazat,18 Jan. 2019,8.1,Amy (formerly Rachel) develops photographs that point to a conspiracy. Russo reads his own report. Madani's story about Russo comes under fire.
2,7,One Bad Day,18 Jan. 2019,8.4,Madani's quest to ID Pilgrim hits a wall. Russo and his crew put their plan into action. Frank encounters someone from the past.
2,8,My Brother's Keeper,18 Jan. 2019,8.3,Painful memories take ahold of Russo. Frank's frustration frightens those closest to him. Madani receives a visitor bearing a warning.
2,9,Flustercluck,18 Jan. 2019,8.3,A big bounty inspires New York's worst to pursue the Punisher. A restless Amy seeks help from a fellow grifter. Russo and Krista consider the future.
2,10,The Dark Hearts of Men,18 Jan. 2019,8.8,"As Madani and Krista debate who's worth saving, Frank prepares to storm Russo's territory. A brutal encounter pushes Pilgrim back into old habits."
2,11,The Abyss,18 Jan. 2019,8.5,"Amy rushes to protect Frank, who lies defenseless in a hospital. Pilgrim gets some crushing news, and Karen Page calls in a favor."
2,12,Collision Course,18 Jan. 2019,8.9,"Buckle up -- Mahoney and Frank are about to take a ride to remember. Amy makes an entrance, Russo cashes out, and Madani comes clean to Krista."
2,13,The Whirlwind,18 Jan. 2019,9.1,"Frank, Pilgrim, Madani, Russo, Amy, Curt and the Schultz family. No bullet is left unspent as season two comes to an explosive conclusion."
