temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Beginnings,24 Sep. 1999,8.0,Daisy Steiner and Tim Bisley meet by chance and hatch a plan to pose as a couple to rent an apartment whose landlord requires a professional couple.
1,2,Gatherings,1 Oct. 1999,7.7,Daisy decides to throw a party to shirk responsibility. Tim reluctantly agrees.
1,3,Art,8 Oct. 1999,8.1,"Tim has been up all night playing Resident Evil and is still feeling the effects of some speed that he bought. Daisy has an interview at a new women's magazine publisher. Brian's ex-partner of performing art, Vulva, invites him to a showing of his newest performance piece. Daisy and Tim join him. Tim freaks out and starts seeing everyone as Zombies because of the mix of booze, speed, Twiglets (which make him violent) and the lack of sleep he's had. When Vuvla acts rudely towards Brian, Tim comes to the rescue with his hallucinations."
1,4,Battles,15 Oct. 1999,8.5,"Daisy's boyfriend breaks up with her, and feeling the need for a loving relationship, she asks Marsha if she can have a dog. Marsha agrees and Tim is hesitant because of his past experiences with dogs which have given him a big fear of them. While Daisy and Twist go out to buy a dog, Mike and Tim go paint-balling. They run into Duane Benzie, who used to be Tim's best friend until he stole Tim's girlfriend."
1,5,Chaos,22 Oct. 1999,8.5,"After an all day marathon of Star Wars movies, it's Tim's turn to take Colin out for a walk. While he isn't paying attention, the dog is stolen. Daisy thinks Tim got rid of Colin of purpose because she knows he doesn't like Colin. All suspicions are dropped after they receive an anonymous letter revealing where Colin is. So Tim, Daisy, Brian, Mike, Twist all develop a covert plan to retrieve Colin."
1,6,Epiphanies,29 Oct. 1999,8.5,"Tyres, Tim's friend, stops by the flat and invites Tim and Daisy to go clubbing with him that night. After offering to pay their way in, Tim and Daisy agree. Mike and Twist decide to join, but Brian needs some convincing. He hasn't been clubbing since a bad experience in the 80's. After finally getting to the club, Brian finds a new appreciation for the club scene."
1,7,Ends,5 Nov. 1999,8.4,"Tim gets a phone call from his ex-girlfriend, Sarah, asking to meet him for a drink. She reveals that she had broken up with Duane Benzie. Tim is convinced that she'll want to get back together with him and have him move back it. Daisy thinks this is a bad idea and Mike's afraid he'll get hurt again. Mike has a meeting with the superiors at the Territorial Army, who decide to let him back in. When Sarah asks Tim to move back in, he realizes that his life is better now than it was when he was with her, he declines her offer."
2,1,Back,23 Feb. 2001,8.2,"Daisy returns from her holiday in Asia, unaware that there are two suited men on her trail. When the gang heads to the pub, a showdown takes place."
2,2,Change,2 Mar. 2001,8.4,"Still struggling with his feelings of disappointment in the wake of Star Wars: Episodio I - La amenaza fantasma (1999), Tim loses his job at Fantasy Bazaar after being rude to a customer. Meanwhile, Daisy tries to sign on after her return from Asia, and Brian fears that his inspiration has run dry."
2,3,Mettle,9 Mar. 2001,8.5,"Tim and Mike create a robot for Robot Wars and are on their way to the quarter finals. Their rival team, a couple of fellow soldiers of Mike's in the Territorial Army, sabotage Tim and Mike's robot. Brian gets invited to do an installation at a local art gallery, and ends up knocking himself out and becoming a figure in his art display. Mike and Tim exact their revenge on their rivals by rebuilding and improving their robot."
2,4,Help,23 Mar. 2001,8.7,"Damian Knox, the President of Darkstar Comics, is searching for a new idea, and asks for Tim's portfolio. Anxiously, Tim organizes his portfolio, being careful to remove anything that might prevent him from getting the job. Such as a demeaning drawing he drew of Knox after their last encounter, when Knox laughed Tim out of his office. After Tyres stops by to pick up the package to be delivered, Tim notices that the demeaning drawing of Knox is not where he left it. Trying to help Tim out, Daisy slipped it back into the portfolio, thinking Tim forgot to include it. It ..."
2,5,Gone,30 Mar. 2001,8.9,"Sophie calls off a date with Tim at the last minute, citing that she has to work late. Having experienced the same thing with his last girlfriend who left him for her boss and his best friend, Tim begins to freak out. Daisy convinces Tim to go out on the town with her that night, leaving Brain and Mike to keep an eye on Colin, which they fail at. Tim and Daisy have an exciting night of drinking, escaping from angry college boys looking to get some weed, an irritating conversation with Tim's arch-nemesis, Duane Benzie, and losing their car/house keys."
2,6,Dissolution,6 Apr. 2001,8.4,"Marsha still thinks that Tim and Daisy are a couple, and when she sees Tim kissing and flirting with Sophie, she gets suspicious. Later that night at Daisy's birthday dinner, Marsha tell Daisy that Tim is cheating on her, which Daisy replies with the truth about their relationship. Marsha, humiliated after realizing that she's the only one who didn't know the truth leaves the restaurant and moves out of the flat."
2,7,Leaves,13 Apr. 2001,8.7,"Tim, Daisy, Mike, and Brian go into panic mode and try to find Marsha to get her to come back after they find out that she's selling the house. Sophie is offered a job at Marvel Comics in Seattle, and decides to take it. And, with the future of her current living situation looking bleak, Daisy decides to head back home to work at a local newspaper. After executing a ""bloody spectacular"" plan, the guys succeed in getting Marsha to come home. But, Daisy doesn't know that. Tim decides to rush to the train station to get Daisy, while Mike is tasked with taking Sophie to ..."
