temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Gasp,26 Mar. 2018,8.8,An astronaut's view of the incredible Earth systems that allow life to breathe.
1,2,Storm,1 Apr. 2018,8.4,A portrayal of how Earth was born in a cosmic storm and shaped by violence.
1,3,Shield,8 Apr. 2018,8.7,The epic story of Earth's battle with the sun and how life thrives here against the odds.
1,4,Genesis,15 Apr. 2018,8.2,"The story of how and why life began on Earth, and what makes our planet different from the others."
1,5,Survival,22 Apr. 2018,8.4,"The story of how life on Earth has evolved, becoming lethal for life to thrive."
1,6,Escape,29 Apr. 2018,8.3,"Astronaut Chris Hadfield believes the only chance for human survival is to escape from Earth and build a space colony, but there are real barriers."
1,7,Terraform,6 May 2018,8.4,"The story of how for nearly 4 billion years, life microbes, plants and animals have emerged and sculpted the planet's surface and atmosphere in the strangest of ways."
1,8,Alien,2 May 2018,8.2,The story of how a miraculous event transformed life on Earth into a complex interconnected food web; Astronauts and experts question other intelligent life in the universe.
1,9,Awakening,20 May 2018,8.3,An investigation into the mystery of the human brain and the chain of events that produced the anomaly of human intelligence.
1,10,Home,27 May 2018,8.7,"Astronauts including the legendary Peggy Whitson, who spent 665 days in space, speak about how their concepts of home have changed."
2,1,Episode #2.1,2020,,
