temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,7 Mar. 1994,8.4,"Agent Dana Scully is instructed to debunk an FBI project dubbed ""The X-Files,"" paranormal cases that have been reopened by Agent Fox Mulder."
1,2,Deep Throat,17 Sep. 1993,8.2,Mulder and Scully investigate the mysterious case of a military test pilot who disappeared after experiencing strange psychotic behaviour.
1,3,Squeeze,24 Sep. 1993,8.7,Mulder and Scully search for a humanoid killer whose savage murder spree reoccurs every 30 years.
1,4,Conduit,1 Oct. 1993,7.7,"Mulder becomes obsessed with solving a case that closely parallels an ""encounter"" he experienced as a child."
1,5,The Jersey Devil,8 Oct. 1993,7.1,Mulder and Scully track a legendary creature that has roamed the New Jersey countryside for over 40 years.
1,6,Shadows,22 Oct. 1993,7.3,Mulder and Scully investigate the deaths of two men believed to have been killed by a powerful psychokinetic force.
1,7,Ghost in the Machine,29 Oct. 1993,6.8,"On Halloween, Mulder and Scully investigate the death of a corporate executive who may have been murdered by a thinking computer."
1,8,Ice,5 Nov. 1993,8.9,Mulder and Scully are sent to investigate when a team of geophysicists stationed at a remote Alaskan outpost are killed by a parasitic alien life form.
1,9,Space,12 Nov. 1993,6.2,"When a space shuttle mission is sabotaged, Mulder suspects it may be the work of an alien spirit that inhabits the body of a former Gemini astronaut."
1,10,Fallen Angel,19 Nov. 1993,8.0,The future of the X-Files project is jeopardized after Mulder secretly infiltrates the government cover-up of a UFO crash.
1,11,Eve,10 Dec. 1993,8.2,Mulder and Scully search for two missing girls who disappeared after their fathers were murdered in an identical fashion.
1,12,Fire,17 Dec. 1993,7.5,Mulder and Scully join forces with an inspector from Scotland Yard when a man with pyrokinetic powers stalks members of the British aristocracy.
1,13,Beyond the Sea,7 Jan. 1994,8.7,Scully believes that the pyschic predictions of a death row inmate are the only hope in the kidnapping of two college students.
1,14,Gender Bender,21 Jan. 1994,7.5,A religious sect becomes the prime suspect in a murder spree.
1,15,Lazarus,4 Feb. 1994,7.1,The consciousness of a dangerous criminal possesses an FBI agent who is also Scully's ex-boyfriend.
1,16,Young at Heart,11 Feb. 1994,7.4,A criminal believed to have died in a prison years earlier wages a vendetta against Mulder.
1,17,E.B.E.,18 Feb. 1994,8.6,Mulder and Scully become the focus of a disinformation campaign when they attempt to trace the government's secret transport of an alien life form.
1,18,Miracle Man,18 Mar. 1994,7.2,"The agents investigate a ministry led by a man whose son possesses the power to heal, and to kill, with a touch of his hand."
1,19,Shapes,1 Apr. 1994,7.1,"A creature, possibly from Native American lore, is suspected of killing a man, bringing Mulder and Scully to the Indian reservation where the attack occurred in order to uncover its identity."
1,20,Darkness Falls,15 Apr. 1994,8.6,"A group of loggers working in a remote forest unearths thousands of deadly insectlike creatures that paralyze and cocoon their victims. Scully, Mulder and a few others end up trapped there."
1,21,Tooms,22 Apr. 1994,8.5,"Eugene Tooms, a supernatural killer whom Mulder helped incarcerate, is released on parole."
1,22,Born Again,29 Apr. 1994,7.2,"An 8-year-old girl is the prime suspect in a series of bizarre, seemingly unrelated deaths."
1,23,Roland,6 May 1994,7.3,"When scientists at an aeronautics lab die under mysterious circumstances, the agents suspect a mentally challenged janitor may be the culprit."
1,24,The Erlenmeyer Flask,13 May 1994,9.1,Deep Throat tips Mulder to a critically important case involving a missing fugitive and the cloning of extraterrestrial viruses.
2,1,Little Green Men,16 Sep. 1994,8.2,"With the X-Files shut down, Mulder travels to Puerto Rico on a tip from his mentor in the Senate to uncover the reason behind the sudden reactivation of a remote long abandoned SETI-like communications station."
2,2,The Host,23 Sep. 1994,8.4,"Mulder pursues a humanoid, parasitic organism that uses sewage systems as its home."
2,3,Blood,30 Sep. 1994,7.6,Mulder and Scully investigate a series of violent killings committed by seemingly normal residents of a small town.
2,4,Sleepless,7 Oct. 1994,7.8,Mulder is on the manhunt for a Vietnam veteran who can project his consciousness into other people's minds to kill them. Mulder and Agent Krycek try to uncover the conspiracy behind the killer's powers.
2,5,Duane Barry,14 Oct. 1994,8.8,A former FBI agent who claims he was abducted by aliens takes several people hostage. Mulder agrees to be the negotiator.
2,6,Ascension,21 Oct. 1994,8.8,Mulder and Agent Krycek are in a race against time to find and rescue abducted Scully before crazed Duane Barry can take her to what he believes to be his alien puppet masters.
2,7,3,4 Nov. 1994,6.5,"While Agent Scully is still missing, Agent Mulder embarks upon an investigation involving vampires in Los Angeles, subsequently becoming involved with a sultry female vampire who yearns to escape her lifestyle."
2,8,One Breath,11 Nov. 1994,8.5,"Scully's comatose body is discovered at a local hospital and her life is hanging in the balance. When Mr. X shows Mulder the high price he'd have to pay if he truly wants justice for Scully, Mulder must choose between hope and revenge."
2,9,Firewalker,18 Nov. 1994,7.3,"At a remote outpost, scientists watch as their camera picks up a moving shadow on the inside of a smoldering hot volcano, too hot for any living creature to survive. Mulder and Scully arrive and notice that everyone is acting strangely."
2,10,Red Museum,9 Dec. 1994,7.8,A vegan religious cult is accused of kidnapping local teenagers for some type of ritual. Mulder and Scully begin to suspect that a different kind of conspiracy is at play when Scully sees Deep Throat's killer in town.
2,11,Excelsis Dei,16 Dec. 1994,7.1,"Mulder links a series of violent attacks at a convalescent home, including the brutal rape of a nurse, to angry spirits beyond the grave."
2,12,Aubrey,6 Jan. 1995,7.6,A pregnant police woman experiences visions that lead her to the remains of two FBI agents who went missing in the 1940s while on the trail of a serial killer that later got caught. The killings begin again but the only suspect is now 77.
2,13,Irresistible,13 Jan. 1995,8.2,Scully and Mulder hunt down a fetishist who collects pieces of the dead.
2,14,Die Hand Die Verletzt,27 Jan. 1995,8.3,The agents investigate a murder in a small town populated by devil worshippers.
2,15,Fresh Bones,3 Feb. 1995,7.3,"The death of a Marine, who allegedly committed suicide, unearths a disturbing truth at a Haitian refugee camp."
2,16,Colony,10 Feb. 1995,8.9,"When someone sends Mulder and Scully obituaries showing three separate but identical men apparently having died, the agents investigate, but things take an unexpected turn when Mulder receives a call from his father."
2,17,End Game,17 Feb. 1995,8.9,"Mulder is forced to make an impossible choice, when the alien bounty hunter gives him an ultimatum - Scully's life for Samantha's."
2,18,Fearful Symmetry,24 Feb. 1995,6.5,"In a small town in Idaho, a man is killed by what seems to be an invisible elephant. Mulder's investigation into the local zoo, its owners and a local animal rights group uncovers evidence of insidious alien experiments."
2,19,Død Kalm,10 Mar. 1995,7.6,"The crew of a U.S. military ship that disappeared in the Norwegian Sea is found dead from what seems to be rapid aging. Thinking it's another Philadelphia Experiment, Mulder boards the ghost ship along with Scully and a local skipper."
2,20,Humbug,31 Mar. 1995,8.7,The agents search for a killer in a Florida town inhabited by sideshow performers.
2,21,The Calusari,14 Apr. 1995,7.6,The agents investigate when a young boy's family is plagued by a series of tragic accidents.
2,22,F. Emasculata,28 Apr. 1995,8.2,"As Scully investigates the spread of a deadly contagion at a prison, Mulder tracks down two escaped convicts infected with the disease."
2,23,Soft Light,5 May 1995,8.0,"Scully's former student, Det. Kelly Ryan, asks the agents to help her catch a runaway government scientist responsible for several mysterious disappearances. Mulder realizes that the man is deathly afraid of his shadow for some reason."
2,24,Our Town,12 May 1995,8.0,"Reports of foxfire on a field in Dudley, Arkansas lead Mulder and Scully to a bizarre situation regarding the townsfolk. Employees of the Chaco Chicken Corporation are displaying bizarre behavior, and the death rate is slowly increasing."
2,25,Anasazi,19 May 1995,9.3,Mulder receives an encrypted computer disk containing the defense department's top secret files on extraterrestrial life and becomes a target. Scully takes him to a Navajo family that unearthed a buried secret to decipher the disk.
3,1,The Blessing Way,22 Sep. 1995,8.7,"A furious pursuit of Agent Mulder is underway, and more importantly, the government wants the data tape he carried. Agent Scully, against all odds, searches to uncover his whereabouts, persisting that he is alive when all others deny it."
3,2,Paper Clip,29 Sep. 1995,9.2,"As a government hit squad closes in on the agents, Mulder searches for clues about his father's involvement in a top secret project."
3,3,D.P.O.,6 Oct. 1995,8.0,The agents investigate the deaths of several young people who were apparently struck by lightning in the same small town.
3,4,Clyde Bruckman's Final Repose,13 Oct. 1995,9.3,A grumpy old man with psychic powers that show him how someone will die assists the agents with the hunt for a crazed killer who targets psychics. He also cryptically reveals to Mulder and Scully their own ultimate fates.
3,5,The List,20 Oct. 1995,7.2,Enemies of a prison inmate who was executed in the electric chair begin dying one by one.
3,6,2Shy,3 Nov. 1995,7.6,"Shy, overweight women are being pursued online by a suitor who courts them with Italian poetry. The women are being found dead, their corpses stripped of flesh."
3,7,The Walk,10 Nov. 1995,7.3,A quadruple amputee becomes the prime suspect in a series of bizarre deaths at an army hospital.
3,8,Oubliette,17 Nov. 1995,7.8,A woman experiences a psychic connection with a teenager held captive by a deranged man.
3,9,Nisei,24 Nov. 1995,8.7,"An ""alien autopsy"" videotape and a murder spark Mulder's search for a strange creature. Scully looks for information about her disappearance."
3,10,731,1 Dec. 1995,8.8,Mulder becomes trapped aboard a train rigged with an explosive device. Scully searches for the truth behind the government's secret experiments.
3,11,Revelations,15 Dec. 1995,7.3,"Mulder and Scully attempt to protect a boy, whose death could trigger the coming of Armageddon, from a possibly demonic serial killer who targets people with stigmatas."
3,12,War of the Coprophages,5 Jan. 1996,8.8,"While looking for signs of alien ships in the sky above a small town, Mulder learns of a series of deaths supposedly caused by metallic cockroaches. He turns to sexy entomologist Bambi for help, which makes Scully angrily rush to his aid."
3,13,Syzygy,26 Jan. 1996,7.8,A rare alignment of the planets gives two homicidal teenage girls dangerous telekinetic powers while simultaneously driving their small town insane with satanic panic. Mulder's interest in the local female detective makes Scully jealous.
3,14,Grotesque,2 Feb. 1996,7.6,"After a serial killer, who claims to have killed people under the influence of a demon, is arrested, the murders continue. Meanwhile Mulder, who believes that the demon might have picked someone new, goes neck-deep in the investigation."
3,15,Piper Maru,9 Feb. 1996,8.6,The agents investigate the mystery surrounding a sunken World War II aircraft.
3,16,Apocrypha,16 Feb. 1996,8.7,Mulder uncovers clues about a cover-up involving an alien entity and a sunken World War II aircraft. Scully pursues the man who murdered her sister.
3,17,Pusher,23 Feb. 1996,8.7,"A seemingly unmotivated murderer, who can apparently talk his victims into killing themselves is on the loose and it is up to Mulder and Scully to study the clues left to them by the person and capture him."
3,18,Teso dos Bichos,8 Mar. 1996,6.0,Mulder and Scully investigate the disappearance of several members of an archaeological team that in Ecuador excavated an ancient burial urn supposedly protected by the vengeful spirit of the jaguar and had it sent to a museum in Boston.
3,19,Hell Money,29 Mar. 1996,7.1,"Mulder, Scully and a local Chinese American cop investigate a deadly secret lottery run by the Triads in San Francisco's Chinatown district. The game is free to play but losing will cost you more than an arm and a leg."
3,20,Jose Chung's 'From Outer Space',12 Apr. 1996,9.0,Scully recounts the investigation of an alleged UFO encounter for the famous quirky author Jose Chung's latest novel. The case gives a whole new meaning to the term Rashomon effect. Chung later returns in Millennium: Jose Chung's 'Doomsday Defense' (1997).
3,21,Avatar,26 Apr. 1996,7.8,"Skinner, depressed over the fact that his wife is divorcing him, has a one night stand with a stranger who's found murdered in the morning. Mulder tries to prove Skinner's innocence but Skinner refuses to cooperate for some reason."
3,22,Quagmire,3 May 1996,8.3,Mulder suspects that a beast similar to the Loch Ness Monster is responsible for the deaths of several people who reside near a large lake. Frustrated Scully insightfully confronts Mulder about the futility of their work on X-Files.
3,23,Wetwired,10 May 1996,8.5,Mulder and Scully investigate a series of murders linked to a mysterious device that alters television signals causing paranoid hallucinations. One of them falls victim to it.
3,24,Talitha Cumi,17 May 1996,8.7,"After his mother suffers a stroke under strange circumstances, Mulder searches for a strange, benevolent alien man that possesses miraculous healing powers."
4,1,Herrenvolk,4 Oct. 1996,8.6,"With his mother on deathbed and the alien bounty hunter in pursuit, Mulder decides to put the alien healer in mortal danger for a chance to finally uncover the whole truth behind the alien conspiracy. Meanwhile, Mr. X's cover is blown."
4,2,Home,11 Oct. 1996,9.0,"The remains of a murdered deformed infant lead the agents to a family of murderous, inbred, animal-like brothers living on a secluded farm in a remote section of Pennsylvania."
4,3,Teliko,18 Oct. 1996,6.8,Mulder believes a creature from an African folktale may be responsible for the disappearance of several black men in the Philadelphia area.
4,4,Unruhe,27 Oct. 1996,8.3,Photos of a hellish sight from the mind of a psychopath who abducts women makes Mulder think that the man has the ability of psychic photography.
4,5,The Field Where I Died,3 Nov. 1996,6.9,"Agents Mulder and Scully investigate a doomsday religious cult, which inadvertently draws Mulder into recalling a past life and how Scully and others were there with him in the field where he died during the American Civil War."
4,6,Sanguinarium,10 Nov. 1996,7.5,Patients undergoing cosmetic surgery die horrible deaths at the hands of doctors possessed by witchcraft.
4,7,Musings of a Cigarette Smoking Man,17 Nov. 1996,9.2,"The Lone Gunmen reveal the (possibly fake) secret history of the Smoking Man to Mulder with focus on three episodes from his life - the assassination of JFK, his attempts at becoming a novelist and one of his UFO cover ups."
4,8,Tunguska,24 Nov. 1996,8.7,"A tip from Krycek takes Mulder to a gulag in Tunguska, Russia where prisoners are being used for experiments with the black oil alien virus. Meanwhile, Scully's colleague is infected with the same virus which lay dormant in a meteorite."
