temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Il clan dei Savastano,8 Sep. 2014,8.0,A dispute between the Savastano clan and a rival faction led by Salvatore Conte escalates as Don Pietro Savastano orders his men to set fire to Conte's home as an act of punishment. The fire leads to a series of reprisals that culminates with a mission to kill Conte and his whole clan.
1,2,Ti fidi di me?,6 May 2014,8.4,"When Genny creates a rift with another clan, Pietro decides it's time to put him to the test and asks Ciro to mentor him. Pietro then tests Ciro's loyalty in his own unique way."
1,3,L'omm 'e casa,13 May 2014,8.1,"Although Pietro is in jail, he still commands his clan as he engages in a battle of wills with the warden, directs the clan to make alliances, and tries to help his nephew. Recovering from an accident and now man of the house, Genny wants to impress Noemi."
1,4,Sangue africano,13 May 2014,8.2,"African drug dealers want more of a percentage from the clan, but Don Pietro plays hardball. Meanwhile, Genny's mettle is again tested."
1,5,Il ruggito della leonessa,20 May 2014,8.1,"Imma and Genny travel to Milan to get cash from Musi, but he has diverted their liquid investments for his own use. When he has difficulty accessing the funds, he becomes desperate and Lady Imma offers a solution."
1,6,Roulette spagnola,20 May 2014,8.4,"Ciro goes to Spain to make peace with Conte who is now in a turf war with Russians. As a condition, Conte has Ciro negotiate a deal with them, but the Russians like to play games. Imma sends Genny to Honduras to negotiate a supply deal."
1,7,Imma contro tutti,27 May 2014,8.3,Pressure mounts for Imma as she gathers the colonels of the family to explain their new strategy.
1,8,La scheda bianca,27 May 2014,8.2,Ciro looks on as Genny seizes a political opportunity that will enable the clan to manage their business affairs undisturbed.
1,9,Gelsomina Verde,3 Jun. 2014,8.7,"Genny plans to lead the gang towards a bright and prosperous future, but Ciro tries to stop this by sending someone to kill Salvatore Conte's right-hand man."
1,10,Ora facciamo i Conte,3 Jun. 2014,8.6,"Bloodshed is imminent as Conte returns to Naples to avenge Tonino's murder. As Ciro tries to distract him, Daniele's life hangs in the balance."
1,11,Cento modi per uccidere,10 Jun. 2014,9.0,"As the Savastanos' rivals rally around Conte, Genny also faces trouble internally as his young supporters clash with the older lieutenants. As Imma intervenes, she learns Ciro is behind the murder of Tonino."
1,12,Gli Immortali,10 Jun. 2014,9.2,"After Imma's death, Genny finds a CD with a recording of the conversation between Ciro and Manu. Furious at Ciro's betrayal, he decides to kill all the older lieutenants in the clan. When Ciro realizes Genny's plan, he meets Conte to convince him to kill Genny and his boys."
2,1,Vita mia,10 May 2016,8.1,"With Don Pietro in hiding, Ciro sets about building a new drug empire with Salvatore Conte."
2,2,Lacrime e sangue,10 May 2016,8.0,"It is one year since the formation of Salvatore Conte's Alliance, and having established a new drug empire in Central America, Genny reunites with his father."
2,3,Mea culpa,17 May 2016,8.7,"Conte recklessly takes revenge against one of Ciro's men, further weakening their fragile alliance."
2,4,Profumo di iena,17 May 2016,8.0,"Ciro looks to cut a deal with Gennaro when new faces on the streets start causing problems. Meanwhile, Don Pietro returns to Naples."
2,5,Occhi negli occhi,24 May 2016,8.3,"Ciro sets up a parley with Gennaro in order to avoid a full-on gang war. Gennaro agrees, but with strict orders from his father."
2,6,'O Track,24 May 2016,8.4,Don Pietro is not happy with Genny and decides to confront him on his actions.
2,7,Il Principe e il Nano,31 May 2016,8.5,"O'Principe enjoys his rise to power as the head of the new breed of Camorristi, but his celebrity and attitude soon makes him enemies."
2,8,Divide et impera,31 May 2016,8.4,"Following a shocking assassination, Ciro sets out to find the killer while preventing tensions from boiling over."
2,9,Sette anni,7 Jun. 2016,8.3,"Marinella is distraught to hear that Raffaele is getting out of prison. Ciro calls a meeting to divide the turf, but not everybody is happy with their cut."
2,10,Fantasmi,7 Jun. 2016,8.5,"An increasingly isolated Ciro finds a possible way to sniff out Pietro's hiding place, while the Alliance call some of his decisions into question."
2,11,Nella gioia e nel dolore,14 Jun. 2016,8.2,"Pietro prepares to take back control once and for all, as Ciro decides to go into hiding. Meanwhile in Rome, Avitable suffers a complication in his business."
2,12,La fine del giorno,14 Jun. 2016,9.2,"As Ciro prepares for all-out war with the Savastano clan, Pietro finds a way to deal his enemy a devastating blow."
3,1,Viva il Re!,28 Jan. 2018,8.2,"After his father dies, Genny is in charge now. He has to cover Pietros death and take care of the streets."
3,2,Hasta la muerte,17 Nov. 2017,7.8,"Genny involves Gegè, his accountant, in his dirty businesses. Don Giuseppe, Genny's father-in-law, comes back from prison."
3,3,Inferno,24 Nov. 2017,8.8,"Ciro, now in Sofia, has some issues with his new boss' son."
3,4,Il filo e la Moira,24 Nov. 2017,8.8,Genny tries to close a deal. Scianel gets out of prison.
3,5,Sangue Blu,1 Dec. 2017,8.1,"Genny finds Ciro, who has teamed up with Enzo and his crew. Ciro offers Genny his support, and organizes a heist using Enzo and his people."
3,6,Come nascere,1 Dec. 2017,8.2,"Genny and Ciro's alliance solidifies as they offer an olive branch and opportunity to Schianel, to go against the Federation, with Blue Blood at their disposal."
3,7,Sangue del mio sangue,8 Dec. 2017,7.9,"The Federation take notice of their profits dropping. They spot Blue Blood's operation, and offer him important territory for his mastermind's head."
3,8,Guerra aperta,8 Dec. 2017,8.2,Enzo and crew are under attack. Ciro convinces him not to react on impulse advising him to come up with a plan to exploit the weaknesses of the opponents.
3,9,Giuda!,15 Dec. 2017,8.3,Blue Blood wins back his grandfather's neighborhood but victory is short-lived and the misfortune is compounded when he doesn't listen to Ciro. Genny finds out he must move more quickly against his father-in-law. Ciro faces a choice of whom to ally with. Scianel makes a new alliance.
3,10,Insieme,15 Dec. 2017,8.3,"Avitabile and the Federation make their move. Genny has to prove how high of a price he's willing to pay. Forcella gets a new master. Vocabolario assumes a new role in the Forcella gang, while two of its members get impatient with the new arrangement and freelance on the side. Patrizia continues to be a go-between for both Genny and Scianel."
3,11,Fede,22 Dec. 2017,9.0,"Azzurra and Pietrino have come to be in the Confederate's sights. To save them, Genny is forced to work out a secret plan whose variables are endless."
3,12,Per sempre,22 Dec. 2017,8.9,"Ciro, Genny and Enzo sign the peace with the Confederates, obtaining part of their territories."
4,1,Episode #4.1,23 Apr. 2019,8.0,"After Ciro's death, Genny is wanted by the remaining federation who sends word to the streets. Genny takes a drive out of town to meet another clan related to him; the Levante clan is introduced. They attack the federation. Blue Blood, meanwhile, appears to continue business as usual."
4,2,Episode #4.2,29 Mar. 2019,8.5,"Gennaro's notorious past presents a challenge as he strives to socially integrate in the legitimate prosperous Naples. Leaving his violent past behind him, he ensures his son Pietro enjoys the same benefits as regular children, and his powerful business development meets legal resistance."
4,3,Episode #4.3,5 Apr. 2019,8.1,Patrizia is the leader of the clan that supplies the rest of the Camorra families of Naples: the Capaccos and the boys from Forcella. But she has a secret that links her to the Levant clan.
4,4,Episode #4.4,5 Apr. 2019,8.6,"Genny and his colleague Resta leave for London to acquire the company that will take care of his new project, but he will be obliged to confront the demons of his past."
4,5,Episode #4.5,12 Apr. 2019,8.0,Patri has some personal and business issues to resolve.
4,6,Episode #4.6,12 Apr. 2019,8.3,"Someone in the shadows wants to use Nicola, Patrizia's right hand, to question the power structures Genny wanted and set fire to the streets of Naples."
4,7,Episode #4.7,19 Apr. 2019,8.1,The general discontent of the Forcella clan begins to undermine the leadership of Sangue Blu. From whom will Enzo have to look to prove he is a real leader?
4,8,Episode #4.8,19 Apr. 2019,8.3,An unforeseen event that drags Genny's new company into the spotlight is likely to blow up the construction of the entire airport.
4,9,Episode #4.9,26 Apr. 2019,8.8,The Capaccos decide to conquer Forcella with harsh attacks on Blue Blood and his men. The most unpredictable of allies will help him.
4,10,Episode #4.10,26 Apr. 2019,8.5,Patrizia has finally discovered who is behind all her misfortunes. Now she must choose: give in to the patriarchate of the Levant clan or start a war?
4,11,Episode #4.11,3 May 2019,8.4,"Mickey Levante now has to choose who to take sides with. Genny, who had left Secondigliano in Patrizia command to pacify Naples, begins to be no longer certain of his choice."
4,12,Episode #4.12,3 May 2019,9.2,It's time for choices. Who will reign over the smoldering ruins of Naples bloodied by the clan war?
