temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,19 Sep. 2010,8.9,"A young woman falls from a bar's upstairs terrace and a suicide note is found, but a pregnancy test and links to a political group suggest foul play."
1,2,2. Bölüm,26 Sep. 2010,8.3,Behzat runs into an old flame in a psych ward. A child's body found with both kidneys removed prompts suspicions of criminal organ trafficking.
1,3,Gerçegin Pesinde,3 Oct. 2010,8.2,"When an ex-con who killed a woman in a robbery is murdered shortly after his release, Behzat suspects a former cop did it to avenge his wife's death."
1,4,Görünenin Ardindaki Sir,10 Oct. 2010,8.3,"The stabbing deaths of a fencing teacher and his elderly neighbor cast suspicion on an alleged gold digger, an estranged wife, her lover and others."
1,5,Kayip Yasamlar,17 Oct. 2010,8.0,A financial adviser is killed in a parking garage getting in a car he bought for his son's birthday. Was the car's previous owner the intended target?
1,6,Gecenin Gizledikleri,1 Nov. 2010,7.9,"After receiving an insistent warning from a fan, a rising nightclub singer is strangled while sleeping over at friend Gönül's home."
1,7,Kapanmayan Yaralar,8 Nov. 2010,8.0,"When a young woman is found raped and murdered in her home, the police try to work out why the killer left out-of-circulation banknotes on her body."
1,8,Geçmisin Gölgesi,15 Nov. 2010,7.8,"When the police question a young woman who reported her identical twin sister's murder, they discover a world of difference between the two siblings."
1,9,Taban Girmek,23 Nov. 2010,7.9,"A soccer star is found cuffed to a bed and killed by a blow to the chest, casting suspicion on his jealous girlfriend, his shady manager and others."
1,10,Karanlik Koridorlar,30 Nov. 2010,9.2,"When a man accused of illegal magazine distribution dies in police custody, Behzat must lead a touchy investigation that could impact his colleagues."
1,11,Cevapsiz Sorular,12 Dec. 2010,8.0,"Photos found on Facebook and in a home identify suspects in the murder of a college student found on a roadside, and reveal a personal link to Behzat."
1,12,Geride Kalanlar,19 Dec. 2010,7.8,"Sitting on the rooftop terrace from which his daughter fell to her death, Behzat notices something that could possibly provide the answers he seeks."
1,13,Yarim Kalmis Hesaplar,26 Dec. 2010,8.2,Behzat finds himself in a race against time to save his brother from a revenge-seeking kidnapper who has a personal connection to a recent case.
1,14,Tehlikeli Iliskiler,2 Jan. 2011,8.3,Behzat's last conversation with his brother's kidnapper leads the detective on a hunt for evidence that will expose the undersecretary's wife.
1,15,Karanlikta kalanlar,9 Jan. 2011,8.0,"When an ad agency owner is found murdered in her hotel room, suspects include her angry ex-husband and a model she fired over a fashion show mishap."
1,16,Güvercin Tedirginligi,16 Jan. 2011,8.3,The fatal shooting of a professor studying the problems of Turkish minorities gives rise to speculation that his murder was politically motivated.
1,17,Diken Üstünde,23 Jan. 2011,8.1,"When Feride unexpectedly goes to the police to make a confession, Behzat and his men fear their part in the matter will be discovered."
1,18,Kayip Zamanlar,30 Jan. 2011,7.6,A second killing during the investigation of a toy shop owner's murder leads Behzat's team to a decade-old case that links the two victims.
1,19,Hesaplasma,6 Feb. 2011,8.0,"When Ercüment returns to Ankara to discuss his agreement with the undersecretary and a murder soon follows, Behzat sets out to prove he's the killer."
1,20,Küçük Balik Büyük Balik,13 Feb. 2011,8.3,Feride gives her testimony in court. Behzat's continued pursuit of Ercüment takes him and his team from Ankara's streets to Istanbul's.
1,21,Yasarken Ölmek,20 Feb. 2011,7.8,"Behzat gets a rare chance to investigate a murder before it actually occurs, when a man dying from arsenic poisoning asks him to find out who did it."
1,22,Dinmeyen Öfke,27 Feb. 2011,7.6,"After his late daughter's ex-boyfriend is released from prison, Behzat questions him and learns more about the last days of Berna's life."
1,23,Yerdeki Kan,6 Mar. 2011,7.6,A man who stalked the wife of a murdered gynecologist is ruled out as a suspect. So why are his prints found soon after at an unrelated murder scene?
1,24,Zikzak Yaparak Kaçmak,13 Mar. 2011,7.8,"Cocaine packets found on a man who was shot to death suggest a drug dispute, but further investigation reveals a cover-up of the true motive."
1,25,Intihar ve Cinayet,20 Mar. 2011,7.6,"The death of a drummer who seemingly killed herself with a gas oven leads to her boyfriend's apparent suicide, but Behzat suspects both were murders."
1,26,Sihhiye Köprüsü,27 Mar. 2011,8.4,Behzat and his team investigate the murder of a meatball vendor thrown from a bridge. Sule runs into problems while trying to tutor Behzat's nephew.
1,27,Adini Vermek Istemeyen Dinleyici,3 Apr. 2011,7.2,"The homicide team takes on a rare nonmurder case when a kidnapper calls a local radio show, threatening to kill the announcer's 5-year-old daughter."
1,28,Kelebek Gibi Uçmak,10 Apr. 2011,7.5,The investigation of a boxer who was found stabbed to death leads Behzat and his team into the dark underworld of illegal fighting matches.
1,29,Aysegül Arafta,17 Apr. 2011,7.5,"In a trash heap, garbage collectors find the body of a young woman whose tattoos lead Behzat's team to investigate the possibility of a satanic cult."
1,30,Iz Birakanlar Unutulmaz,24 Apr. 2011,9.4,A retired Colonel named Can Uçar is found dead in his house. It seemed that the colonel shot himself in a ceremonial suicide. But the Murder Squad believes that the colonel was murdered and the suicide faked. Chief Constable asks Behzat Ç to investigate. Behzat Ç. finds that Colonel was interviewed by a reporter and he tries to find her. One the girl is located he realises that Can Uçar's murder was just the tip of the iceberg. Behzat ç. gets critical information from reporter which puts his life in danger.
1,31,Gece Baskini,1 May 2011,7.8,The body of a failed political candidate is found riddled with bullets. Was it his divisive politics that got him killed? Or his harassment of women?
1,32,Kisisel Gelismek,8 May 2011,7.9,"When a life coach is strangled shortly after a seminar, footage of the event shows a mysterious briefcase that never left his side -- but is now gone."
1,33,Kizilcahamam,15 May 2011,7.2,"During a vacation getaway, Behzat investigates the murder of a symposium speaker at the same resort and is shocked when he gets the ballistics report."
1,34,Maziden Gelen,22 May 2011,8.1,"Suspects abound in the murder of a real estate developer, who was unhappily married four times and had recently fired his brother-in-law."
1,35,Içimizdeki Cellat,29 May 2011,7.7,"The murder of a mother and her two small kids leads Behzat's team to her husband, the relatives who disapproved of her marriage and a missing vagrant."
1,36,Gece Uçusu,5 Jul. 2011,7.8,The homicide team investigates the murder of a airline hostess who had made many enemies at work before being killed. Behzat and Sulle sink into depression over Ecrument's return to the city.
1,37,Tekinsiz Yollar,19 Jun. 2011,8.2,"Ecrument is deemed not worth protecting any longer, and Big Brother sends a squad of special police from Istanbul to Ankara to kill him. Selim is finally caught by Eda, and Harun forgives Cevat. Behzat tries to keep up."
1,38,Baslangicin Sonu,26 Jun. 2011,9.7,"The team tries to hide Eda and Selim's news from Harun on his big day. Behzat learns why Ercüment has been vengeful toward him, and who killed Berna."
2,1,39. Bölüm,13 Nov. 2011,7.6,"After crashing into a car while drunk and yelling into a phone, a surgery technician is strangled at home. An unstable Behzat awaits trial in prison."
2,2,40. Bölüm,20 Nov. 2011,7.4,"While examining the body of an unidentified man found in a lake, Ghost sees an embroidered monogram that triggers childhood memories."
2,3,Kesik Parmak,27 Nov. 2011,7.4,"In his mailbox, Cevdet finds a CD containing video of an unidentified man being tortured and killed in a fashion similar to a case from 15 years ago."
2,4,Yüzünü Arayan Kadin,4 Dec. 2011,7.3,"To investigate the drug links to the finger-chopping case, the police chief partners Behzat with the headstrong leader of the narcotics unit."
2,5,Kara'dir Su Bahtim...,11 Dec. 2011,7.4,"When a homeless woman is found stabbed to death on a neighborhood street, Behzat's team has difficulty uncovering her real name, let alone her killer."
2,6,Benim Annem Cumartesi!,18 Dec. 2011,7.8,"An elderly Kurdish woman seeks help in finding out who killed her son, who went missing 30 years ago after being arrested at a protest in Ankara."
2,7,Büyük Hesaplasma/Filler Tepisirken,25 Dec. 2011,7.5,"Hearing a gunshot over the phone, Behzat's team rushes to save one of their own. Facebook messages provide leads in a high school boy's murder."
2,8,Kandaki Mesaj,8 Jan. 2012,7.5,"Vulture finds a creepy item in his home. While investigating a murder in his old neighborhood, Harun runs into his former fiancee."
2,9,Cürümüs Bir Seyler Var Ankara'da,15 Jan. 2012,7.2,"When a touring stage actor meets the same demise as the character he is playing, Hamlet, the homicide team is tasked with finding his murderer."
2,10,Kalbim Babama Ait,22 Jan. 2012,7.5,The team investigates the case of a transgender woman found dead on a roadside. Behzat comes home to find his ex-wife acting like they never divorced.
2,11,49. Bölüm,29 Jan. 2012,7.2,"The investigation of an unemployed family man's murder reveals he owed a large debt to a dangerous person, whom Behzat recognizes from a past case."
2,12,50. Bölüm,5 Feb. 2012,7.2,A political cartoonist's murder gives rise to speculation that he was killed by a religious conservative group over an upcoming cartoon on evolution.
2,13,51. Bölüm,12 Feb. 2012,7.8,"When a man is found dead in a remote shack, Behzat recognizes him as one of Ercüment's henchmen. Tekin's young daughter is kidnapped."
2,14,52. Bölüm,19 Feb. 2012,7.7,"Behzat learns the recent murders of a boxer in a hotel room and a woman in a tub were inspired by a novel series, and a third killing is yet to come."
2,15,Büyük Tezgah,26 Feb. 2012,7.4,"The case of a doctor killed in her home appears to be a theft gone wrong. But when a suspect turns up dead, it's clear something bigger is going on."
2,16,Veterinerin Sir Ölümü,4 Mar. 2012,7.5,Behzat and his team anxiously wait to interrogate Tacettin once he regains consciousness. A veterinarian is found strangled with a dog collar.
2,17,Geçmisle Yüzlesmek,11 Mar. 2012,7.5,"Harun learns his sister is investigating Larissa. A worker's murder leads Behzat's team to spy on an appliance store, where shady activity is spotted."
2,18,56. Bölüm,18 Mar. 2012,8.1,Four pals steal a large amount of cash found on a driver who was knocked unconscious during a car crash. But their lucky find soon leads to murder.
2,19,Geçmisin Arkandan Gelecektir,25 Mar. 2012,7.6,"After an elderly man is shot dead at close range while hunting, Behzat's team finds a witness: a senile pal who thinks he's still living in the 1950s."
2,20,Basim Belada,1 Apr. 2012,7.6,"An address found on a man shot dead in the street leads to a nightclub musician, who denies killing him despite a blood feud between their families."
2,21,Derin Iliskiler,8 Apr. 2012,7.6,Behzat finds a shocking link between an old friend and the murder of a company informant digging for insider information on a $60 million deal.
