temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,28 Mar. 2019,8.1,The vampires try to plan a lavish blood feast in honor of a visit by their ancient master from the Old Country.
1,2,City Council,3 Apr. 2019,8.1,The vampires get embroiled in local Staten Island politics as their first step to world domination.
1,3,Werewolf Feud,10 Apr. 2019,8.3,The fragile truce between the vampires and Staten Island's werewolves is tested; Colin Robinson finds romance with a new coworker.
1,4,Manhattan Night Club,17 Apr. 2019,8.1,"The vampires venture into Manhattan, to make an alliance with an old friend who is now the king of the Manhattan vampires."
1,5,Animal Control,24 Apr. 2019,8.2,"Lazslo, in bat form, is captured by Staten Island Animal Control and must be rescued, while Nadja can no longer resist reconnecting with her reincarnated lover Gregor."
1,6,Baron's Night Out,1 May 2019,8.9,The Baron awakens from his slumber and demands to experience the wonders of the New World in a night out in the town.
1,7,The Trial,8 May 2019,9.4,The vampires must defend themselves as an international vampire tribunal gathers to judge them for their transgressions.
1,8,Citizenship,15 May 2019,8.3,"Nadja trains Jenna on how to take her first victim, and Nandor applies for American citizenship."
1,9,The Orgy,22 May 2019,8.1,Tensions run high as the vampires prepare to host the Biannual Vampire Orgy.
1,10,Ancestry,29 May 2019,8.5,Nandor visits one of his living descendants; a lover from Nadja's past reemerges.
2,1,Resurrection,15 Apr. 2020,8.6,"Nadja and Laszlo's new familiar poses problems for Guillermo, and the vampires enlist the services of a local necromancer."
2,2,Ghosts,15 Apr. 2020,8.1,"The vampires hold a seance to deal with a ghost infestation, which leads to a larger infestation."
2,3,Brain Scramblies,22 Apr. 2020,8.3,"The vampires attend their first human Super Bowl party, while Guillermo's search for virgins uncovers a deadly threat."
2,4,The Curse,29 Apr. 2020,8.7,"While the vampires fear they've been electronically cursed, Guillermo tries to thwart a deadly threat to his masters."
2,5,Colin's Promotion,6 May 2020,9.1,Colin Robinson gets promoted at work and his new power threatens the balance of power in the vampire house.
2,6,On the Run,13 May 2020,8.8,"After a vengeful enemy from the past appears without warning, Laszlo flees his home and goes into hiding to avoid certain death."
2,7,The Return,20 May 2020,8.1,The vampires offer shelter to an old nemesis who's down on his luck.
2,8,Collaboration,27 May 2020,8.1,Nandor's old familiar from the 1970s returns to Staten Island; Guillermo leaves to serve a new master; Nadja and Lazslo revive their musical act.
2,9,Witches,3 Jun. 2020,8.2,"When Nandor and Laszlo are abducted by a coven of witches, the others must venture to Brooklyn to rescue them."
2,10,Nouveau Théâtre des Vampires,10 Jun. 2020,8.9,"As they prepare to attend an exclusive event on the vampire social calendar, the vampires try to survive without Guillermo."
3,1,Episode #3.1,2021,,
