temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,"Shito, Shuurai",2 Sep. 2002,7.8,"Shinji Ikari, a 14-year-old boy in the city of Tokyo-3, is delivered to the secret organization NERV, where he is requested by his enigmatic father to save the city from an invading creature called an Angel."
1,2,"Mishiranu, Tenjou",11 Oct. 1995,8.1,"In the wake of the previous battle, Misato hastily decides to let Shinji have a room in her apartment, where he discovers just what an irresponsible person his new guardian is. Shinji is also haunted by memories of his fight with the Angel."
1,3,"Naranai, Denwa",18 Oct. 1995,7.8,"Shinji transfers into a new school within Tokyo-3, catching the fascination of his classmates - and igniting the ire of one student whose sister was injured in the EVA's last battle. Meanwhile, a second Angel makes its way into the city."
1,4,"Ame, Nigedashita Ato",25 Oct. 1995,7.6,"Frustrated by his newfound responsibilities, Shinji runs away from Misato and NERV. After being escorted back to the organization by armed officials, Shinji must decide whether he truly wants to abandon his role as a pilot."
1,5,"Rei, Kokoro no Mukou ni",1 Nov. 1995,7.9,"Rei Ayanami, the pilot of Evangelion Unit 00, is scheduled to undergo another activation test following a horrible accident nearly a month earlier. Shinji makes attempts to understand Rei and her close relationship with his father."
1,6,"Kessen, Dai 3 Shin Tokyo Shi",8 Nov. 1995,8.3,"A new Angel invades, striking a critical blow against Shinji. Taking the enemy's abilities into account, Misato crafts a special strategy involving Units 00 and 01 as well as an enormous positron rifle. Shinji also discovers Rei's motive as a pilot."
1,7,Hito no Tsukurishi Mono,15 Nov. 1995,7.6,"A new nuclear-powered military robot, Jet Alone, goes out of control during a demonstration ceremony and heads toward an almost certain meltdown. With the help of Shinji and EVA-01, Misato takes it upon herself to stop its rampage."
1,8,"Asuka, Rainichi",22 Nov. 1995,7.9,"Misato, Shinji, Touji and Kensuke travel to a famous aircraft carrier to collect the new EVA-02 and its prideful pilot, Asuka Langley Souryuu. A seaborne Angel strikes the fleet, and Asuka leads Shinji into her Eva's entry plug for an immediate demonstration of her skills."
1,9,"Shunkan, Kokoro, Kasanete",29 Nov. 1995,8.2,A quick attack against a new Angel by Asuka and Shinji ends in an embarrassing defeat when the Angel suddenly divides itself. Shinji and Asuka undergo learning a series of synchronized dance movements as per a new team-oriented strategy.
1,10,Magmadiver,6 Dec. 1995,7.5,"Banned by Misato from going on a class trip to Okinawa, Shinji and Asuka catch up on their studies. An embryonic Angel is found inside a volcano, and Asuka volunteers to carry out the perilous task of retrieving the creature."
1,11,Seishi Shita Yami no Naka de,13 Dec. 1995,8.0,"A city-wide power outage puts NERV into a crisis as another Angel invades Tokyo-3. Shinji, Rei and Asuka attempt to make their way into the headquarters as NERV personnel ready the Evas for manual deployment."
1,12,Kiseki no Kachi wa,20 Dec. 1995,8.0,"Misato is promoted to the rank of Major, but she reveals her long-buried sentiments concerning her work at NERV. A massive Angel appears in Earth's stratosphere, and all three Evangelions are deployed to stop it."
1,13,"Shito, Shin'nyuu",27 Dec. 1995,7.8,"During a simulation plug experiment, an Angel with the ability to mimic computer circuitry manages to invade the MAGI supercomputer system and trigger a self-destruct sequence. Ritsuko delves into the system's inner workings and leads a furious attempt to cancel the process."
