temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,14 Dec. 2019,8.1,"Knocked out by fierce winds while paragliding through the air, Yoon Se Ri wakes up on the north side of the Korean DMZ, where Ri Jung Hyuk finds her. (Source: Netflix)"
1,2,Episode #1.2,24 Nov. 2019,8.6,"After talking Jung Hyuk and his comrades into hiding her in his home, Se Ri gets a taste of his way of life. Goo Seung Joon buys refuge in Pyongyang. (Source: Netflix)"
1,3,Episode #1.3,30 Nov. 2019,8.8,"Jung Hyuk invents a bold background story for Se Ri, but Jo Cheol Kang isn't so easy to fool. Seo Dan returns to North Korea. (Source: Netflix)"
1,4,Episode #1.4,1 Dec. 2019,8.8,"When her escape plan falls through, Se Ri turns to another idea for a way out. Dan heads to the village to see Jung Hyuk. (Source: Netflix)"
1,5,Episode #1.5,7 Dec. 2019,8.8,"Jung Hyuk agrees to marry Dan sooner, as his parents wish, but they must do him a favor first. Seung Joon catches a glimpse of Se Ri. (Source: Netflix)"
1,6,Episode #1.6,8 Dec. 2019,8.8,"Dan is less than happy when she hears Jung Hyuk and Se Ri are at a hotel together. Meanwhile, Seung Joon plays what cards he has to save himself. (Source: Netflix)"
1,7,Episode #1.7,14 Dec. 2019,9.1,"A flight out of North Korea awaits Se Ri at the airport. But unwilling to leave Jung Hyuk while he's injured, she brings him to the hospital instead. (Source: Netflix)"
1,8,Episode #1.8,15 Dec. 2019,9.1,Keeping Jung Hyuk away from Se Ri turns out to be much more difficult than Seung Joon anticipated. Jo Cheol Kang stays on their tail. (Source: Netflix)
1,9,Episode #1.9,21 Dec. 2019,9.4,"Se Ri faces her kidnapper. Elsewhere, Jung Hyuk is forced to spread a formidable rumor about himself in order to escape Cheol Kang's clutches. (Source: Netflix)"
1,10,Episode #1.10,22 Dec. 2019,9.2,"Back to her cushy life in the spotlight, Se Ri takes care of business though nothing feels quite the same. Jung Hyuk goes after Cheol Kang. (Source: Netflix)"
1,11,Episode #1.11,28 Dec. 2019,9.0,"It's Jung Hyuk's turn to adjust to a new world. Back in North Korea, Dan gives Seung Joon a place to stay after he loses his protection. (Source: Netflix)"
1,12,Episode #1.12,29 Dec. 2019,9.2,"Hoping to meet Jung Hyuk, his comrades attend an event hosted by Se Ri's company. Seung Joon opens up to Dan over a bowl of rice porridge. (Source: Netflix)"
1,13,Episode #1.13,4 Jan. 2020,9.2,"Se Ri sends the comrades on a shopping spree, and plays hooky from work with Jung Hyuk. Jeong Man Bok encounters a dilemma. (Source: Netflix)"
1,14,Episode #1.14,5 Jan. 2020,9.2,"While Jung Hyk keeps watch over Se Ri, his comrades make themselves useful. Seung Joon can't stop worrying about Dan. (Source: Netflix)"
1,15,Episode #1.15,11 Jan. 2020,9.1,"South Korean officials try to figure out what's going on, but they're given conflicting stories. Seung Joon flees from his captors. (Source: Netflix)"
1,16,Episode #1.16,12 Jan. 2020,8.9,"Before departing, Jung Hyuk leaves behind a surprise that keeps on giving. Dan delivers bittersweet justice. (Source: Netflix)"
1,17,Special,4 Jan. 2020,8.9,
1,18,Special II,5 Jan. 2020,8.6,
1,19,Special III,25 Jan. 2020,8.6,
