temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,16 Jul. 2020,8.0,"In modern, rural Ireland, Connell and Marianne, on different ends of their school's social scene, begin an intense, secret affair."
1,2,Episode #1.2,26 Apr. 2020,8.3,"Marianne and Connell's affair continues, but the pressures of the outside world start to take their toll."
1,3,Episode #1.3,26 Apr. 2020,8.5,"Connell betrays Marianne by making a cowardly choice. Marianne withdraws from school, causing Connell intense guilt."
1,4,Episode #1.4,26 Apr. 2020,8.1,Connell finds college lonely; Marianne finds instant popularity. After running into each other they decide to try to be friends.
1,5,Episode #1.5,26 Apr. 2020,8.5,"Connell joins Marianne's social circle but doesn't fit in. He apologises for how he treated her; she reconsiders her relationship with her new boyfriend, Gareth."
1,6,Episode #1.6,26 Apr. 2020,8.1,"Connell and Marianne are together, but when he loses his job and she has an upsetting trip home, they withdraw from each other."
1,7,Episode #1.7,26 Apr. 2020,8.1,Marianne and Connell are seeing other people and realise (too late) that their break-up was due to a misunderstanding.
1,8,Episode #1.8,26 Apr. 2020,8.5,"Connell visits Marianne at her family's summer home in Italy, where tensions between her and Jamie are at an all-time high."
1,9,Episode #1.9,26 Apr. 2020,7.7,"Marianne, studying abroad, pursues an unhealthy relationship; in Dublin, Connell enjoys an uncomplicated relationship with Helen."
1,10,Episode #1.10,26 Apr. 2020,8.9,"After a tragic event, Connell struggles with severe depression. Marianne remains a lifeline for him from abroad."
1,11,Episode #1.11,26 Apr. 2020,8.8,"In Sligo, Marianne and Connell try to navigate friendship. A fight between Marianne and Alan causes a rift with her family."
1,12,Episode #1.12,26 Apr. 2020,8.9,"Their final year in Trinity, Marianne and Connell are fully together - but how it will endure after they graduate is uncertain."
