temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Adventure of the Clapham Cook,8 Jan. 1989,7.6,"Poirot probes the disappearance of a wealthy woman's cook, and soon uncovers an elaborate plot to hide an ever darker crime."
1,2,Murder in the Mews,15 Jan. 1989,7.5,"When a woman is found shot in her flat after Bonfire Night, Poirot is enlisted to decipher whether the victim died by her own hand, or by someone else's."
1,3,The Adventure of Johnnie Waverly,22 Jan. 1989,6.9,"Poirot tries to prevent the kidnapping of a country squire's son. While his plan fails, all is not what it seems."
1,4,Four and Twenty Blackbirds,29 Jan. 1989,7.2,"When a reclusive painter is found dead, Poirot finds the vital clue in the dead man's last meal."
1,5,The Third Floor Flat,5 Feb. 1989,7.7,Poirot investigates a murder that hits close to home after the new occupant of a flat two floors below his is found shot.
1,6,Triangle at Rhodes,12 Feb. 1989,7.4,An enchanting beauty is fatally poisoned while Poirot holidays on the Greek island of Rhodes.
1,7,Problem at Sea,19 Feb. 1989,7.4,Poirot's Mediterranean cruise is disrupted when an unlikeable passenger is found murdered in her stateroom.
1,8,The Incredible Theft,26 Feb. 1989,7.1,A wealthy industrialist's plan to snare a Nazi sympathizer goes awry when the secret plans for a new fighter plane inexplicably go missing.
1,9,The King of Clubs,12 Mar. 1989,7.1,A deck with a missing card provides Poirot with the clue he needs to solve the murder of the tyrannical head of a movie studio.
1,10,The Dream,19 Mar. 1989,7.8,"A famous pie manufacturer tells Poirot that he has dreamt of his own suicide, then dies under the same circumstances he dreamt about the very next day."
2,1,Peril at End House,7 Jan. 1990,8.1,"While Poirot is staying at an exclusive Cornish resort, he meets a beautiful heiress whose life is in danger."
2,2,The Veiled Lady,14 Jan. 1990,7.5,Poirot becomes a criminal himself when he agrees to help a beautiful woman recover a letter written in her youth that is being used to blackmail her.
2,3,The Lost Mine,21 Jan. 1990,7.4,"When a Chinese businessman with a map to a long lost silver mine is found dead in Chinatown, Poirot must find the map and killer."
2,4,The Cornish Mystery,28 Jan. 1990,7.6,"Alice Pengelley visits Poirot in London, telling him she thinks she is being poisoned by her husband. When Poirot arrives in Cornwall the next day to investigate Mrs. Pengelley's charges, he is too late, and finds her dead."
2,5,The Disappearance of Mr. Davenheim,4 Feb. 1990,7.9,Poirot wagers Chief Inspector Japp that he can solve the mystery of a missing banker without leaving his flat.
2,6,Double Sin,11 Feb. 1990,7.6,"A young woman is delivering a set of antique Napoleon miniatures to an American collector when they are stolen from her suitcase. Captain Hastings, under Poirot's guidance, sets out to find the thief."
2,7,The Adventure of the Cheap Flat,18 Feb. 1990,7.5,"When U.S. Navy plans for a new submarine are stolen and the thief tracked to London, the FBI sends an agent to work with Inspector Japp to recover them."
2,8,The Kidnapped Prime Minister,25 Feb. 1990,7.5,"When the prime minister is kidnapped right before an important international arms summit, Poirot has just 32--and a quarter--hours to find the prime minister."
2,9,The Adventure of the Western Star,4 Mar. 1990,7.3,"After receiving threatening letters, an aristocrat is robbed of her famed diamond in front of Poirot's eyes."
3,1,The Mysterious Affair at Styles,16 Sep. 1990,7.9,Hastings renews his friendship with Poirot and involves him in the mysterious poisoning of the mistress of a manor house married to a man twenty years her junior.
3,2,How Does Your Garden Grow?,6 Jan. 1991,7.7,"At a flower show, an older woman in a wheelchair approaches Poirot, gives him an empty seed packet, and asks him to visit her the next day. When Poirot arrives the next day, the woman is dead, murdered with poison."
3,3,The Million Dollar Bond Robbery,13 Jan. 1991,7.7,"Poirot is entrusted with transferring $1 million in Liberty Bonds to America on the Queen Mary, but the bonds are cleverly stolen anyway."
3,4,The Plymouth Express,20 Jan. 1991,7.5,A mining entrepreneur hires Poirot to solve the brutal murder of his daughter and the theft of her jewels aboard the express train to Plymouth
