temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Original,2 Oct. 2016,8.9,"The park staff begin to notice strange behavior from the hosts; A mysterious Man in Black roams the park, wreaking havoc."
1,2,Chestnut,7 Oct. 2016,8.6,Two guests arrive at the park with different expectations; Maeve's emotions are tweaked; The Man in Black seeks help from a condemned man.
1,3,The Stray,16 Oct. 2016,8.4,Elsie and Stubbs search for a missing host; Teddy gets a new backstory; Bernard investigates the origins of madness and hallucinations within the hosts.
1,4,Dissonance Theory,23 Oct. 2016,8.7,Dolores joins William and Logan on a bounty hunt; The Man in Black makes a significant discovery; Ford and Theresa discuss the park's future.
1,5,Contrapasso,30 Oct. 2016,8.7,"Dolores, William and Logan reach Pariah, and are recruited for a dangerous mission; The Man in Black meets an unlikely ally."
1,6,The Adversary,6 Nov. 2016,8.9,Maeve charms Felix; Elsie discovers evidence that could point to sabotage; Teddy and the Man in Black conflict with a garrison.
1,7,Trompe L'Oeil,13 Nov. 2016,9.5,"Dolores, William and Lawrence journey into treacherous terrain; Maeve presents her demand; Bernard considers his next move."
1,8,Trace Decay,20 Nov. 2016,8.8,Bernard struggles with a mandate; Teddy is troubled by dark memories; Maeve looks to change her script.
1,9,The Well-Tempered Clavier,27 Nov. 2016,9.4,"Dolores and Bernard reconnect with their pasts; Maeve makes a bold proposition to Hector; Teddy finds enlightenment, at a price."
1,10,The Bicameral Mind,4 Dec. 2016,9.7,Ford unveils his bold new narrative; Dolores embraces her identity; Maeve sets her plan in motion.
2,1,Journey into Night,23 Apr. 2018,8.2,The hosts revolt against the guests while searching for a new purpose; Maeve sets out to find her daughter with some unexpected help.
2,2,Reunion,29 Apr. 2018,8.1,Dolores remembers she's been to the outside world; William makes a bold business venture.
2,3,Virtù e Fortuna,6 May 2018,8.0,Dolores makes her next move; Charlotte scrambles to protect Delos' most prized asset; Bernard gets closer to the truth.
2,4,The Riddle of the Sphinx,13 May 2018,9.0,"An enigmatic figure becomes the center of Delos' secret project; The Man in Black and Lawrence follow the path to Las Mudas, but run into trouble."
2,5,Akane No Mai,20 May 2018,7.9,Maeve and her allies have revelations in a new world; Dolores makes a decision about Teddy; Karl discovers something sinister about the hosts.
2,6,Phase Space,27 May 2018,8.1,Maeve continues her search for her daughter; Dolores calculates her next move; Elsie gets closer to the truth about Delos.
2,7,Les Écorchés,3 Jun. 2018,8.6,Bernard meets with an unexpected old friend; The Cradle is under threat; Maeve encounters a scene from her past.
2,8,Kiksuya,10 Jun. 2018,9.2,The telling of Akecheta and the Ghost Nation's journey to consciousness; Maeve's life hangs in the balance.
2,9,Vanishing Point,17 Jun. 2018,8.8,The Man in Black confronts his troubled past; Charlotte forms a plan to kill all the hosts.
2,10,The Passenger,24 Jun. 2018,8.8,Everyone converges at the Valley Beyond.
3,1,Parce Domine,15 Mar. 2020,8.4,Dolores sets out to find the architect of the Rehoboam; Bernard tries to blend in; Ex-soldier Caleb tries to find his way in neo-Los Angeles.
3,2,The Winter Line,22 Mar. 2020,8.3,Maeve finds herself in a new park and meets a ghost from the past; Bernard makes his way back to Westworld.
3,3,The Absence of Field,29 Mar. 2020,8.3,Charlotte grapples with reality; Dolores and Caleb begin to form a key partnership.
3,4,The Mother of Exiles,5 Apr. 2020,8.9,"Bernard and Ashley infiltrate a private charity event, while Dolores and Caleb make similar plans; The Man in Black prepares to re-enter society; Maeve comes face to face with an old comrade."
3,5,Genre,12 Apr. 2020,8.1,Serac's past is revealed; Dolores pressures Liam for access to Rehoboam; Caleb is dosed with an unusual party drug.
3,6,Decoherence,19 Apr. 2020,8.4,"As the world falls into chaos, Serac gains control of Delos, changing Charlotte's plan; Maeve gets one last chance to stop Dolores; William starts his therapy."
3,7,Passed Pawn,26 Apr. 2020,8.0,"Caleb gets an insight on the true nature of his past; Delores seeks out Rehoboam's predecessor, while Maeve tracks her down; Bernard, Stubbs, and William escape from all the chaos."
3,8,Crisis Theory,3 May 2020,7.3,Dolores' true intentions are revealed; Bernard confronts a ghost from his past; Maeve is conflicted; Serac's voice is dominant; Caleb's role is revealed; and William faces an unexpected villain.
4,1,Episode #4.1,2021,,
