temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Secret Origins,17 Nov. 2001,8.0,"Batman and Superman team up to deal with an alien invasion, and a telepathic message leads the duo to a military base housing future ally J'onn J'onzz."
1,2,Secret Origins: Part II,17 Nov. 2001,8.0,"With the nation's warheads disarmed by Superman after a peace initiative, the heroes rally to stop nocturnal alien invaders from blocking out the sun."
1,3,Secret Origins: Part III,17 Nov. 2001,8.2,"The heroes are captured by the aliens just as their leader, the Imperium, arrives. After vanquishing the invasion, they decide to officially join forces as the Justice League."
1,4,In Blackest Night,19 Nov. 2001,7.4,Green Lantern is brought up on charges of genocide and is forced to attend an intergalactic trial courtesy of the Manhunters.
1,5,In Blackest Night: Part II,26 Nov. 2001,7.6,"Suspecting a railroad job, the League digs deeper into the charges against the Lantern. When the Guardians of the Universe arrive, the Manhunters' true motivation is revealed."
1,6,The Enemy Below,3 Dec. 2001,7.7,The team encounters an agitated Aquaman while trying to rescue a submarine crew. His opinion of surface dwellers doesn't improve after an attempted assassination by Deadshot.
1,7,The Enemy Below: Part II,10 Dec. 2001,8.0,"The team is captured after helping Aquaman stop an underwater coup by his half-brother, Orm. Struggling to free himself and his son from death, Aquaman sacrifices his own hand."
1,8,Paradise Lost,21 Jan. 2002,7.7,"Wonder Woman returns to Paradise Island after her abrupt departure, only to find the Amazons turned to stone. Sorcerer Felix Faust demands three mystical artifacts as the ransom."
1,9,Paradise Lost: Part II,28 Jan. 2002,7.8,"While helping Wonder Woman liberate her island, the League discovers Faust is attempting to free Hades and open a portal to Tartarus, a pit of souls."
1,10,War World,24 Feb. 2002,7.5,"While handling an asteroid in space, Superman and J'onn J'onzz are captured and banished to Warworld, a planet where combatants are forced to duel to the death."
1,11,War World: Part II,3 Mar. 2002,7.6,"Fight promoter and new contestant Mongul instructs Superman to throw the fight against him, or he'll destroy the enslaved Draaga's home planet."
1,12,The Brave and the Bold,10 Mar. 2002,7.6,"Gorilla Grodd uses a mind-control device to obtain isotopes that will help destroy Gorilla City. To that end, he enlists Flash to oppose the Green Lantern."
1,13,The Brave and the Bold: Part II,17 Mar. 2002,7.7,"Central City is under the rule of Grodd, who plans on attacking Gorilla City with missiles. As Flash confronts the maniacal ape the team races to stop the destruction."
1,14,Fury,7 Apr. 2002,7.5,The Justice League must battle a fanatical Amazon scheming to kill all the men in the world.
1,15,Fury: Part II,14 Apr. 2002,7.6,"With the male heroes suffering from Aresia's bio-weapon, the female Justice Leaguers race to stop their foe before she can contaminate the entire planet."
1,16,Legends,21 Apr. 2002,8.6,"Several Leaguers are flung into another dimension populated with Green Lantern's childhood comic book heroes, the Justice Guild."
1,17,Legends: Part II,28 Apr. 2002,8.8,"Still trapped in an alternate dimension, the Leaguers help the Justice Guild wage war against the Injustice Guild. But the secret behind this reality threatens to erase them all."
1,18,Injustice for All,6 Sep. 2002,8.5,"Arrested and terminally ill, Lex Luthor breaks out of prison to assemble a team of supervillains to help him destroy the Justice League."
1,19,Injustice for All: Part II,13 Sep. 2002,8.7,"His illness treated by Ultra-Humanite, Luthor pressures his cadre of super-villains to combat the League. While captured, Batman exploits the greed of the group to his advantage."
1,20,A Knight of Shadows,20 Sep. 2002,7.7,The League joins with Etrigan the Demon to battle Morgan Le Fay's scheme of world conquest for her son.
1,21,A Knight of Shadows: Part II,27 Sep. 2002,7.8,The diabolical Le Fays finally obtain the Stone and plan to use it to revert England back to Medieval Times; Wonder Woman resists the advantage of Harv Hickman-just before he is turned into a parasite.
1,22,Metamorphosis,4 Oct. 2002,7.5,Green Lantern's friend is transformed into a monstrous elemental shape-shifter by his jealous employer and is tricked into thinking Green Lantern is responsible.
1,23,Metamorphosis: Part II,11 Oct. 2002,7.5,A confused Mason/Metamorpho is finally convinced the League is there to help him. Together they race to head off the newly transformed Stagg before he kills Mason's fiancé-his own daughter.
1,24,The Savage Time,9 Nov. 2002,8.5,The Justice League go back in time to World War II to prevent the immortal Vandal Savage from using future technology to change history.
1,25,The Savage Time: Part II,9 Nov. 2002,8.4,"Mired in World War II, the Leaguers discover that Vandal Savage has usurped Hitler and is getting technology from his future self, setting the stage for his eventual rule."
1,26,The Savage Time: Part III,9 Nov. 2002,8.6,"With the help of Sgt. Rock, the League races to stop Savage's plans to invade the U.S. with warplanes and forever alter the course of world history."
2,1,Twilight,5 Jul. 2003,8.2,Darkseid convinces the League to help him fight Brainiac from destroying his planet of Apokolips.
2,2,Twilight: Part II,5 Jul. 2003,8.5,"Trapped in Brainiac's headquarters, a temperamental Superman discovers that the metal monstrosity has made a deal with Darkseid, whose own son Orion engages him in battle."
2,3,Tabula Rasa,4 Oct. 2003,8.3,Lex Luthor finds an extremely advanced android that can imitate superpowers and manipulates it to attack the Justice League.
2,4,Tabula Rasa: Part II,4 Oct. 2003,8.5,"Android Amazo has absorbed most of the League's powers, but begins to question Luthor's true motivations. Meanwhile, Batman reveals he has a contingency plan for Superman going AWOL: Kryptonite."
2,5,Only a Dream,11 Oct. 2003,8.4,A man becomes a supervillain who attacks his victims in their dreams.
2,6,Only a Dream: Part II,11 Oct. 2003,8.6,"With the other members of the Justice League trapped in their worst nightmares, Batman and Martian Manhunter have to defeat Doctor Destiny and save them before it is too late."
2,7,Maid of Honor,18 Oct. 2003,7.6,Diana makes friends with a flighty princess only to discover her fiancé is the immortal supervillain Vandal Savage.
2,8,Maid of Honor: Part II,18 Oct. 2003,7.8,The Justice League works to thwart Vandal Savage's plan to blackmail the nations of the world with an orbiting railgun.
2,9,Hearts and Minds,25 Oct. 2003,7.5,"After learning of his mentor Katama's fall in battle, the Green Lantern travels to a world at the edge of the galaxy to investigate."
2,10,Hearts and Minds: Part II,25 Oct. 2003,7.6,"Joined by Hawkgirl, Martian Manhunter, and the Flash, the Green Lantern and Katma face the fanatic cult leader Despero in an effort to stop his plans to conquer the galaxy."
2,11,A Better World,1 Nov. 2003,8.9,"In an alternate reality, a version of the Justice League known as the Justice Lords discovers the League's world and plot to take it over."
2,12,A Better World: Part II,1 Nov. 2003,9.0,"With the Justice League out of the way, the Justice Lords begin to establish their own style of order."
2,13,Eclipsed,8 Nov. 2003,7.6,"Released by a soldier, an evil entity takes control of various people and threatens the world."
