temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,A Disastrous Affair,17 Jun. 2016,7.9,"After a bungled raid which kills an innocent man young DS Steve Arnott faces disgrace. However he is transferred to the anti-corruption squad, whose head, superintendent Ted Hastings, gives him a ""very special case"" to investigate - DCI Tony Gates, recently awarded a medal for heroic conduct but with a suspiciously high arrest rate. Hastings tries to get Gates on minor bribery charges, in vain, and is unaware that the married Gates has covered up a fatal hit-and-run by his lover, businesswoman Jackie Laverty. Meanwhile DC Kate Fleming joins Gates's team and tells ..."
1,2,The Assault,3 Jul. 2012,8.3,"Having been duped into covering up Jackie's hit and run, Gates is desperate to sever ties with her. But as Arnott and Fleming close in on his secret, Gates is plunged into an even more dangerous situation."
1,3,In the Trap,10 Jul. 2012,8.1,"Gates, knocked unconscious by the attackers, tampers with evidence, hiding a whiskey glass before police arrive to find Jackie has vanished. He claims he has just got there himself. Hastings and Arnott quiz him on his relationship with Jackie and he admits she was an old flame but denies knowledge of her money laundering. Arnott goes over the top in confronting him with evidence to suggest he was at Jackie's house when she was killed but makes himself look desperate. Gates is taken off the case and later, whilst investigating Wes's murder, is grabbed by masked men and..."
1,4,Terror,17 Jul. 2012,8.2,"Whilst the money laundering investigation is passed to Fraud Squad Gates is still hounded by his blackmailers. Kate wants to connect him to Jackie's murder and sets out to gain his trust to find further proof though Gates' loyal colleague Morton rumbles her. Hastings and Arnott interview Gates' team and learn from D.S. Cottan that he diverted them from attending the drug dealers' murders, leading them to believe that Gates knew that the dead pair were working with Jackie though Gates persuades his gullible superior that the couple were in fact terrorists building a ..."
1,5,The Probation,24 Jul. 2012,8.5,"Gates returns to rescue Arnott but leaves before Kate, her cover now blown, arrives to find evidence that a body had been stored at the warehouse. Arnott recalls that the chief torturer was called Tommy and admits to Kate that Gates saved him. She believes he is weakening in his attitude to Gates, whom he goes to see in secret, confirming his view that Gates is innocent of all the murders. Convinced that Gates is in danger but can bring the killers to justice Arnott persuades Hastings to let Gates set up a meeting with Tommy, recorded on a wire. Arnott and Kate intend..."
2,1,The Ambush,1 Jul. 2016,8.7,"A police convoy escorting a civilian under a witness protection scheme is attacked, the witness hospitalized and all the police officers killed, except Inspector Lindsay Denton, who organized the operation at very short notice and who only informed DCC Dryden of the route. Ted Hastings asks Steve and Kate to interview her but Kate pulls out, claiming one of the dead officers, Jayne Akers, was a friend - though she has been having an affair with Jayne's husband Rich. Her place is taken by Georgia Trotman, who is troubled that the men are savage with their interrogation..."
2,2,Carly,19 Feb. 2014,8.6,"Following the deaths of Georgia and the witness it is Steve who gets a grilling as to the police presence at the hospital whilst Lindsay is accused of attacking her neighbour, which she denies. Steve discovers that a nurse on the witness's ward, Claire Tindall, was threatened into giving the killer access by a man she knows as Joe, but whom she is unable to identify. Lindsay continues to search for vanished teenager Carly Kirk and Kate is drafted in as her assistant - in reality a move to try and get Lindsay to admit her guilt - but Lindsay sees through the ruse. ..."
2,3,Behind Bars,26 Feb. 2014,8.3,"Lindsay is remanded in custody where she is victimized by both staff and prisoners. Meanwhile Steve and Kate discover the identity of the dead witness from blunt inspector Cottan. He was known as Tommy and Cottan believes that Jayne Akers, his liaison officer, was the real mole who betrayed the escort. Kate visits Lindsay, who knows about her affair with Jayne's husband whilst Cottan has similar suspicions. Lindsay's accusations also cause friction between Hastings and Steve, whilst Dryden's driving offence attracts the press so to save himself he strikes a deal ..."
2,4,Blood Money,5 Mar. 2014,8.7,"An arrogant Dryden is questioned regarding the traffic offence and is dismissive though Steve lets him know Lindsay has revealed that he knew about the convoy route and aims to pursue it further. Rich Akers is also pulled in after £20,000 of which he claims ignorance is found under the floor boards at his house. Hargreaves is convinced this was the bribe given Jayne to betray the escort and when Steve and Kate examine Jayne's car they discover a tracking device though Hargreaves is not keen for its revelation. Furthermore Cottan and Hargreaves see video evidence ..."
2,5,Last Words,12 Mar. 2014,8.8,"Lindsay wakes up in a lock-up and is questioned by her abductors. Prasad soon kills his accomplice, Cole, but Lindsay outwits him and makes him admit on the phone that he and Cole were working for Dryden, who set up the ambush. Steve locates her at her dead mother's bedside and she is granted bail, unaware that Prasad, whom she believed that she killed in self-defense, is still alive and demanding immunity. Cottan brings in his old mate Morton for some dirt on Dryden and it is revealed that Dryden had sex with Carly Kirk. He is arrested and questioned, admitting that ..."
2,6,The Caddy,8 Sep. 2016,8.3,"Prasad claims that Dryden wanted Tommy silenced as he was blackmailing him about Carly, hence the ambush. However the order was to spare Lindsay. Hastings charges Dryden for the driving scam but has insufficient evidence for the weightier charges as Dryden apparently proves that the last he saw of Carly was when he put her on a train. Kate is surprised that Steve seems to believe in Lindsay's innocence until he admits that he is purposely trying to gain her confidence to trap her. When she is shown to have accepted a proposal by a colleague to snare a child abuser she..."
3,1,Monsters,8 Sep. 2016,8.8,"When a criminal is shot dead by a police armed-response unit led by Sergeant Danny Waldron, AC-12 gather evidence suggesting it was a deliberate killing rather than self-defense."
3,2,The Process,31 Mar. 2016,8.5,"Danny's armed-response unit come under increasing scrutiny as AC-12 feed Kate information to help her crack their story. Steve makes a shocking discovery, then his own past catches up with him."
3,3,Snake Pit,7 Apr. 2016,8.5,DS Steve Arnott believes there is a dark secret in Danny Waldron's past. Then the spotlight falls on his questionable conduct in a previous inquiry - the Lindsay Denton case.
3,4,Negative Pressure,14 Apr. 2016,8.6,"Fresh testimony launches AC-12 back on the trail of the Caddy, a corrupt officer with links to organized crime."
3,5,The List,21 Apr. 2016,9.2,AC-12's loyalties are divided when DS Arnott comes under scrutiny from his colleagues.
3,6,Breach,28 Apr. 2016,9.6,"Steve is arrested on suspicion of murder but continues to protest his innocence. Kate's undercover operation unveils unexpected facts, but will it hold the key to uncovering the identity of the Caddy?"
4,1,In the Shadow of the Truth,4 Jun. 2017,8.7,"When DCI Roz Huntley captures a serial killer, Forensic Coordinator Tim Ifield alerts AC-12 to a possible miscarriage of justice."
4,2,Who Sows the Wind,11 Jun. 2017,8.3,"A dismembered body is discovered, and worries grow when Roz fails to report for duty. After further questioning of Michael Farmer unearths crucial new information, AC-12 challenge the case against him."
4,3,In the Trap,9 Apr. 2017,8.9,"As shocking new evidence is unearthed, AC-12 step up their investigation in to the case against Michael Farmer."
4,4,Moral Superiority,16 Apr. 2017,8.7,"The discovery of new forensic anomalies appears to provide AC-12 with a major breakthrough. Meanwhile, Nick Huntley comes under scrutiny."
4,5,Lying Nest,23 Apr. 2017,8.7,AC-12's future hangs in the balance after Hilton bars them from investigating Roz Huntley. But Roz's problems are building closer to home.
4,6,Royal Hunting Ground,30 Apr. 2017,9.2,AC-12 pit their wits against Roz Huntley in a climactic duel to find Tim Ifield's murderer and unmask Balaclava Man.
