temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Shippû dotô,19 May 2004,8.5,"When two vagrant samurais stumble into waitress Fuu, the three get in trouble with the local magistrate."
1,2,Hyakkiyakô,2 Jun. 2004,7.9,"After Mugen cuts off a former enemy's arm, the enemy sets out to extract revenge on him by kidnapping Fuu and kill Mugen and Jin."
1,3,Ishindenshin sono ichi,9 Jun. 2004,7.9,"After running away from Fuu, Jin and Mugen enter a town where they are hired by opposing gangs as body guards."
1,4,Ishindenshin sono ni,16 Jun. 2004,8.1,The trio's reunion is put on stand still as they all must partake in gang warfare.
1,5,Bajitôfû,23 Jun. 2004,7.9,"Looking for enough money to catch a ferry, Fuu stumbles upon an artist looking for models to paint - but is this painter all he's really set out to be?"
1,6,Akage ijin,30 Jun. 2004,7.6,Mugen and Jin lose their weapons and their appetites in a rice eating contest. The only way for them to get them back is by posing as tour guides.
1,7,Shimensoka,7 Jul. 2004,8.1,Fuu is caught in a web of deception when she falls for a pick pocket with a heart of gold.
1,8,Yuigadokuson,14 Jul. 2004,7.9,A sword of sling slinger with a crush on Fuu reveals the dark secret of Jin's past. To restore his good name Jin will need to dual him.
1,9,Chimimôryô,21 Jul. 2004,8.1,"The crew is headed for the gallows after getting caught using fake travel permits, but Mugen can save them by outhustling a gang of warrior priest."
1,10,Idoku seidoku,28 Jul. 2004,8.4,Mugen takes his training to the next level in preparation for a full moon death match with the killer who uses a deadly armor piercing attack.
1,11,Daraku tenshi,4 Aug. 2004,8.8,"Jin Falls in love with the suicidal beauty whose husband sold her into slavery, and Mugen tries to make his fortune in beetle sumo wrestling."
1,12,Onkochishin,11 Aug. 2004,6.9,"When Mugen and Jin do the unthinkable and read Fuu's diary, they are treated to a rich riveting recap of all their greatest misadventures."
1,13,Anya kôro sono ichi,25 Aug. 2004,7.9,"When Mugen crosses paths with a face from his past, he reluctantly signs on for a heist that could land him a fortune in stolen gold."
1,14,Anya kôro sono ni,1 Sep. 2004,8.7,"Doublecrossed and headed for the bottom of the ocean, Mugen flashes back to his life before he died for the first time."
1,15,Tettô tetsubi,8 Sep. 2004,8.3,Mugen goes under the covers with an undercover investigator who's out to put the smack down on a murderous ring of counterfeiters.
1,16,Suiseimushi hito yume,15 Sep. 2004,7.8,"Mugen, Jin and Fuu get into a big fight and separate."
1,17,Suiseimushi futa yume,22 Sep. 2004,8.1,"The Matsumae clan Han mistaken Mugen for Okuru, while Jin and Fuu cross paths once again in the forest."
1,18,Bunburyôdô,22 Jan. 2005,7.7,Mugen learns his letter from a sake-guzzling maniac; Jin makes good on a promise; Funn sparks a jealous showdown between two graffiti artist.
1,19,Ingaôhô,29 Jan. 2005,7.6,Fuu harbors a female fugitive who may hold the key to finding the samurai who smells like sunflowers.
1,20,Hikakôgai sono ichi,4 Feb. 2005,8.4,"Mugen defend the honor of a blind songtress, but when the trio of wanderers become a quartet, Fuu must make an important decision."
1,21,Hikakôgai sono ni,11 Feb. 2005,8.9,Mugen has his own deadly run-in with the same blind beauty that sent Jin plummeting toward a gruesome end.
1,22,Dohatsu shôten,18 Feb. 2005,6.9,The trio fall into the clutches of a horde of rotting zombie treasure hunters. Next they get blown into oblivion by an asteroid.
1,23,Ichikyû jikkon,25 Feb. 2005,7.8,"A baseball game against American conquerors in which Mugen, Jin and Fuu take part decides the future of Japan."
1,24,Seishi ruten sono ichi,5 Mar. 2005,8.6,Fuu tries to end-up the journey with her companions in the best possible way. But they are soon caught by their past.
1,25,Seishi ruten sono ni,12 Mar. 2005,9.0,"As Jin duels Kagetoki Kariya, the most powerful man in the shogunate, Mugen has to contend with three brothers who want his head."
1,26,Seishi ruten sono san,19 Mar. 2005,9.2,"As Fuu finally confronts the Sunflower Samurai, Mugen and Jin face their ultimate tests. While Mugen must face the remaining brothers, Jin continues his battle with Kagetoki Kariya. And there's the small matter of their own duel."
