temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,9 Feb. 2011,9.0,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,2,Dugun,16 Feb. 2011,8.7,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,3,Hali Saha,23 Feb. 2011,8.6,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,4,Fidye,2 Mar. 2011,8.6,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,5,Sohret,9 Mar. 2011,8.7,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,6,Banka,16 Mar. 2011,8.9,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,7,Rüya,23 Mar. 2011,8.9,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,8,Mantar,30 Mar. 2011,8.5,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,9,Sihirbaz,13 Apr. 2011,8.7,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,10,Dünyanin Sonu,20 Apr. 2011,8.5,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,11,Canta,27 Apr. 2011,8.6,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,12,Cesek,4 May 2011,8.8,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,13,Fake to the Future,11 May 2011,8.9,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,14,Evler,18 May 2011,8.5,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,15,Arda'nin Dügünü,25 May 2011,8.6,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
1,16,Clone Wars,8 Jun. 2011,8.5,"Arda's father works with a crazy professor. Together, they start cloning people."
1,17,Sekerpare,13 Jun. 2011,9.2,Ismail meets a woman and he fells in love. He doesn't know what to do in this situation so he wants help from his friends.
1,18,Arda Kalan,20 Jun. 2011,8.5,"Iskender founds his own mafia, ""Godfather"" style. Set on spoiling the peace, Arda's father sends Kamil to wreak havoc in the neighborhood."
1,19,Benjamin,27 Jun. 2011,8.6,"Benjamin creates chaos in the neighborhood and separates Leyla and Mecun, but his vendetta is directed against the white-bearded grandpa."
1,20,Hoscakal,4 Jul. 2011,9.3,Leyla decides to go to United States and Mecnun can't make her change her decision.
2,1,Ramadan Is Coming,8 Aug. 2011,8.7,Leyla is in U.S.A. Mecnun is so depressed about this and he wants to bring her back with Dede's help.
2,2,Yozgat,15 Aug. 2011,8.7,Aksakalli Dede is lost. Mecnun wants to find him. He discovers that Leyla is kidnapped. Benjamin makes Mecnun see weird dreams.
2,3,Mecnun,29 Aug. 2011,8.7,"Leyla is kidnapped and Mecnun wants to save her. He learns everything was just a game. When he learns everyone was in the game, Mecnun shoots himself in the head."
2,4,Beyin,29 Aug. 2011,8.6,Mecnun is in coma. The crew enter Mecnun's subconscious in order to save him.
2,5,Nurten'in Yegeni,5 Sep. 2011,8.4,Mecnun suddenly decides to marry Nurten's niece. Everyone is shocked by this decision.
2,6,Evlenme,12 Sep. 2011,8.3,Mecnun suddenly changes his mind. He doesn't want to marry Nurten's niece anymore but brothers of the bride force him for marriage.
