temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Train Job,20 Sep. 2002,8.5,Mal has second thoughts after discovering that two boxes of Alliance goods his crew has been hired to steal are full of badly needed medical supplies headed for the mining town of Paradiso.
1,2,Bushwhacked,27 Sep. 2002,8.5,"Serenity is pulled in by an Alliance cruiser while investigating a spaceship that was attacked by Reavers. Simon and River must hide to prevent capture, while something is wrong with the lone survivor of the attacked spaceship."
1,3,Our Mrs. Reynolds,4 Oct. 2002,9.0,A woman claiming to be Mal's wife appears aboard Serenity.
1,4,Jaynestown,18 Oct. 2002,8.8,"Mal and the crew of Serenity land to pick up some contraband In Canton, a township on Higgins' Moon, where labor is provided under servitude run by the local magistrate. Jayne had once robbed the boss with a partner but barely escaped by jettisoning from their getaway vehicle his partner (now waiting for revenge) and the money boxes (who have made him a legendary hero). Jayne is recognized by all and ""welcomed"" accordingly. Sub-plots show Simon and Kaylee face their growing romantic feelings, River first tries to ""fix"" the Bible and is later traumatized by seeing ..."
1,5,Out of Gas,25 Oct. 2002,9.4,"When Serenity's life support system fails, Mal orders the crew off the ship - but he stays behind."
1,6,Shindig,1 Nov. 2002,8.5,"In order to secure a job transporting cargo off-planet for a client, Mal attends a social event where a dance with Inara leads to him being challenged to a swordfight in defense of her honor."
1,7,Safe,8 Nov. 2002,8.3,"Mal must choose which crew members to save when one is gravely wounded and two others are kidnapped. Simon finds an uneasy haven in a remote village, but River's uncanny perceptions jeopardize the Tams' temporary safety."
1,8,Ariel,15 Nov. 2002,9.1,Serenity travels to the core world Ariel and Simon comes up with a plan to steal drugs from the hospital.
1,9,War Stories,6 Dec. 2002,8.9,Niska catches up with the Serenity crew.
1,10,Objects in Space,13 Dec. 2002,9.2,"Serenity encounters a ruthlessly professional bounty hunter, Jubal Early, who will stop at nothing to retrieve River. But River, feeling unwelcome on the ship, takes a novel approach to escaping from the Alliance."
1,11,Serenity,20 Dec. 2002,8.9,"Malcolm Reynolds is a veteran and the captain of Serenity. He and his crew are smuggling goods, but they need to pick up some passengers for extra money. However, not all the passengers are what they seem."
1,12,Heart of Gold,4 Aug. 2003,8.5,A Companion-trained friend of Inara's who runs a brothel on a remote planet calls for help from Serenity when a local reveals his intentions to take the baby from a woman he impregnated.
1,13,Trash,21 Jul. 2003,8.8,Saffron returns to offer the crew a mission but not everyone is willing to trust her again.
1,14,The Message,28 Jul. 2003,8.5,"A dying request from an old army buddy turns treacherous for Mal, Zoë, and the rest of the crew."
