temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Revenge,2 Oct. 1955,7.4,"When Carl Spann's wife Elsa is assaulted by an unknown attacker, he drives his still-incoherent wife around town, hoping she can point him out, so he can kill him."
1,2,Premonition,9 Oct. 1955,7.5,"A man returning to his home town finds his father has died, and suspects his friends are covering up the true details of that death."
1,3,Triggers in Leash,16 Oct. 1955,7.0,A cook tries everything she can think of to end a dispute between two gunmen who have sworn to kill each other.
1,4,Don't Come Back Alive,23 Oct. 1955,7.3,"Frank Partridge and his wife plot to cheat their life insurance company by having her hide out for 7 years and declared legally dead, but an investigator believes Mr. Partridge has murdered her."
1,5,Into Thin Air,30 Oct. 1955,6.8,"When a young woman leaves her ill mother in a Paris hotel room and comes back later, she finds her mother is missing, and all the hotel's employees deny she and her mother were ever there."
1,6,Salvage,6 Nov. 1955,7.3,"Gangster Dan Varrell, just released from prison, goes looking for the woman he holds responsible for his brother's death."
1,7,Breakdown,13 Nov. 1955,8.3,"William Callew is involved in a bad traffic accident on a rural road, that leaves him so paralyzed he appears lifeless, and when help arrives they think he's really dead."
1,8,Our Cook's a Treasure,20 Nov. 1955,7.6,A serial-murderer maid is on the loose in the city. Ralph becomes suspicious of his wife Ethel's housemaid Mrs. Sutton.
1,9,The Long Shot,27 Nov. 1955,7.9,"Heavily indebted Charlie Raymond is hired to accompany a British visitor on a trip across the USA, and looks for a way to take advantage of his employer."
1,10,The Case of Mr. Pelham,4 Dec. 1955,7.7,A series of troubling incidents lead Mr. Pelham to believe that he has a double who is deliberately impersonating him.
1,11,Guilty Witness,11 Dec. 1955,7.6,"When Mr. and Mrs. Crane hear the Verbers having a violent argument in the apartment just above them, and then Mr. Verber disappears the next day, they can't help suspecting the worst."
1,12,Santa Claus and the Tenth Avenue Kid,18 Dec. 1955,6.8,"While working as a department store 'Santa Claus', a paroled convict tries to help a troubled boy."
1,13,The Cheney Vase,25 Dec. 1955,7.0,"When Lyle Endicott is fired from his job at an art museum, he comes up with a plan to take advantage of a trusting invalid whom he befriended at the museum."
1,14,A Bullet for Baldwin,1 Jan. 1956,7.2,"When an office worker is fired from his job, he shoots his boss to death, but when he returns to the office his boss is alive, and has no recollection of the incident."
1,15,The Big Switch,8 Jan. 1956,7.4,"Gangster Sam Dunleavy sets up an elaborate alibi so that he can kill his ex-girlfriend Goldie, who left him for another man."
1,16,You Got to Have Luck,15 Jan. 1956,7.9,"During a massive manhunt for escaped convict Sam Cobbett, Cobbett invades a house where young housewife Mary Schaffner is home alone."
1,17,The Older Sister,22 Jan. 1956,6.8,"One year after Mr. and Mrs. Borden were brutally murdered, reporter Nell Cutts tries to interview Lizzie Andrew Borden and her sister Emma about the killings."
1,18,Shopping for Death,29 Jan. 1956,6.6,"Two retired insurance salesmen confront an aggressive, hostile woman in hopes of saving her from a disaster."
1,19,The Derelicts,5 Feb. 1956,7.0,"Inventor Ralph Cowell murders his silent partner Alfred, only to be blackmailed by vagrant Peter Goodfellow, who witnessed the crime."
1,20,And So Died Riabouchinska,12 Feb. 1956,7.0,Detective Krovitch investigates a murder at a run-down vaudeville theater and gets a hot lead from the ventriloquist's dummy.
1,21,Safe Conduct,19 Feb. 1956,6.7,"An American journalist meets a soccer star while traveling behind the Iron Curtain, but then is arrested as a suspected smuggler."
1,22,Place of Shadows,26 Feb. 1956,6.4,"A young man tries to insinuate his way into a monastery, in order to gain revenge on a thief whom he blames for ruining his life."
1,23,Back for Christmas,4 Mar. 1956,7.9,"Before leaving on a trip to America, a man kills his wife and buries her in the basement. Once in the United States. he receives correspondence tipping him off that the murder will undoubtedly be exposed."
1,24,The Perfect Murder,11 Mar. 1956,7.3,"Worried that their Aunt Rosalie doesn't really like them, brothers Paul & Henri set out to get their hands on her fortune any way they can."
1,25,There Was an Old Woman,18 Mar. 1956,7.3,"Dishonest Frank and Lorna Bramwell visit the home of wealthy, eccentric Monica Laughton, with the intention of robbing her."
1,26,Whodunit,25 Mar. 1956,7.3,"Recently deceased mystery writer Alexander Penn Arlington gets permission from the recording angel to relive his last day on earth, so that he can find out who murdered him."
1,27,Help Wanted,1 Apr. 1956,7.8,"To pay for his wife's operation, Mr. Crabtree takes a job working for the mysterious Mr. X, who asks him to manage a job involving a blackmailer."
1,28,Portrait of Jocelyn,8 Apr. 1956,7.1,"At an art gallery, Mark is surprised when the art dealer hands over a portrait of Mark's first wife instead of the painting he'd originally purchased."
1,29,The Orderly World of Mr. Appleby,15 Apr. 1956,7.4,An antique dealer comes up with a clever way to raise money to pay off a loan. But things won't be as easy for the shop owner the second time around...or will they?
1,30,Never Again,22 Apr. 1956,7.4,"After arguing with her boyfriend, Karen wakes up in a jail cell with no recollection of what transpired and is told that she committed murder."
1,31,The Gentleman from America,29 Apr. 1956,6.9,"Rich American Howard Lattimer visits London, and bets 1000 pounds that he can spend the night in a room that is said to be haunted."
1,32,The Baby Sitter,6 May 1956,6.9,"When Clara Nash is murdered, her baby-sitter Lottie Slocum is excited to be the center of attention, and she also hopes to become closer to Clara's husband."
1,33,The Belfry,13 May 1956,6.6,"When Clint Ringle learns that Ellie Marsh, the schoolteacher whom he loves, is engaged to Walt Norton, Clint kills Walt and then hides in the schoolhouse's bell tower, waiting for his chance to exact further revenge."
1,34,The Hidden Thing,20 May 1956,6.2,"After Dana Edwards' fiancée Laura is killed by a hit-and-run driver, he is visited by John Hurley, who claims to be able to use memory recall techniques that will help him to remember the car's license plate number."
