temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Buruma to Son Gokû,26 Feb. 1986,7.8,"The legend of the Dragon Balls is explained. After doing his chores and fishing, Son Gokû meets Buruma, who is on a quest to find the seven Dragon Balls, two of which she already has. She goes to Son Gokû's house and sees that he has a Dragon Ball, which his adoptive grandfather gave him before he died. When she can't convince him to give her his Dragon Ball, she convinces him to join her on her quest to unite the dragon balls. After leaving, Son Gokû must rescue Buruma from a pterodactyl. Meanwhile, Pilaf finds a Dragon Ball of his own."
1,2,Arararâ! Tama ga nai!,5 Mar. 1986,7.6,"Bulma and Son Gokû have started their travel. They stop and Bulma throws one of her Hoi Poi Capsules, displaying a house inside, much for Son Gokû's surprise. While helping him taking a bath, Bulma realizes Son Gokû's tail is real and functional, A little bit in shock, she takes a bath while trying to deal with this innocent and bit annoying wild boy. Meanwhile, the cruel Pilaf sent Mai and Shû after a Dragon Ball Mai have tracked. Son Gokû told Bulma a little about his past before falling asleep. Then an awkward situation occurs that makes Bulma think the Dragon ..."
1,3,Kame Sen'nin no Kinto-un,12 Mar. 1986,7.8,"Bulma and Son Gokû left for a while their search for the Dragon Balls in order to help Son Gokû's new friend, turtle Umigame, reach the sea. Bulma is not comfortable with Son Gokû's choice, but she decide to join him, afraid of being left alone and in danger. Soon they face an enemy but Son Gokû will not surrender and he will stand up for his new turtle friend. Son Gokû defeat with no problem their enemy, and soon they arrive to the beach, where the turtle thank Son Gokû and ask him to wait for him to bring a present. Meanwhile, Pilaf receive a phone call saying that ..."
1,4,Hitosarai yôkai Ûron,19 Mar. 1986,7.6,"It's been 3 days since Kame Sen'nin gave Son Gokû the Kinton Cloud, and Bulma the Dragon Ball he had. Now, Bulma and Son Gokû are traveling to a valley in order to collect a fifth Dragon Ball (thanks to Bulma's invention, the ""Dragon Radar""). They soon reach a village that seems abandoned, but truth is that people were hiding their young daughters from the terrible Oolong. Bulma arranges that Son Gokû will confront Oolong in exchange of the Dragon Ball that an old lady have, helping the villagers to rescue their daughters. But when Gokû finally confront the kidnapper ..."
1,5,Tsuyokute warui Sabaku no Yamucha,26 Mar. 1986,7.5,"Bulma and Son Gokû continue their quest for the sixth Dragon Ball, alongside Oolong, who, Bulma thought, might be useful due to his shape-form abilities. As soon as Oolong heard that they must pass through the Desert, he's terrified and tried to escape. Bulma manages to get Oolong under control in a very impressive and clever way. Bulma realizes that she has lost her Hoi-Poi capsules, meaning she doesn't have any transportation. The three of them begins to walk into the Desert in order to reach their destination. But the heat and exhaustion overwhelms Bulma who fell ..."
1,6,Mayonaka no hômonsha-tachi,2 Apr. 1986,7.5,"It's been 1 week since Bulma and Son Gokû started their journey in search of the 7 Dragon Balls, and they already have 5 of them. After Gokû and Oolong's meeting with Yamcha and Puar, and the fight between Gokû and Yamcha, Oolong finally reveals to Bulma that he was hiding a Hoi-Poi capsule, with a little trailer inside. While Son Gokû is eating Bulma goes for a bath, not forgetting to check first if there are any ""peep-holes"" in the bathroom, from which Oolong may spy on her. While taking a shower, Yamcha and Puar attempts to steal the Dragon Balls, as well as Mai ..."
1,7,Furaipan yama no Gyûmaô,9 Apr. 1986,7.6,"Goku, Bulma, and Oolong arrive at Fire Mountain, with Yamcha and Puar following closely behind. There, they meet the Ox King, who lives in the castle on Fire Mountain."
1,8,Kame Sen'nin no Kamehameha,16 Apr. 1986,8.0,"Master Roshi agrees to let Goku borrow the Bansho fan, but when he goes to retrieve it, he remembers that he spilled juice on it and threw it out. He decides to put out the fire himself."
1,9,Usagi oyabun no tokui-waza,23 Apr. 1986,7.3,"Son Goku, Bulma and Oolong arrive at a village in which the villagers seem scared of Bulma. It is soon found out to be due to her outfit having the rabbit ears associated with the Rabbit Gang, lead by Usagi Ninjinka."
1,10,Doragon bôru ubawareru!!,30 Apr. 1986,7.6,"Shu runs off with Bulma's suitcase, which contains their Dragon Balls. Luckily, Goku still has the Four-Star Ball."
1,11,Tsuini Doragon arawaru!,7 May 1986,7.7,"Mai steals the Four-Star Ball from Goku. When they wake up, Pilaf sends giant pinballs rolling after them."
1,12,Shenlong e no negai,14 May 1986,8.1,"To stop Emperor Pilaf, Oolong interrupts his wish for world conquest with a wish for underpants. A furious Pilaf orders them burned to death. Then Goku looks up at the full moon and unleashes an ancient evil."
1,13,Gokû no dai-henshin,21 May 1986,8.0,"Goku, now the Great Ape, begins destroying Pilaf's castle. Bulma, Yamcha, Oolong, and Puar are able to escape as Pilaf, Mai, and Shu start attacking Goku."
1,14,Gokû no raibaru? Sanjô!!,28 May 1986,7.1,"Goku heads towards Master Roshi's island. Suddenly, another boy named Krillin requests training from Master Roshi."
1,15,Fushigi na On'na no Ko Ranchi,4 Jun. 1986,7.1,"Goku and Krillin bring Launch back to Master Roshi's island. Unknown to either of them, when she sneezes, she turns into a violent blonde criminal."
1,16,Shugyô · ishi sagashi,11 Jun. 1986,7.2,"Master Roshi gives the boys their final test for the day. He throws a stone into the woods, telling them to find it, and the loser must go without dinner."
1,17,Inochigake! Gyûnyû haitatsu,18 Jun. 1986,7.3,Master Roshi has the boys deliver milk in many exhausting runs.
1,18,Kame senryû kitsûi shugyô,25 Jun. 1986,7.3,Goku and Krillin continue their intense training.
1,19,Tenkaichi Budôkai hajimaru!,2 Jul. 1986,7.4,"After months of training with heavy turtle shells, the boys are eager to learn fighting techniques in time for the 21st World Martial Arts Tournament."
1,20,Deru ka!? Shugyô no iryoku,9 Jul. 1986,7.6,"The preliminaries of the 21st World Martial Arts Tournament begin with Goku, Krillin, and Yamcha eager to advance."
1,21,Ayaushi! Kuririn,16 Jul. 1986,7.2,"In the quarterfinal matches, Krillin is in the first match against Bacterian, a giant whose stench overwhelms the enemy."
1,22,Yamucha vs Jakkî Chun,23 Jul. 1986,7.4,"In the quarterfinals, Yamcha fights the powerful Jackie Chun. Nam fights Ranfan, who relies on seduction to win."
1,23,Detâ! Kyôteki Giran,30 Jul. 1986,7.5,"Goku's quarterfinal opponent, the monstrous Giran fights him with cheating tactics."
1,24,Kuririn hisshi no dai-kôbôsen,6 Aug. 1986,7.5,"The semifinals begin as Krillin and Jackie Chun fight. Unfortunately, Jackie Chun's too fast for Krillin."
1,25,Tate Gokû! Osoru beki tenkû X-ji ken,13 Aug. 1986,7.6,"Goku starts his semifinal match against Nam, who uses aerial attacks."
1,26,Kesshôsen da!! Kamehameha,20 Aug. 1986,7.6,"After many impressive battles, the final match of the World Martial Arts Tournament has finally arrived. This ultimate showdown features crafty veteran Jackie Chun taking on the rambunctious youngster Goku."
1,27,Gokû · saidai no pinchi,27 Aug. 1986,7.6,The final match between Goku and Jackie Chun continues as Jackie's hypnosis and Goku's janken fail to yield results. They are then forced to unleash their deadliest techniques.
1,28,Gekitotsu!! Pawâ tai pawâ,3 Sep. 1986,7.7,"Jackie Chun reveals that the actual target of his Kamehameha wave was the moon, to de-power Goku. With both of them exhausted, they agree on a straightforward finish to the fight."
1,29,Futatabi bôken samayô mizûmi,10 Sep. 1986,6.9,"The river at Nam's village has run dry, and Goku finds that a dam has been built upstream by Giran and his fellow monsters."
1,30,Pirafu to nazo no gundan,17 Sep. 1986,7.2,"When the dragon radar is stolen, Goku follows the thief to to an antique shop with a Dragon Ball."
1,31,Gege! Nise Gokû shutsugen!!,24 Sep. 1986,7.1,The much pursued Dragon Ball ends up in the possession of the great and powerful Ox-King - who just happens to be busy planning his daughter's wedding.
1,32,Kieta!? Sora tobu yôsai,1 Oct. 1986,7.1,Both the Red Ribbon Army and Goku pursue Pilaf for the Dragon Ball.
1,33,Doragon no densetsu,8 Oct. 1986,7.0,Master Roshi tells everyone the legend of the Dragon Balls.
1,34,Hijô no Reddo Ribon,15 Oct. 1986,7.3,Goku and the Red Ribbon Army race each other in a search for the five-star ball.
1,35,Kita no shôjo Suno,22 Oct. 1986,7.2,The girl called Snow explains to Goku that the Red Ribbon Army is forcing their village to help them look for the Dragon Ball.
1,36,Massuru Tawâ no kyôfu,29 Oct. 1986,7.7,Goku enters Muscle Tower and fights a large android named Major Metallitron.
1,37,Ninja Murasaki sanjô,5 Nov. 1986,7.5,"Ninja Murasaki is sent to kill Goku. They engage in games of hide and seek, racing, and shuriken throwing."
