temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Cruelty,6 Apr. 2019,8.6,Tanjiro Kamado's life gets turned upside down when he finds out that his family was murdered by demons.
1,2,Trainer Sakonji Urokodaki,13 Apr. 2019,8.2,"Tanjiro and Nezuko head for Mt. Sagiri per Giyu Tomioka's urges. On their way, Tanjiro encounters another demon."
1,3,Sabito and Makomo,20 Apr. 2019,8.5,"The Demon Slayer Corps - An organization that's been hunting down demons since ancient times. Sakonji Urokodaki starts training Tanjiro for Final Selection, the test for joining the unit."
1,4,Final Selection,27 Apr. 2019,9.0,"To pass the Final Selection, Tanjiro uses the techniques he learned from Sakonji Urokodaki and begins his fight against a demon on Mt. Fajikasane."
1,5,My Own Steel,4 May 2019,8.4,There are only four swordsmen left come dawn of the seventh day and they are issued Demon Slayer Corps uniforms and messengers crows.
1,6,Swordsman Accompanying a Demon,11 May 2019,8.3,In uniform and with a sword in his hand Tanjiro continues his main quest to find the demon who murdered his family.
1,7,Muzan Kibutsuji,18 May 2019,9.0,With Tanjiro backed into a corner by demons its Nezuro's turn to attack and prove that she no longer needs her brother's protection.
1,8,The Smell of Enchanting Blood,25 May 2019,8.8,"Two demons, Tamayo and Yushiro come to Tanjiro's rescue. Tamayo guides Tanjiro and Nezuko to her house where Tanjiro learns how to return demons to humans."
1,9,Temari Demon and Arrow Demon,1 Jun. 2019,8.7,"Two demons, Tamayo and Yushiro come to Tanjiro's rescue. Tamayo guides Tanjiro and Nezuko to her house where Tanjiro learns how to return demons to humans."
1,10,Together Forever,8 Jun. 2019,8.8,With Tamayo coming to Nezuko's aid the battle reaches its climax. Tanjiro learns about the Twelve Demon Moons organization.
1,11,Tsuzumi Mansion,15 Jun. 2019,7.8,"Tanjiro heads to his next location southeast; on the way he meats Zenitsu, one of the swordsmen of the FInal Selection."
1,12,"The Boar Bares Its Fangs, Zenitsu Sleeps",22 Jun. 2019,8.4,Tanjiro gets separated from Zenitsu when he enters a mysterious house where he encounters another demon and someone else.
1,13,Something More Important Than Life,29 Jun. 2019,8.5,"Inside the mysterious house, Tanjiro battles Kyogai - The Drum Demon while Zenitsu tries to bring Shoichi to safety."
1,14,The House with the Wisteria Family Crest,6 Jul. 2019,8.1,"After defeating Kyogai, Tanjiro steps outside where he spots Inosuke who is eager to fight him. After a short tussle Tanjiro, Inosuke , Nezuko and Zenitsu head to a manor where they are taken in by an old woman."
1,15,Mount Natagumo,13 Jul. 2019,8.4,Tanjiro heads to his next location to a mountain northwest and he brings Inosuke and Zenitsu with him. Upon arriving on the spiderweb swarmed mountain Tanjiro and Inosuke soon run into Demon Slayers entangled in spider webs.
1,16,Letting Someone Else Go First,20 Jul. 2019,9.0,Tanjiro and Inosuke head farther up the mountain while battling Demon Slayers trapped by spider webs. Soon they find out that the Spider Demon family is behind it all.
1,17,You Must Master a Single Thing,27 Jul. 2019,9.3,Zenitsu finds himself alone in the woods where he encounters a spider with a human face. Despite being terrified he does his best and manages to defeat the spider human using a new technique.
1,18,A Forged Bond,3 Aug. 2019,9.3,"High up on the mountain Tanjiro and Inosuke face off against Father Spider Demon, one of the Twelve Demon Moons (or at least they think so)."
1,19,Hinokami,10 Aug. 2019,9.9,"Inozuke confronts his savior. Zenitsu lies still near his death. Tanjiro faces what seems to be an unstoppable enemy, and in a moment of desperation, recalls his past."
1,20,Pretend Family,17 Aug. 2019,9.1,"With his life flashing before his eyes Rui remembers the family he created. Meanwhile, Shinobu arrives on the mountain to stop Rui's older sister."
1,21,Against Corps Rules,24 Aug. 2019,8.9,"In his final moments, as he perishes to ash and dust, Rui tells the story of how he came to be, his family and the family he created."
