temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,30 Jan. 2016,8.5,"Sylvia's claim to her inherited part of Horace and Pete's brings the family together, as Horace has to deal with his own relationship to Rachel."
1,2,Episode #1.2,6 Feb. 2016,8.4,Pete meets an old friend while Sylvia seeks help and Horace tries to tackle his sexual fantasies.
1,3,Episode #1.3,13 Feb. 2016,9.3,Horace's ex-wife visits Horace and Pete's to get some advice.
1,4,Episode #1.4,20 Feb. 2016,8.4,An old waitress from the bar revisits Horace and Pete's while Uncle Pete and his son debate sex.
1,5,Episode #1.5,27 Feb. 2016,8.4,"A wake is held at the bar and Horace, Pete and Sylvia try to reach an agreement concerning the bar and their futures."
1,6,Episode #1.6,5 Mar. 2016,8.9,Pete meets a woman through internet dating and brings her home to meet the family.
1,7,Episode #1.7,12 Mar. 2016,8.8,"Pete has a plan, while Horace and Sylvia have interesting experiences."
1,8,Episode #1.8,19 Mar. 2016,8.5,"While Silvia and Horace are having some good time in their lives, Pete is facing a situation where he has to make a difficult decision for himself. Fortunately he finds courage from people he wouldn't expect."
1,9,Episode #1.9,26 Mar. 2016,9.0,Pete has gone missing for a week which leaves Horace frustrated.
1,10,Episode #1.10,2 Apr. 2016,9.5,Horace resurfaces the pub history by revealing the conditions of wrong bringing up attitudes of the previous generations.
