temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Independence Day,26 Nov. 2010,8.5,Three teenage sidekicks decide to investigate a fire at a genetics laboratory... and discover a plot to create a clone of Superman.
1,2,Fireworks,26 Nov. 2010,8.6,"Robin, Kid Flash, and Aqualad are captured and only Superboy, the telepathically controlled clone of Superman, can free them. As they struggle to reach the surface, they must do battle with the transformed scientist known as Blockbuster."
1,3,Welcome to Happy Harbor,21 Jan. 2011,7.9,"Batman has yet to assign the team a mission, and the team grows restless. A fire at a nearby power plant is the team's first mission or is it just a test?"
1,4,Drop-Zone,28 Jan. 2011,8.3,Batman sends the team on its first official mission - to observe and report on a Venom Factory. The team chooses its leader.
1,5,Schooled,4 Feb. 2011,8.4,Young Justice is assigned transport duty. To deliver parts of an android that has duplicated the powers of several Justice Leaguers. The creator of the android wants him back.
1,6,Infiltrator,11 Feb. 2011,8.4,Roy rescues a scientist from the League of Shadows. He asks Young Justice to protect her and neutralize the weapon that she was working on. Artemis joins the team.
1,7,Denial,18 Feb. 2011,8.6,"When the team investigates the disappearance of Kent Nelson (formerly Doctor Fate), the scientific-minded Wally West is forced to confront his disbelief in magic while battling Abra Kadabra and Klarion the Witch Boy for the ultra-powerful helmet of fate."
1,8,Downtime,4 Mar. 2011,8.2,"After a poor performance during a mission, Batman gives the team some time off. Aqualad considers going back to Atlantis."
1,9,Bereft,11 Mar. 2011,8.7,"The team awakens in the Biaylan desert with amnesia. Miss Martian tries to unite the team to restore their memories, and must find the cause of their amnesia."
1,10,Targets,16 Sep. 2011,8.6,Red Arrow has to protect one villain from another in order to ensure that peace talks between two warring nations go well.
1,11,Terrors,23 Sep. 2011,8.7,"Batman assigns Superboy and Miss Martian to go undercover inside Belle Reve, a federal prison designed to house the world's worst super-villains."
1,12,Homefront,30 Sep. 2011,9.0,"When the cave is attacked, can Artemis and Robin - the two teens without super-powers - save the Team (or even themselves) from the unknown invaders?"
1,13,Alpha Male,7 Oct. 2011,8.4,"When Batman sends the Team and new ""den-mother"" Captain Marvel to India to investigate bizarre reports of armed animals attacking human beings, can Aqualad pull his fractured Team together?"
1,14,Revelation,14 Oct. 2011,8.8,"Batman assigns the Team to battle the Injustice League, when plant creatures they control begin a global assault."
1,15,Humanity,21 Oct. 2011,8.8,"The Team is on the hunt for Red Tornado, and their friend Zatanna wants to come along for the ride."
1,16,Failsafe,4 Nov. 2011,9.3,"When the Justice League is defeated during an alien invasion, the Team has to step up and fill their mentors' shoes."
1,17,Disordered,11 Nov. 2011,8.2,"Superboy's ""Sphere"" goes through a surprising change, revealing a connection to the forever people of New Genesis."
1,18,Secrets,18 Nov. 2011,8.3,"It's Halloween. Artemis and Zatanna are in Manhattan for a girls' night out. There, they encounter the deadly Harm, who has a secret."
1,19,Misplaced,3 Mar. 2012,9.1,"When Earth's 5 most powerful sorcerers make all the adults on the planet disappear, it's up to the Team, Zatanna, and Billy Batson to stop them."
