temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Apéritif,11 Apr. 2013,8.4,"The head of the FBI Behavioral Science unit, Jack Crawford, calls on profiler Will Graham to assist them catch a serial killer. The killer has now kidnapped eight women, all similar in appearance and always on a Friday. His most recent victim is Elise Nichols. Graham has been teaching at the FBI academy and isn't too keen on going out into the field. He is particularly empathetic and has a tendency to get far too involved in these types of cases. Crawford arranges for a well-known psychiatrist, Hannibal Lecter, to work with him and ease the stress. It seems Lecter has..."
1,2,Amuse-Bouche,11 Apr. 2013,8.3,"Will and Jack hunt a killer who is burying his victims alive, so they will become fertilizer for his garden of fungus. While the tabloid journalist Freddie sets targets in on Will."
1,3,Potage,18 Apr. 2013,8.3,"Determined to give Abigail closure, Will and Hannibal take Abigail back to the scene of her father's crimes. But things take a turn for the worse when the copycat killer strikes again."
1,4,Oeuf,29 Apr. 2013,8.0,"A series of family murders takes place, and Will determines they were conducted by each of the families' missing children, who were abducted and brainwashed into killing their old families for their ""new family."" Against Alana's advice, Hannibal checks Abigail out of the hospital for some frightening psychiatric practices that ultimately align her loyalty with him."
1,5,Coquilles,25 Apr. 2013,8.1,"A murdered couple is found in a motel room, posed in praying positions with the flesh of their backs opened and strung to the ceiling to give them the appearance of wings. Using hairs collected from the motel pillow, the BAU team discover several medications used to treat brain tumors in the killer's bloodstream. Graham surmises that the killer is transforming his victims into guardian angels to watch over him because he is afraid of dying in his sleep."
1,6,Entrée,2 May 2013,8.6,"A nurse at the Baltimore State Hospital for the Criminally Insane is brutally murdered by a patient, Dr. Abel Gideon, in a manner reminiscent of the ""Chesapeake Ripper"", who hasn't committed a murder in two years, the same number of years Gideon has been incarcerated. While Graham tries to discover whether Gideon truly is the Ripper, Crawford receives a phone call, apparently from the real Ripper, who plays the recorded voice of Miriam Lass, a trainee Crawford had consulting on the Chesapeake Ripper case two years previously when she suddenly disappeared."
1,7,Sorbet,9 May 2013,8.8,"The BAU is called in when a man is found in a hotel room bathtub with his kidney removed and Graham must determine whether this is the act of an organ harvester or if the Chesapeake Ripper has claimed his first victim in two years. Meanwhile, Crawford continues to be haunted by the discovery of Miriam Lass's arm. Dr. Bloom suspects that Crawford has become obsessed with catching the Ripper, and is putting Graham in danger by making him chase the Ripper."
1,8,Fromage,16 May 2013,9.0,"Lecter's patient Franklin Froideveaux worries that his friend Tobias may be a psychopath, but Franklin's growing obsession with Lecter is what concerns the latter more. Graham investigates the murder of a Baltimore musician who had his throat opened and a cello neck inserted through his mouth. Graham, with Lecter's guidance, interprets this as one killer serenading another. Graham's mental stability deteriorates further when he begins having auditory hallucinations of animals in pain and when his romantic feelings for Alana Bloom are rejected."
1,9,Trou Normand,23 May 2013,8.4,"A totem pole of human bodies ranging from freshly killed to decades old are found on a beach and while Graham is investigating the crime scene, he suddenly finds himself in Lecter's office, three and a half hours away, with no recollection of how he got there. Lecter theorizes that Graham's mind is trying to escape from having to investigate such brutal murders."
1,10,Buffet Froid,30 May 2013,8.8,"Beth LeBeau is found murdered, having drowned in her own blood as a result of her face being cut into a Glasgow smile. Graham's mental state continues to sharply decline; he loses hours at a time and when a vivid hallucination causes Graham to contaminate the crime scene, Lecter refers him to a neurologist, an old residency colleague, Dr. Sutcliffe."
1,11,Rôti,6 Jun. 2013,8.7,"Dr. Abel Gideon escapes from custody and begins targeting the psychiatrists who attempted to treat him, displaying their bodies with a Colombian necktie. While Alana Bloom is put under protective custody, Gideon kidnaps Dr. Frederick Chilton and lures Freddie Lounds into a trap, forcing her to write an article about him. Meanwhile, Graham's undiagnosed Encephalitis drives his temperature up, causing severe hallucinations."
1,12,Relevés,13 Jun. 2013,8.9,"Following an offhand comment by Graham, a comb left in the chamber of Georgia Madchen, who accidentally sparks a fire inside her hyperbaric chamber and is burned to death. Angered, Graham deduces that several recent murders were all the work of a copycat patterning after recent serial murders, and that Georgia was killed because she may have remembered the face of whoever had killed Dr. Sutcliffe."
1,13,Savoureux,20 Jun. 2013,9.3,"Following his strange trip to Minnesota, Graham is taken into custody by Crawford for the probable murder of Abigail Hobbs. They find her severed ear in his kitchen sink and her blood under his fingernails. Alana is left devastated by the arrest and is determined to find the cause of Graham's dementia, despite Crawford's insistence that there is no underlying cause. She has him draw a clock when he tells her that Dr. Lecter had him perform a similar test, and the results solidify her belief that there is a physical explanation for Graham's instability."
2,1,Kaiseki,28 Feb. 2014,9.0,"While Will continues to assert his innocence, Hannibal and Jack try to come to terms with the fact that he's in jail; Kade Purnell visits Will."
2,2,Sakizuke,7 Mar. 2014,9.1,"The BAU team narrows in on the origin of the discarded bodies from the soupy crime scene, working to discover the killer's artful plan, while Will Graham begins an artful plan of his own from within the asylum."
2,3,Hassun,14 Mar. 2014,8.8,Jack Crawford risks his job by going against the FBI's directives and revealing to the court that it was his hand that pushed Will to his limit.
2,4,Takiawase,21 Mar. 2014,9.3,"The FBI is called in when a dead body is discovered, the skull converted into a beehive. Meanwhile Beverly Katz finds a clue about the mural killer that sends her down a deadly path."
2,5,Mukozuke,28 Mar. 2014,9.3,Freddie Lounds finds Beverly's sectioned corpse; Will meets the copycat killer and orders him to kill Hannibal. Gideon overhears this and gives Alana the chance to save Will from becoming a murderer.
2,6,Futamono,4 Apr. 2014,9.3,A city councilman's body is found intertwined with a tree; Jack crashes Hannibal's dinner party to investigate Will's suspicions; a revelation shocks everyone.
2,7,Yakimono,11 Apr. 2014,9.3,"Will is released from Chilton's Asylum, while the discovery of Miriam Lass gives Jack new hope in finding the Chesapeake Ripper."
2,8,Su-zakana,18 Apr. 2014,8.6,"Will assists the investigation into a woman's body found inside a horse, while Alana frets about Will's intentions toward Hannibal. With the clock ticking, Will and Hannibal race to protect a witness they believe to be in great peril."
2,9,Shiizakana,25 Apr. 2014,8.7,"The BAU team look into the case of a truck driver's body that appears to have been torn apart by two different animal species. Will meets Hannibal's strange new patient after one of his sessions. Determined to find Will's true self, Hannibal devises a test but the results surprise him."
2,10,Naka-Choko,2 May 2014,9.0,Will's willingness to go to dark places strengthens his bond with Hannibal -- and garners Jack's attention; Hannibal gives Margot advice about her brother's violent nature.
2,11,Ko no Mono,9 May 2014,9.0,Jack and team discover the truth of Freddie Lounds' disappearance. Hannibal shows Will how much Abigail reminded him of his sister.
2,12,Tome-wan,16 May 2014,9.3,"During a therapy session, Will shares a vision of how he would kill Hannibal. Meanwhile, an increasingly impatient Jack brings in a surprise witness to help Will catch Hannibal."
2,13,Mizumono,23 May 2014,9.9,"Jack devises a plan to apprehend Hannibal, while Hannibal prepares for his departure. Will makes his decision, and it results in devastating consequences."
3,1,Antipasto,4 Jun. 2015,8.4,After the devastating bloodbath at Lecters home Hannibal establishes a new life for himself in Italy along with the company of his own psychiatrist Bedelia.
3,2,Primavera,11 Jun. 2015,8.2,Will Graham awakes from his coma and begins to piece together the events that took place after the bloodbath at Lecters home.
3,3,Secondo,18 Jun. 2015,8.3,Will travels to Lithuania where he gains a new ally in his search for Hannibal Lecter while Jack Crawford makes his way to Italy with some searching of his own
3,4,Aperitivo,25 Jun. 2015,8.2,"Dr. Fredrick Chilton is alive and well, if not somewhat reconstructed, urging those wronged by Hannibal Lecter to use Will Graham as bait to flush him out."
3,5,Contorno,2 Jul. 2015,9.2,Jack and Will along with Chiyoh arrive in Florence with different agendas for Hannibal while Detective Pazzi gets close.
3,6,Dolce,9 Jul. 2015,8.9,Bedelia and Hannibal feel their time in Florence is coming to an end; Jack questions Will's loyalty.
3,7,Digestivo,16 Jul. 2015,9.4,"Captured in Italy, Hannibal and Will are brought to Muskrat Farm, where Mason awaits."
3,8,The Great Red Dragon,23 Jul. 2015,8.8,Hannibal has been imprisoned for three years at the Baltimore State Hospital when a new villain emerges in one Francis Dolarhyde. Jack reaches out to Will to help him track down the brutal serial killer.
