temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,31 Jan. 2019,8.7,A dancer rejected by his homophobic parents and a family man with a high-paying job find themselves being pulled into the world of ball culture in New York in the late 1980s.
1,2,Access,11 Jun. 2018,8.6,"Blanca is denied access to a popular bar leading to a purposeful feud. Meanwhile, inexperienced Damon learns the truth about love and sex when he is asked on a date."
1,3,Giving and Receiving,18 Jun. 2018,8.9,The House of Evangelista celebrates the holidays and prepares for the Snow Ball in spite of Angel's lack of holiday spirit. Elektra contemplates undergoing an affirming medical procedure.
1,4,The Fever,25 Jun. 2018,8.7,Candy's insecurities about her appearance are heightened when she is criticized at a ball. Blanca worries when Damon and Ricky have a medical scare that threatens to tear them apart.
1,5,Mother's Day,2 Jul. 2018,9.0,Blanca is forced to reconnect with her estranged siblings after the death of her mother.
1,6,Love Is the Message,9 Jul. 2018,9.2,Pray Tell organizes a cabaret for the AIDS ward at a local hospital.
1,7,Pink Slip,16 Jul. 2018,8.6,Blanca makes a startling revelation about Lil Papi that changes the House of Evangelista forever; Elektra rethinks her means of survival when the House of Abundance is evicted from their apartment.
1,8,Mother of The Year,23 Jul. 2018,9.3,"The ultimate showdown takes place at the Princess Ball, when the House of Evangelista battle against the House of Ferocity and Mother of the Year is decided."
2,1,Acting Up,12 Jun. 2020,9.0,Blanca encourages the House of Evangelista to follow their dreams. Pray Tell joins an activist group to fight for the rights of HIV-positive people.
2,2,Worth It,18 Jun. 2019,8.6,"Determined to be an example to her children, Blanca launches a business venture with unexpected results. Meanwhile, Ricky's travels have unpredicted consequences for his relationship with Damon, and Elektra shocks the ballroom community with a bold move."
2,3,Butterfly/Cocoon,25 Jun. 2019,8.6,"A fatal mishap with a client leads Elektra to seek out the counsel of Blanca and Candy. Meanwhile, moving from friends to lovers proves to be a challenge for Angel and Lil Papi."
2,4,Never Knew Love Like This Before,9 Jul. 2019,9.1,The Ballroom community is shaken to its core when a valued member is brutally attacked.
2,5,What Would Candy Do?,16 Jul. 2019,8.2,Competition gets the best of Damon and Ricky as they audition for a spot on Madonna's Blonde Ambition tour.
2,6,Love's in Need of Love Today,23 Jul. 2019,7.6,"After falling ill while organizing his annual AIDS Cabaret, PrayTell lands in the hospital leading to a series of unexpected visitors."
2,7,Blow,30 Jul. 2019,8.2,"The House of Evangelista plan a large prank to antagonize Frederica. Meanwhile, Angel is introduced to the unsavory side of modeling."
2,8,Revelations,6 Aug. 2019,8.8,Relationships are irreparably damaged when Damon reveals the secrets others have been hiding.
2,9,Life's a Beach,13 Aug. 2019,8.9,"With Blanca reeling from an unexpected loss, Elektra organizes a girls trip to the shore."
2,10,In My Heels,20 Aug. 2019,9.3,"After a medical set back, Blanca struggles to reassemble the House of Evangelista. Meanwhile, Pray Tell confronts old traumas when an exciting new category is proposed."
3,1,Episode #3.1,2021,,
