temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Celebration,4 Jun. 2018,7.9,"Media magnate Logan Roy shocks his family with a stunning announcement on his 80th birthday. The news shatters his son Kendall, the heir apparent who's in the midst of negotiating the purchase of digital-media venture"
1,2,Shit Show at the Fuck Factory,10 Jun. 2018,7.7,"While Logan is in the hospital, tensions rise when backup plans should be made by the family."
1,3,Lifeboats,17 Jun. 2018,7.8,"As their first act as CEO and COO, Ken and Roman try to dig the company out of a financial mess. Meanwhile, Marcia prevents the family from seeing the recovering Roy."
1,4,Sad Sack Wasp Trap,24 Jun. 2018,8.1,The family attends an annual company gala overseen by Connor and highlighted by a surprise announcement.
1,5,I Went to Market,1 Jul. 2018,8.3,Kendall begins to plot a vote of no confidence against Logan; Tom questions his prenup.
1,6,Which Side Are You On?,8 Jul. 2018,9.1,"Roman and Kendall attempt to sway the board, while Shiv explores her options in D.C."
1,7,Austerlitz,15 Jul. 2018,8.5,The Roys gather for a family therapy session; Kendall finds his sobriety tested.
1,8,Prague,22 Jul. 2018,8.3,Tom has a bachelor's party to remember; Kendall and Roman eye new business opportunities.
1,9,Pre-Nuptial,29 Jul. 2018,8.6,The Roys assemble at an English castle for Shiv and Tom's wedding; Kendall's plans are fast-tracked.
1,10,Nobody Is Ever Missing,5 Aug. 2018,9.2,Roman faces technical difficulties. Tom marks his territory. Kendall hits rock bottom with tragic consequences.
2,1,The Summer Palace,12 Aug. 2019,8.5,"Still addled from the events in England, Kendall tries to make amends with his dad; Logan receives some unvarnished advice from his financial banker; Tom maneuvers for a new position in the company."
2,2,Vaulter,18 Aug. 2019,8.6,"Roman and Kendall do a ""routine health check"" of a new media brand to help Vaulter determine the future of the company; Tom tasks Greg with sniffing out waste at ATN; Connor and Willa host a soiree to mark their return to New York."
2,3,Hunting,25 Aug. 2019,9.1,Logan informs his skeptical management team of his plan to make another attempt to acquire Pierce; Greg worries his pre-meeting will puts his standing with the family at risk; Connor's presidential announcement irritates Logan.
2,4,Safe Room,1 Sep. 2019,9.1,Roman begins a six-week management training program in the Parks division; Logan and Kendall arrange a covert meeting with a PGM CEO as a controversy surrounding a star anchor leads to a day of chaos at ATN headquarters.
2,5,Tern Haven,8 Sep. 2019,9.4,"Shiv, Roman and Connor veer from their roles at a weekend retreat to woo the Pierces."
2,6,Argestes,15 Sep. 2019,8.8,"Logan's deal with the Pierces is threatened; Kendall, Shiv and Roman differ on damage control strategies."
2,7,Return,22 Sep. 2019,8.4,A trip to the UK finds the Roy kids negotiating with their mother; Logan turns to Rhea for advice.
2,8,Dundee,29 Sep. 2019,8.8,"The entire Roy clan travels to Logan's hometown of Dundee, Scotland, for a celebration of Logan's 50 years in the business; Kendall becomes enamored with Jennifer, an actress in Willa's play; a former employee proves difficult to silence."
2,9,DC,6 Oct. 2019,9.2,"Logan, Kendall, Gerri and Tom testify before Congress; Shiv speaks candidly to Kira, a victim who is set to be a key witness; in Turkey, Roman's business pitch takes a chilling turn."
2,10,This Is Not for Tears,13 Oct. 2019,9.8,Logan looks for a sacrificial lamb among his closest allies as the future of the company hangs in the balance.
3,1,Episode #3.1,2020,,
