temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The National Anthem,4 Dec. 2011,7.7,"Prime Minister Michael Callow faces a shocking dilemma when Princess Susannah, a much-loved member of the Royal Family, is kidnapped."
1,2,Fifteen Million Merits,11 Dec. 2011,8.1,"In a world where people's lives consist of riding exercise bikes to gain credits, Bing tries to help a woman get on to a singing competition show."
1,3,The Entire History of You,18 Dec. 2011,8.6,"In the near future, everyone has access to a memory implant that records everything they do, see and hear. You need never forget a face again - but is that always a good thing?"
2,1,Be Right Back,11 Feb. 2013,8.0,"After learning about a new service that lets people stay in touch with the deceased, a lonely, grieving Martha reconnects with her late lover."
2,2,White Bear,18 Feb. 2013,8.0,"Victoria wakes up and cannot remember anything about her life. Everyone she encounters refuses to communicate with her, and they all seem to know something she doesn't. But what?"
2,3,The Waldo Moment,25 Feb. 2013,6.7,A failed comedian who voices a popular cartoon bear named Waldo finds himself mixing in politics when TV executives want Waldo to run for office.
2,4,White Christmas,16 Dec. 2014,9.1,Three interconnected tales of technology run amok during the Christmas season are told by two men at a remote outpost in a frozen wilderness.
3,1,Nosedive,21 Oct. 2016,8.3,"A woman desperate to boost her social media score hits the jackpot when she's invited to a swanky wedding, but the trip doesn't go as planned."
3,2,Playtest,21 Oct. 2016,8.1,"An American traveler short on cash signs up to test a revolutionary new gaming system, but soon can't tell where the hot game ends and reality begins."
3,3,Shut Up and Dance,21 Oct. 2016,8.5,"When withdrawn Kenny stumbles headlong into an online trap, he is quickly forced into an uneasy alliance with shifty Hector, both at the mercy of persons unknown."
3,4,San Junipero,21 Oct. 2016,8.6,"When Yorkie and Kelly visit San Junipero, a fun-loving beach town full of surf, sun and sex, their lives are changed."
3,5,Men Against Fire,21 Oct. 2016,7.6,Future soldiers Stripe and Raiman must protect frightened villagers from an infestation of vicious feral mutants.
3,6,Hated in the Nation,21 Oct. 2016,8.5,"In near-future London, police detective Karin Parke, and her tech-savvy sidekick Blue, investigate a string of mysterious deaths with a sinister link to social media."
4,1,USS Callister,29 Dec. 2017,8.3,Capt. Robert Daly presides over his crew with wisdom and courage. But a new recruit will soon discover nothing on this spaceship is what it seems.
4,2,Arkangel,29 Dec. 2017,7.3,"After nearly losing her daughter, a mother invests in a new technology that allows her to keep track of her."
4,3,Crocodile,29 Dec. 2017,7.3,A woman interviews various people using a device that allows her to access their memories.
4,4,Hang the DJ,29 Dec. 2017,8.8,"Paired up by a dating program that puts an expiration date on all relationships, Frank and Amy soon begin to question the system's logic."
4,5,Metalhead,29 Dec. 2017,6.6,"In the post-apocalyptic landscape of the Scottish Moors, a woman attempts to survive the land full of ""dogs."""
4,6,Black Museum,29 Dec. 2017,8.7,"A woman enters the Black Museum, where the proprietor tells his stories relating to the artifacts."
5,1,Striking Vipers,5 Jun. 2019,6.8,"Two estranged college friends reunite in later life, triggering a series of events that could alter their lives forever."
5,2,Smithereens,5 Jun. 2019,7.5,A cab driver with an agenda becomes the centre of attention on a day that rapidly spirals out of control.
5,3,"Rachel, Jack and Ashley Too",5 Jun. 2019,6.0,A lonely teenager yearns to connect with her favorite pop star - whose charmed existence isn't quite as rosy as it appears...
