temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Yogurt Shop/Pizzeria,28 Feb. 2013,8.2,Nathan gets buzz for a yogurt shop by creating a controversial flavor. He also devises a scheme for 8-minute pizza delivery.
1,2,Santa/Petting Zoo,7 Mar. 2013,8.8,"Nathan discovers the professional Santa he's helping has a dark secret and his attempt to market a petting zoo has unexpected results. Also, a teen is caught doing graffiti."
1,3,Clothing Store/Restaurant,14 Mar. 2013,8.2,Nathan encourages a clothing store to allow shoplifting and trains a new assistant. A restaurant owner is surprised when Nathan asks to be included in her will.
1,4,Gas Station/Caricature Artist,21 Mar. 2013,9.2,Nathan helps an independent gas station by devising the world's greatest rebate. He also attempts to make a fledgling caricature artist famous.
1,5,Haunted House/The Hunk,28 Mar. 2013,8.7,Nathan tries to help a struggling haunted house. He also attempts to overcome his fear of the opposite sex by dating ten women at once.
1,6,Funeral Home/Burger Joint/Skydiving,4 Apr. 2013,8.1,"Nathan helps a struggling funeral home, a burger joint is forced to stand by its claim that it has the best burger in Los Angeles, and Nathan goes skydiving."
1,7,The Claw of Shame,11 Apr. 2013,8.6,"In this special episode, Nathan performs a daring escape in which he risks a fate that is truly worse than death, and failed business ideas from the season are showcased."
1,8,Private Investigator/Taxi Company,18 Apr. 2013,8.6,"Nathan puts a private investigator to the test by allowing himself to be spied on for a day, a taxi company is brought a solution for shy customers, and Nathan is forced to include product placement in his show."
2,1,Mechanic; Realtor,1 Jul. 2014,8.4,"Nathan convinces a mechanic to verify his estimates with a polygraph test, and rebrands a realtor to sell only ghost-free homes."
2,2,Souvenir Shop; ELAIFF,8 Jul. 2014,9.4,Nathan's plan to help a Hollywood souvenir shop has surprising consequences.
2,3,Pet Store; Maid Service,15 Jul. 2014,8.2,A pet store is given a new way to advertise; Nathan challenges a maid service to clean a house in six minutes.
2,4,Liquor Store; Exterminator; Car Wash,22 Jul. 2014,8.4,Nathan helps a liquor store sell to underage customers; an exterminator learns how to work discretely.
2,5,Dumb Starbucks,29 Jul. 2014,9.5,Nathan uses parody law to help a struggling coffee shop.
2,6,Dating Service; Party Planner,5 Aug. 2014,8.6,Nathan helps a dating website attract female users; a party planner is given a new way to send out invites; Nathan also shares his strategy for self-motivation.
2,7,Taxi Service; Hot Dog Stand,12 Aug. 2014,8.1,Nathan tries to get press for a taxi company; a hot dog stand implements Nathan's new customer service initiative.
2,8,Toy Company; Movie Theatre,19 Aug. 2014,8.3,Nathan shows a toy company how to market to children; a movie theater instates a no-sharing policy at the concession stand; Nathan reconnects with an old friend.
3,1,Electronics Store,15 Oct. 2015,9.3,Nathan faces off against a big corporation in an attempt to help a struggling electronics store.
3,2,Horseback Riding/Man Zone,22 Oct. 2015,8.4,Nathan helps overweight people to be able to take horse riding lessons and also helps a Boutique business to increment their number of customers.
3,3,The Movement,29 Oct. 2015,9.0,Nathan tries to get laborers to work for free at a moving company.
3,4,Sporting Goods Store/Antique Store,5 Nov. 2015,8.4,"Nathan attempts to secure an endorsement deal for a sporting-goods store, and an antique shop learns how to better utilize their ""You break it, you buy it"" policy."
3,5,Smokers Allowed,12 Nov. 2015,9.1,Nathan helps a dive bar get around anti-smoking laws.
3,6,Hotel/Travel Agent,19 Nov. 2015,8.6,"A hotel tries to appeal to sexually active parents, a travel agent finds out how profit from her elderly customers, and Nathan shares his solution for never being late."
3,7,Nail Salon/Fun,3 Dec. 2015,8.5,"Nathan helps a nail salon overcome racial stereotypes while providing a service. Meanwhile, Nathan proves to the world, once and for all, that he is fun to hang out with."
3,8,The Hero,10 Dec. 2015,9.4,Nathan tries to prove that there's a hero inside every one of us.
4,0,Nathan for You: A Celebration,21 Sep. 2017,8.3,"In a special episode hosted by Anthony Napoli, Nathan checks in with former guests of the show, including Brian Wolfe and the Ghost Realtor."
4,1,The Richards Tip,28 Sep. 2017,8.7,Nathan helps a small-town diner with an act of extreme generosity.
4,2,Chili Shop/Massage Parlor,5 Oct. 2017,8.0,Nathan helps a chili maker sell his chili at a closed event. Nathan promotes a massage parlor in an unusual way.
4,3,Andy vs. Uber,12 Oct. 2017,9.1,Nathan teams up with a struggling taxi driver to take down Uber.
4,4,The Anecdote,19 Oct. 2017,9.2,Nathan hones his storytelling skills.
4,5,Shipping Logistics Company,26 Oct. 2017,8.4,Nathan teaches an international exporter how to ship smoke alarms tax-free.
4,6,Computer Repair/Psychic,2 Nov. 2017,7.8,"Nathan helps a computer repair shop earn the public's trust, and a psychic's marketing turns personal."
4,7,Finding Frances,9 Nov. 2017,9.6,Nathan attempts to help a Bill Gates impersonator reunite with his long-lost love.
