temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Secrets,1 Dec. 2017,8.3,"The small German town of Winden is shaken by the disappearance of a teenage boy. While the townsfolk are occupied with secrets of their own, at nightfall a group of teenagers attempts to recover something the missing boy may have left behind."
1,2,Lies,1 Dec. 2017,8.2,"When a grim discovery leaves the police baffled, Ulrich seeks a search warrant for the power plant. A mysterious stranger checks into the hotel."
1,3,Past and Present,1 Dec. 2017,8.7,"It's 1986, and Ulrich's brother, Mads, has been missing for a month. Confusion reigns as past and present intertwine."
1,4,Double Lives,1 Dec. 2017,8.3,"Bizarre occurrences give Charlotte a sense of déjà vu, and she suspects Peter is hiding something. Franziska snaps when Magnus confronts her."
1,5,Truths,1 Dec. 2017,9.0,Hannah takes her obsession with Ulrich too far. The stranger asks Regina to deliver an important package. Martha is torn between Jonas and Bartosz.
1,6,Sic Mundus Creatus Est,1 Dec. 2017,9.1,"Ulrich looks to the past for answers and dredges up disturbing family secrets. Armed with new tools, Jonas probes the cave's murky depths."
1,7,Crossroads,1 Dec. 2017,8.8,"Ulrich questions a frail and frightened Helge in the nursing home. Jonas searches for Mikkel, but the stranger warns him about meddling with the past."
1,8,"As You Sow, so You Shall Reap",1 Dec. 2017,9.2,"In 1953, the disfigured bodies of two boys are exhumed at a construction site, the future location of Winden's nuclear power plant."
1,9,Everything Is Now,1 Dec. 2017,8.8,"Ulrich runs afoul of the law, Helge tries to dodge Egon Tiedemann, Claudia harnesses the cave's powers, and Katharina lashes out at Hannah."
1,10,Alpha and Omega,1 Dec. 2017,9.2,"Peter gets a shock. Jonas learns the truth about his family, but there are more surprises still to come. Helge makes a sacrifice."
2,1,Beginnings and Endings,21 Jun. 2019,8.9,"Six months after the disappearances, the police form a task force. In 2052, Jonas learns that most of Winden perished in an apocalyptic event."
2,2,Dark Matter,21 Jun. 2019,9.0,"Clausen and Charlotte interview Regina. The Stranger takes Hannah to 1987, where Claudia has an unnerving encounter and Egon visits an old nemesis."
2,3,Ghosts,21 Jun. 2019,9.2,"In 1954, a missing Helge returns, but he'll only speak to Noah. In 1987, Claudia brings the time machine to Tannhaus, and Egon questions Ulrich again."
2,4,The Travelers,21 Jun. 2019,9.5,"Jonas meets an ominous figure. While the kids comb the cave for answers, the adults gather in the bunker to share what they know about the travelers."
2,5,Lost and Found,21 Jun. 2019,9.4,"In 1987, Ulrich seizes an opportunity. The kids return to the cave with the time machine, and Jonas learns of a loophole that could change the future."
2,6,An Endless Cycle,21 Jun. 2019,9.6,"Armed with a plan to prevent the apocalypse, Jonas travels to 2019. During the Nielsens' anniversary party, Ulrich sneaks off with Hannah."
2,7,The White Devil,21 Jun. 2019,9.3,Martha meets the Stranger and learns his true identity. Claudia tries to prevent Egon's death in 1987. Hannah travels to 1954 to see Ulrich.
2,8,Endings and Beginnings,21 Jun. 2019,9.5,"On the day of the apocalypse, Clausen executes a search warrant at the power plant as Jonas and Claudia use the time machine to connect past and future."
3,1,Deja-vu,27 Jun. 2020,9.0,"In 2019, Jonas emerges from the cave into a different but not unfamiliar world: The town of Winden reeling from the recent disappearance of a young boy."
3,2,The Survivors,27 Jun. 2020,8.9,Martha travels to 1888 to warn her friends about the 2020 disaster. Winden residents past and present search for their missing loved ones.
3,3,Adam and Eva,27 Jun. 2020,8.9,"Charlotte and Ulrich try to piece together what happened in the bunker. In different times and worlds, Jonas and Martha work to gain each other's trust."
3,4,The Origin,27 Jun. 2020,9.1,"Jonas and Martha travel to the year 2052 and get a glimpse of a grim future. In 1954, two residents of Winden go missing, and Hannah receives surprising news."
3,5,Life and Death,27 Jun. 2020,9.5,"In 2020, a visitor delivers a warning to Claudia. The day before the apocalypse, Jonas begins to question Eve's motives."
3,6,Light and Shadow,27 Jun. 2020,9.3,"Adam holds Martha captive in 2020. On the day of the apocalypse, an increasingly frantic Martha begs Bartosz for his help."
3,7,Between the Time,27 Jun. 2020,9.6,"Across three centuries, residents of Winden continue their desperate quest to alter their fates and save their loved ones."
3,8,The Paradise,27 Jun. 2020,9.7,Claudia reveals to Adam how everything is connected and how he can destroy the knot.
