temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,You Can't Fix Ugly,7 Feb. 2018,8.8,"A lonely dump-truck driver with a big ol' heart goes from ""ugly"" to unbelievable and learns how to reverse years of bad habits."
1,2,Saving Sasquatch,7 Feb. 2018,8.1,He's drowning in dog hair and prefers to keep his friends at a distance. But this self-depreciating app builder is finally ready to let folks in.
1,3,Dega Don't,7 Feb. 2018,7.7,A NASCAR enthusiast and former Marine known for his wild parties and crazy costumes makes an effort to dress up and connect with his family.
1,4,To Gay or Not Too Gay,7 Feb. 2018,9.2,"An emotional makeover helps the self-proclaimed ""Straightest Gay Guy in Atlanta"" come out to his stepmother and make peace with his past."
1,5,Camp Rules,7 Feb. 2018,8.2,The Fab Five pull off a miracle with a devoutly Christian father of six by redesigning his tiny home and giving his bride the reception she never had.
1,6,The Renaissance of Remington,7 Feb. 2018,7.8,After inheriting his grandmother's home - and her dated decor - a young entrepreneur digs his way out of a time warp to find his own style.
1,7,Below Average Joe,7 Feb. 2018,7.6,"A subdued stand-up comic who lacks self-confidence after a major weight loss is swimming in big, baggy clothes. And he still lives with his parents."
1,8,Hose Before Bros,7 Feb. 2018,8.2,"A selfless firefighter jumps at the chance to revamp his image and give his fire station a sleek, new look just in time for a community fundraiser."
2,1,God Bless Gay,15 Jun. 2018,9.1,A devoutly religious woman with a gay son and a giving heart gets a new look - and a makeover for her church's new community center.
2,2,A Decent Proposal,15 Jun. 2018,8.8,A scraggly film buff reboots his life - and his non-existent grooming habits - to give his girlfriend an award-worthy marriage proposal.
2,3,Unleash the Sexy Beast,15 Jun. 2018,8.0,A married bartender and father of two who lives like a messy bachelor needs to pull it together in time for a parent-teacher mixer.
2,4,The Handyman Can,15 Jun. 2018,8.2,A free-spirited Mr. Fix-It who lives for Burning Man makes big changes to prepare for a cross-country move. But his best friend doesn't want him to go.
2,5,Sky's the Limit,15 Jun. 2018,8.4,The Fab Five help a transgender man who's recovering from top surgery throw a party to thank his friends who've shown unconditional love and support.
2,6,Big Little Lies,15 Jun. 2018,7.0,A jobless couch potato who can't stop lying is forced to start fresh and tell his mom the truth: that he didn't actually graduate from college.
2,7,Bedazzled,15 Jun. 2018,7.9,"He's a singer-songwriter and pianist whose only 18. But he dresses like he's decades older, thanks to a godmother who's done everything for him."
