temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,A Scandal in Bohemia,24 Apr. 1984,7.9,"Sherlock Holmes finds himself evenly matched when he is employed by the King of Bohemia to retrieve an indiscreet photograph from the American actress and singer, Irene Adler."
1,2,The Dancing Men,1 May 1984,8.3,A gentleman is baffled when the childish drawings of little dancing men terrify his American wife. Sherlock Holmes soon discovers why.
1,3,The Naval Treaty,8 May 1984,8.0,An unknown thief steals an important naval treaty from a Foreign Office clerk; Sherlock Holmes sets out to find it.
1,4,The Solitary Cyclist,15 May 1984,8.3,A strange man on a bicycle follows a young music teacher as she bicycles on a lonely road to and from the city.
1,5,The Crooked Man,22 May 1984,8.1,"Col. Barclay is found dead and his wife is arrested for the murder, but Holmes is convinced a missing door key will reveal the true killer."
1,6,The Speckled Band,29 May 1984,8.3,A young woman asks for Holmes' help when her ill-tempered stepfather moves her into the same room where her sister died under mysterious circumstances.
1,7,The Blue Carbuncle,5 Jun. 1984,8.0,"When the Countess of Morcar's priceless blue carbuncle is stolen, a reformed thief is charged with the crime."
2,1,The Copper Beeches,25 Aug. 1985,8.3,"Mr. Rucastle's odd requirements for governess Violet Hunter, such as cutting her hair and wearing certain dresses, alarm her so she seeks Holmes' advice."
2,2,The Greek Interpreter,1 Sep. 1985,8.0,An unsavory gang kidnaps a Greek interpreter and forces him to relate their demands to an abductee who knows only the Greek tongue.
2,3,The Norwood Builder,8 Sep. 1985,7.8,"When a notorious retired builder is found dead, his recently-named heir is the prime suspect."
2,4,The Resident Patient,15 Sep. 1985,8.0,A mysterious man sets up a new doctor in a posh practice for a percentage of his fees.
2,5,The Red Headed League,22 Sep. 1985,8.1,What seems at first to be a harmless prank played upon a red-headed man is soon revealed to be much more: a sinister scheme devised by the Napoleon of Crime.
2,6,The Final Problem,29 Sep. 1985,8.5,Holmes and Watson travel to Europe to escape Moriarty's vengeance.
