temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Introduction to Sarabhai Family,8 Nov. 2004,8.9,"Sahil, elder son of Sarabhai family, upset with quarrel happening between his mother Maya and wife Monisha left home and reached Goa. He met a flop novel writer Nagesh. He told tragedy of his life to him."
1,2,Monisha and Maya's Birthday,15 Nov. 2004,8.6,"Monisha and Maya's birthdays are on the same day and both want to spend their birthday with Sahil, but only one of them can. They both do different things to persuade Sahil."
1,3,Cricket Match,22 Nov. 2004,8.9,"Maya arranges tickets for the cricket match final for herself and Indravadan, but Indravadan gets food poisoning because of Monisha."
1,4,Husbands Do Not Cheat,29 Nov. 2004,8.6,Monisha thinks that Sahil is cheating and is having an affair with his colleague.
1,5,Drama Rehearsal,6 Dec. 2004,8.4,Indravadhan is planning a play. But things don't go as planned.
1,6,Popat Lal,13 Dec. 2004,9.2,Maya's uncle passes away. She decides to sing at his funeral but loses her voice because of Monisha.
1,7,Indravadan Goes Missing,20 Dec. 2004,8.6,"Indravadan locks himself in a closet, with the help of Sahil, to make Maya realize his importance in her life."
1,8,Bachelor Party,27 Dec. 2004,7.8,"All of the men in the family decide to have a bachelor party, as Monisha and Maya are out of town, but get caught by their wives."
1,9,Monisha Learns a Lesson,3 Jan. 2005,7.9,"Monisha's carelessness makes Sahil go to his clinic with an empty tiffin box. Angry with this and the her other messy habits, Sahil employs a maid servant, Bindu bai."
1,10,Scrabble Competition,10 Jan. 2005,8.7,Maya challenges Indravadhan in a game of Scrabble. Who will win?
1,11,Maya's Cleanliness Drive,17 Jan. 2005,8.6,"Maya's sister, Vidisha decides to stay with Monisha when she comes to India for her wedding shopping. A disappointed Maya fakes illness and moves in with Monisha so that she can clean the house."
1,12,Rosesh Is In Love,24 Jan. 2005,8.7,"Rosesh falls in love with Maggie, a dominating socialite. Maya is deeply saddened as she believes that Maggie will snatch Rosesh away from her."
1,13,Prank on Indravadan,31 Jan. 2005,8.5,Maya invites her friend Sarita and her husband Dinesh to her. All hell breaks loose when Dinesh dies after drinking a drink made by Indravadhana.
1,14,Cookie Sharma,7 Feb. 2005,8.4,"Indravadan's attempts at romancing Maya fail. This leads to him fantasising about a film actress he has just met, Cookie Sharma."
1,15,Sonya's Prophecy,14 Feb. 2005,8.7,"Sonia, the third child of the Sarabhais, predicts that someone in the Sarabhai house will die."
1,16,Rosesh's Insomnia,21 Feb. 2005,8.4,Rosesh suffers from insomnia due to his incomplete poetry.
1,17,Maya's Bet with Monisha,28 Feb. 2005,8.6,Maya has a bet with Monisha that men cannot remember important dates.
1,18,Sahil's New Car,7 Mar. 2005,8.0,Sahil buys a car which costs him a fortune. But Rosesh drops his play's prop on it which causes the light to break.
1,19,Indravadan's Diet,14 Mar. 2005,8.4,Indravadhan starts suffering from high cholesterol. Maya decides to put him on a strict diet.
1,20,Love is Blind: Sahil and Monisha's Story - Part 1,21 Mar. 2005,9.0,Maya narrates the love story of Sahil and Monisha to Dushyant.
1,21,Love Is Blind: Sahil and Monisha's Story - Part 2,28 Mar. 2005,8.9,Maya narrates the love story of Sahil and Monisha to Dushyant.
1,22,Sahil's Personal Diary,4 Apr. 2005,7.9,Maya and Monisha discover Sahil's personal diary which reveals that he had an affair.
1,23,Ba's Spirit in Monisha: Part 1,11 Apr. 2005,9.1,"The lease for the Sarabhai residence expires. Since Ba was the only one to know where the lease papers were, the family decides to call Ba's spirit."
1,24,Ba's Spirit in Monisha: Part 2,18 Apr. 2005,9.1,Maya and Sahil discover something fishy about Ba.
1,25,Khichdi with Sarabhai,9 May 2005,8.0,"After Rosesh publishes his book, Maya decides to encourage him by fake praises."
1,26,Maya's Guests and Depinder,25 Apr. 2005,8.9,"Maya and Indravadhan land in trouble when they have to take care Dipender, their friend's pet dog."
1,27,Bury the Hatchet,9 May 2005,8.3,"Indravadhan and Rosesh decide to become friends. Similarly, Maya and Monisha decide to stay under one roof."
1,28,Sunehri,16 May 2005,7.9,"The Sarabhais hire a maid, Sunehri, who isn't as innocent as she appears to be. She robs them."
1,29,The Gadget-Freak Dushyant,23 May 2005,9.7,"Monisha damages Maya's phone but her plan to get Dushyant to repair it is met with resistance. Everyone recalls Dushyant causing a blackout. Inadvertently, Indu reveals to Dushyant that Maya's phone is not working."
1,30,Sahil and Monisha Fight,30 May 2005,7.8,"Sahil and Monisha have a fight because of Sahil's crazy patient, Neelima."
1,31,Radhabai and Vitthal Leave,6 Jun. 2005,7.7,Maya fires her servants due to their negligence.
1,32,Maya Falls in Love: Part 1,13 Jun. 2005,7.9,"Maya falls in love with Sudhanshu, an artist who agrees to paint her potrait."
1,33,Maya Falls in Love: Part 2,20 Jun. 2005,7.9,Maya considers moving in with Sudhanshu.
1,34,Men Are Rational Fools: Maya's Bet with Indu,27 Jun. 2005,8.2,Maya tries to prove to Monisha that men are rational thinkers.
1,35,Daughter-in-law Day,4 Jul. 2005,8.2,Monisha prepares a speech for Maya on the occasion of daughter-in-law day.
1,36,Maya's Nightmare,11 Jul. 2005,9.1,Sahil has got a big offer in Delhi. Sahil living far away from her and closer to Monisha's family upsets Maya and she goes to the extent of faking cancer to make sure he cancels the trip.
1,37,Sibling Rivalry,18 Jul. 2005,8.5,"Rosesh makes it through a movie audition while Sahil's work is appreciated among his peers. When the family ignores Sahil's achievement, he lists out the dangers of being in the movie business."
1,38,Monisha's Worries,25 Jul. 2005,8.3,"Monisha bemoans the lack of romance in her life and soon, the whole family finds out about this. Dushyant and Maya step in to try and resolve Sahil's problem."
1,39,Indravadan Hypnotised: Part 1,1 Aug. 2005,9.2,"A hyponitist, Siddharth Anirudh Prasad, gets insulted by Indravdhan at a party."
1,40,Indravadan Hypnotised: Part 2,8 Aug. 2005,9.3,"Maya and Sahil try to stop a sari-clad Indravadan, who thinks he is Maya, from going out. Maya speaks to Siddharth to get Indravadan out of the hypnotised state."
1,41,Maya's Antakshari,15 Aug. 2005,8.1,Maya and Monisha challenge each other in a game of Antakshari.
1,42,Baldev-Sarupa's Marital Problems,29 Aug. 2005,7.5,"Rosesh decides to quit poetry but at the same time, Baldev and Sarupa come to the Sarabhais regarding their marital problems."
1,43,Rosesh Kidnapped,5 Sep. 2005,9.1,"Rosesh is kidnapped for ransom and Indravardhan decides to bargain. When Rosesh finds out, he refuses to come home."
1,44,Monisha Becomes a Millionaire,12 Sep. 2005,8.5,Monisha's millionaire uncle names all of his property to Monisha.
1,45,Indravadan's Play,19 Sep. 2005,8.7,"Indravadhan decides to do something constructive and hence, ends up writing a play."
1,46,Indravadan's Birthday Wish,26 Sep. 2005,8.1,Indravadhan wants freedom as a birthday gift. But things end in disaster.
1,47,Sharman Kapadia's Trouble,3 Oct. 2005,7.9,"Sharman, a relative of the Sarabhais, falls in trouble after accidentally killing his colleague."
1,48,Truth Day: Rosesh's Confession,10 Oct. 2005,8.9,Maya realizes that Rosesh is married to a middle-class girl and has a child.
1,49,Maya and Indravadan's Love Story,17 Oct. 2005,8.0,It is nostalgia time for Indravadan and Maya as someone is writing a book on their marriage. Maya recounts how she loved Indravadan's poems and how these two got married.
