temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,14 Aug. 2020,8.0,"American football coach Ted Lasso is hired by a wealthy divorcée to coach the English soccer team, AFC Richmond."
1,2,Biscuits,14 Aug. 2020,8.3,"It's Ted's first day of coaching, and fans aren't happy. He makes little headway but remains undeterred as the team plays its first match."
1,3,Trent Crimm: The Independent,14 Aug. 2020,8.7,"To arrange an in-depth expose, Rebecca pairs cynical journalist Trent Crimm with Ted for a day. Ted and Roy ventured into the community."
1,4,For the Children,21 Aug. 2020,8.5,"Rebecca hosts the team's annual charity benefit, where Ted stages a reconciliation between Roy and Jamie."
1,5,Tan Lines,28 Aug. 2020,9.0,Ted reunites with his wife and son. Ted makes a bold choice and takes Jamie out of the game.
1,6,Two Aces,4 Sep. 2020,8.7,"When Jamie refuses to train, Ted turns to talented new signing Dani Rojas-and the team is struck by an age-old curse."
1,7,Make Rebecca Great Again,11 Sep. 2020,9.2,Rebecca deals with her anniversary blues. Ted signs papers and has a small breakdown. A old friend of Rebecca introduces herself to Ted.
1,8,The Diamond Dogs,18 Sep. 2020,8.9,Ted and Roy are both having relationship problems. Ted consults the Diamond Dogs while Roy lays it on the line with Keeley.
1,9,All Apologies,25 Sep. 2020,8.7,"After a series of mistakes on the pitch, pressure mounts to bench Roy. Rebecca finally reveals the truth to Ted."
1,10,The Hope That Kills You,2 Oct. 2020,9.2,Richmond plays a climactic match that will determine the fates of Ted and his club.
2,1,Episode #2.1,,,
3,1,Episode #3.1,,,
