temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,"Még pár éved van, aztán nem lesz több móka",8 Nov. 2015,8.1,"The Miklósi family enjoy a life of luxury - but the reality is that they live by all kinds of tricks. When the father resolves to turn over a new leaf, their idyll is shattered. Everyone has different ideas about how they want to get on in life. At the end the Miklósis must learn a lesson - blood really is thicker than water. But is that enough to hold a family together?"
1,2,"Nyugtató, taurin",15 Nov. 2015,8.0,"Mira begins to rebel against her parents' lifestyle. Attila wants to change, but in the face of Janka's expectations, it seems hopeless. A fortune in stolen cash lands in Márk's lap and he starts spending like there's no tomorrow."
1,3,Ropognak a húszasok,22 Nov. 2015,7.9,"Attila is contented with his new life, but Janka cannot survive without her accustomed luxuries. Mira starts working in the evenings and is sucked into the big-city nightlife. Márk's date almost ends in tragedy."
1,4,Beléptem álmaim kapuin,29 Nov. 2015,8.1,"Attila loses all his cash and it's back to crime for him - though this way Janka will give them one last chance together. The noose is tightening around Márk's neck. Mira is enjoying her freedom, but then her ""new family"" gives her a shock."
1,5,Hiába minden próbálkozás,6 Dec. 2015,8.4,Mira winds up in detox and makes a new friend. Márk has to confess his thievery to Hollós. Attila realizes that he has been ripped off with the contraband shipment; his huge debt comes to light. Janka plans a new beginning with a new man.
1,6,Az iskola nem az életre nevel,13 Dec. 2015,8.9,Márk loses the plot; he is expelled from school. Mira takes revenge on her ex-boss. Attila learns that his best friend put his son's life on the line; an unexpected chance for a pay-back arises. Janka moves to live with her lover.
1,7,"Na, ki az, aki hazudik?",20 Dec. 2015,8.9,"Janka finally has the life of her dreams. Mira wants to go abroad with Oszi, but her plans are banjaxed. Márk can avoid prison if he turns squealer. Attila also has a tough choice - which is stronger, friendship or his lust for revenge?"
1,8,"Most már látod, hogy mi van itt",27 Dec. 2015,9.0,Attila and Márk team up to wriggle out of a sticky situation. Mira turns to her mum's lover for help - his refusal freaks out mother and daughter alike. Janka is faced with a decision - should she turn her back on her family?
2,1,Összetett célok = tartós siker,6 Nov. 2016,8.2,"The Miklósis have started over with a clean slate, but their harmony is merely an illusion. Attila and Janka cannot forgive each other. Márk begins following in his godfather's footsteps again. There is an unexpected upshot to Mira's trial."
2,2,A helyzethez igazítsd a taktikádat,13 Nov. 2016,8.1,"Life in prison hits Mira hard. While her parents are attempting to get her out, Márk tries to save his own skin. Janka concludes that by Hollós' side she and the kids might enjoy the kind of security Attila could never guarantee them."
2,3,Az okos kockázatvállalás biztonságot nyújt,20 Nov. 2016,8.4,HD. 'Smart Risks Offer Security.' (Season Two) Janka leaves Attila for Endre and takes the kids with her. Feri exerts covert pressure on Endre.
2,4,A sikeres üzletben mindkét fél gyoz,27 Nov. 2016,8.5,"HD. 'For the Real Deal, Think Win-Win.' (Season Two) With Janka's help, Mira is able to give her friend a proper send-off."
2,5,A képesség nem garancia az eredményességre,4 Dec. 2016,9.5,"Márk has to talk to the mafia lord due to the unforeseen problems in the business plan, things get out of hand, and the situation escalates quickly."
2,6,"Értsd, amit csinálsz - csináld, amihez értesz",11 Dec. 2016,8.5,"HD. 'Before You Can Score, You've Got to Know the Score.' (Season Two) Endre is arrested on a trumped-up charge."
2,7,Egy nagy siker minden kudarcot ellensúlyoz,18 Dec. 2016,8.9,HD. 'A Killing Makes up for All the Set-Backs.' (Season Two) Mira and Zebegenyi figure out how all the pieces fit.
2,8,Jól megválasztott cél vezet sikerhez,25 Dec. 2016,8.2,"HD. 'Well-Chosen Targets Lead to Success.' Season Two Finale. Janka inherits Endre's empire, with a stronger Attila by her side."
3,1,"Semmi sem számít, csak az, hogy ki vagy",14 Oct. 2018,8.3,"The family have moved to Hungary's Danube Bend. Janka is running for mayor, while Attila and Feri Gáll are preparing the ground for the big project she has promised the village. Not everyone, however, is happy at the Miklósis' encroachment."
3,2,A rock and roll az nem egy tánc,21 Oct. 2018,8.1,HD. 'Rock 'n' Roll Ain't Just Something on the Radio.' (Season Three) Feri and the Miklosis near an agreement.
3,3,Egyedül fél ember vagy,28 Oct. 2018,8.3,"HD. 'On Your Own, You're Only Half a Man.' (Season Three) Mira uncovers new clues that lead back to Erika Jakab."
3,4,Vakfolt,4 Nov. 2018,8.6,"HD. 'Blind Spot.' (Season Three) When Mark's plot against his parents comes to light, he and Bianka decide to leave the country."
3,5,Jégkocka,10 Nov. 2018,8.1,HD. 'Ice Cube.' (Season Three) New evidence comes to light that raises questions concerning the circumstances of Hollos' death.
3,6,"Csak a hülyék folytatják a palávert, ha tudják, utána jön a pofon",18 Nov. 2018,8.3,HD. 'Only Fools Keep Up Their Palaver When They Know It'll End Up in a Thrashing.' (Season Three) Mark comes to terms with losing Bianca.
3,7,Dolgozni rémes,25 Nov. 2018,8.2,HD. 'Working's for Suckers.' (Season Three) A storm raging outside endangers the lives of both Janka and the baby she's about to give birth to.
3,8,Karma,2 Dec. 2018,7.3,HD. 'Karma.' Season Three Finale. The Miklosis try to get back on their feet following the trauma they've endured.
