temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,12 Sep. 2013,8.2,Thomas Shelby plans to fix a horse race; some guns turn up stolen.
1,2,Episode #1.2,19 Sep. 2013,8.4,Thomas Shelby starts a feud with a gypsy family and finally meets with Inspector Campbell to talk about the stolen guns.
1,3,Episode #1.3,26 Sep. 2013,8.3,Thomas is livid to find out that Ada and Freddie are married; IRA sympathizers tries to get information from Thomas about the stolen guns.
1,4,Episode #1.4,3 Oct. 2013,8.7,Thomas attempts to make a deal with Campbell; The Peaky's war with the Lees intensifies.
1,5,Episode #1.5,10 Oct. 2013,9.0,The Shelbys get a surprise visit by an almost forgotten relative. Thomas has one more dangerous plan with the cops.
1,6,Episode #1.6,17 Oct. 2013,9.2,"Tommy and the Peaky Blinders prepare for a big operation, that quickly becomes way trickier than they thought."
2,1,Episode #2.1,2 Oct. 2014,8.6,"When Birmingham crime boss Tommy Shelby's beloved Garrison pub is bombed, he finds himself blackmailed into murdering an Irish dissident."
2,2,Episode #2.2,9 Oct. 2014,8.5,"After murdering an Irish dissident, Tommy has no choice but to be a pawn in Inspector Campbell's treacherous political game."
2,3,Episode #2.3,16 Oct. 2014,8.7,"After joining London crime boss Alfie Solomons in a business venture, Tommy worries that Alfie's newly revealed volatility could pose a problem."
2,4,Episode #2.4,23 Oct. 2014,8.6,The Peaky Blinders take over London's Eden Club; Sabini convinces his old adversary Alfie Solomons to join forces and eradicate the gang.
2,5,Episode #2.5,30 Oct. 2014,8.8,"The Peaky Blinders are under attack. Tommy's power base in London is obliterated, and both Arthur and Michael are arrested and imprisoned."
2,6,Episode #2.6,6 Nov. 2014,9.6,Tommy plans to execute the mission given to him by Campbell: the assassination of a high-ranking member of the military establishment.
3,1,Episode #3.1,5 May 2016,8.3,"It is Thomas Shelby's long-awaited wedding day. A mysterious visitor imperils the entire Shelby family, and Tommy finds himself pulled into a web of intrigue more lethal than anything he has yet encountered."
3,2,Episode #3.2,12 May 2016,9.0,Tommy discovers the extent of the mission given to him and the extreme lengths his new paymasters are willing to go to in their quest for power. Meanwhile his own family's activities lead to escalating danger in Birmingham.
3,3,Episode #3.3,19 May 2016,8.8,Tommy travels to Wales seeking absolution and uncovers a traitor in the Economic League. Michael develops a taste for guns. Arthur gets good news.
3,4,Episode #3.4,26 May 2016,8.9,"Polly goes to confession, igniting a chain of events that reveals a trap being laid at the Shelbys' expense. Tommy plans an exit from dirty business."
3,5,Episode #3.5,2 Jun. 2016,8.5,"As the Russians test the Peaky Blinders, Tommy realises that he is seriously outmaneuvered. But he has an ace up his sleeve."
3,6,Episode #3.6,9 Jun. 2016,9.6,"As Tommy prepares to commit the most audacious crime of his career, an unexpected blow forces him to face his worst fears in a race against time."
4,1,The Noose,29 Dec. 2017,9.5,It is Christmas and Tommy Shelby receives a letter that makes him realize that he and every member of the family are in danger. He knows that it is time for the family to bury their differences and face the enemy together.
4,2,Heathens,22 Nov. 2017,9.2,"As the Shelbys come to terms with shocking events, Tommy makes a decision he may come to regret. Meanwhile, a bold new enemy makes his move."
4,3,Blackbird,29 Nov. 2017,8.7,"Luca Changretta understands the complexity of his enemy, as the weight of gypsy tradition hangs upon Arthur. But could there be a traitor within the Peaky Blinders' midst?"
4,4,Dangerous,6 Dec. 2017,8.8,"In a daring cat and mouse chase, will Tommy be outwitted by his enemies? And with the return of an old friend, Tommy tries to distract himself with other pursuits."
4,5,The Duel,13 Dec. 2017,8.9,Tommy prepares himself as the bloody battle lines are drawn between the Peaky Blinders and Changretta. A deal is struck - with potentially devastating consequences.
4,6,The Company,20 Dec. 2017,9.5,"During the fight between Goliath and Bonnie Gold events escalate. Then Audrey Changretta appears at a funeral, waving a white flag. She proposes to declare the Vendetta between her family and the Shelbys settled. And she names her price."
5,1,Black Tuesday,4 Oct. 2019,8.5,"In the wake of the Wall Street Crash, Tommy faces new dangers from unexpected quarters."
5,2,Black Cats,4 Oct. 2019,9.0,"As the Peaky Blinders come under fire, Tommy is warned about a traitor in his midst."
5,3,Strategy,4 Oct. 2019,8.7,"As the charismatic Mosley shows his hand, Tommy makes a treacherous new alliance."
5,4,The Loop,4 Oct. 2019,9.0,"Tommy agrees to dangerous new partnerships, and a Shelby party promises fireworks."
5,5,The Shock,4 Oct. 2019,8.7,"As Tommy reveals his intentions for Mosley, someone close to the Shelbys is targeted."
5,6,Mr. Jones,4 Oct. 2019,9.4,"Family tensions surface after an unexpected announcement. Tommy puts his plan for Oswald Mosley into action, but has he underestimated his opponent?"
6,1,Episode #6.1,,,
6,2,Episode #6.2,,,
6,3,Episode #6.3,,,
6,4,Episode #6.4,,,
6,5,Episode #6.5,,,
6,6,Episode #6.6,,,
7,1,Episode #7.1,,,
