temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Flashing Before My Eyes,8 Jan. 2016,8.6,A sullen manga artist with special powers becomes immersed in a mystery he once thought was solved. When the unthinkable happens it is up to him to change the course of history.
1,2,Palm of the Hand,15 Jan. 2016,8.4,Satoru must quickly adjust to resuming his life in the past and finding out just how he can stop his life from being turned upside down.
1,3,Birthmark,22 Jan. 2016,8.8,Satoru accidentally alienates two classmates with one mistake. Later he gets a horrifying look into Kayo's home life and tries to make her happy after she tells him a sad story about her past.
1,4,Accomplishment,29 Jan. 2016,9.2,"Satoru enlists Sachiko to help him invite Kayo out to a local science center. But while they enjoy themselves, Satoru starts having some intense déjà vu, which causes him to worry that he's trapped in some kind of time loop."
1,5,Getaway,5 Feb. 2016,8.3,After learning his efforts were in vain Satoru is transported back to 2006 in the midst of the manhunt for him and ends up placing his closest ally in danger.
1,6,Grim Reaper,12 Feb. 2016,8.3,"Satoru follows the only clue left behind by his mother , while it does prove useful Satoru struggles to stay one step ahead of the police."
1,7,Out of Control,19 Feb. 2016,8.4,Satoru has an amazing breakthrough which results in a third chance of sorts. This time he is determined to revamp his game plan and change the course of time.
1,8,Spiral,26 Feb. 2016,8.8,"The killer finds the hiding site, though Kayo luckily manages to avoid being seen. Realizing she's still in mortal danger, Satoru tries to find a way to save her life, but worries about whether it will actually work."
1,9,Closure,4 Mar. 2016,8.2,"Satoru and Sachiko try to secure Kayo's safety by exposing her mother's abuse to the consultants. However, she passes her breaking point and goes berserk."
1,10,Joy,11 Mar. 2016,8.7,"After saving Kayo, Satoru is trying to get close to the next victim that the killer is going to be targeting. As he is going after a lead, new information about the killer is discovered."
1,11,Future,18 Mar. 2016,8.2,"Satoru wakes up in the year 2003, having been in a coma for fifteen years following Yashiro's attempt to kill him, and discovers that he has lost most of his memories, including the killer's identity."
1,12,Treasure,25 Mar. 2016,8.8,Satoru remembers everything and Sensei will have to decide if he has to kill him or if he needs him too much to do it.
2,1,Flashing Before My Eyes,8 Jan. 2016,8.6,A sullen manga artist with special powers becomes immersed in a mystery he once thought was solved. When the unthinkable happens it is up to him to change the course of history.
2,2,Palm of the Hand,15 Jan. 2016,8.4,Satoru must quickly adjust to resuming his life in the past and finding out just how he can stop his life from being turned upside down.
2,3,Birthmark,22 Jan. 2016,8.8,Satoru accidentally alienates two classmates with one mistake. Later he gets a horrifying look into Kayo's home life and tries to make her happy after she tells him a sad story about her past.
2,4,Accomplishment,29 Jan. 2016,9.2,"Satoru enlists Sachiko to help him invite Kayo out to a local science center. But while they enjoy themselves, Satoru starts having some intense déjà vu, which causes him to worry that he's trapped in some kind of time loop."
2,5,Getaway,5 Feb. 2016,8.3,After learning his efforts were in vain Satoru is transported back to 2006 in the midst of the manhunt for him and ends up placing his closest ally in danger.
2,6,Grim Reaper,12 Feb. 2016,8.3,"Satoru follows the only clue left behind by his mother , while it does prove useful Satoru struggles to stay one step ahead of the police."
2,7,Out of Control,19 Feb. 2016,8.4,Satoru has an amazing breakthrough which results in a third chance of sorts. This time he is determined to revamp his game plan and change the course of time.
2,8,Spiral,26 Feb. 2016,8.8,"The killer finds the hiding site, though Kayo luckily manages to avoid being seen. Realizing she's still in mortal danger, Satoru tries to find a way to save her life, but worries about whether it will actually work."
2,9,Closure,4 Mar. 2016,8.2,"Satoru and Sachiko try to secure Kayo's safety by exposing her mother's abuse to the consultants. However, she passes her breaking point and goes berserk."
2,10,Joy,11 Mar. 2016,8.7,"After saving Kayo, Satoru is trying to get close to the next victim that the killer is going to be targeting. As he is going after a lead, new information about the killer is discovered."
2,11,Future,18 Mar. 2016,8.2,"Satoru wakes up in the year 2003, having been in a coma for fifteen years following Yashiro's attempt to kill him, and discovers that he has lost most of his memories, including the killer's identity."
2,12,Treasure,25 Mar. 2016,8.8,Satoru remembers everything and Sensei will have to decide if he has to kill him or if he needs him too much to do it.
