temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Boy Who Fed On Nightmares,16 Aug. 2020,8.7,"Moon Kang Tae has a striking run-in with his brother's favorite author, Go Moon Young, when she comes to his hospital to read to the children."
1,2,The Lady In Red Shoes,21 Jun. 2020,8.8,Moon Young invites Moon Sang Tae to a book signing event that ends with a nasty commotion. Kang Tae hears about a job opening in his hometown.
1,3,Sleeping witch,27 Jun. 2020,8.7,"Having followed Kang Tae, Moon Young begins teaching literature classes at his new hospital. Chaos breaks out when a VIP patient runs away."
1,4,Zombie Kid,28 Jun. 2020,9.0,"The VIP patient's incident triggers childhood memories for Kang Tae, who remains an emotional puzzle to Moon Young. Lee Sang In arrives in town."
1,5,Rapunzel And The Cursed Castle,4 Jul. 2020,8.9,"With nowhere else to take Moon Young, Kang Tae brings her back to his place. Discovering her there surprises everyone, most of all Nam Joo Ri."
1,6,Bluebeard's Secret,5 Jul. 2020,9.0,"When Moon Young offers an opportunity to Sang Tae, Kang Tae is forced to bend to their will. A patient at the hospital rattles Moon Young."
1,7,The Cheerful Dog,11 Jul. 2020,9.1,"Kang Tae takes a day off from work to spend time with Moon Young, who seems to need a distraction. While drinking alone, Joo Ri encounters Sang In."
1,8,Beauty And The Beast,12 Jul. 2020,8.9,"Seeing Moon Young with something that belongs to him upsets Sang Tae. When a belligerent visitor shows up at the hospital, Kang Tae snaps."
1,9,The King Has Donkey Ears,18 Jul. 2020,9.1,"Kang Tae and Moon Young decide to go on a day trip together. During their mountain getaway, an unforeseen situation crops up."
1,10,The Girl Who Cried Wolf,19 Jul. 2020,9.0,"Refusing to go home, Sang Tae coops himself up in a room. Kang Tae wrestles with the demons of his past and the constraints of his present."
1,11,The Ugly Duckling,25 Jul. 2020,9.4,An escaped patient shows up at the mansion. Moon Young makes an effort to change Sang Tae's mind about allowing her a place in the brothers' lives.
1,12,Romeo and Juliet,26 Jul. 2020,9.2,"Wanting to overcome his trauma, Sang Tae opens up about his darkest memory. A cruel twist of fate threatens Kang Tae's newfound happiness."
1,13,The Father of the Two Sisters,1 Aug. 2020,9.0,Sang Tae shows Kang Tae that he's been practicing drawing his greatest fear. Moon Young receives word about her father's worsening condition.
1,14,"The Hand, The Monkfish",2 Aug. 2020,8.9,The identity of the vandal who ruined Sang Tae's mural sends everyone into a state of shock. Moon Young struggles to process a devastating truth.
1,15,A Tale of Two Brothers,8 Aug. 2020,9.0,"After a chilling phone call, Kang Tae rushes over to the mansion. Later, Moon Young asks the brothers to leave her but they refuse to listen."
1,16,Finding The Real Face,9 Aug. 2020,9.5,Moon Young decides she's going to publish the new fairy tale after all. Everyone comes together at the hospital for a reading of the book.
