temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,All to Play For,8 Mar. 2019,7.9,Driver Daniel Ricciardo looks to make a statement on the track while the teams prepare for the first race of the season at the Australian Grand Prix.
1,2,The King of Spain,8 Mar. 2019,7.8,Team McLaren aims to turn things around as its driver Fernando Alonso faces Renault's Carlos Sainz Jr. at the Spanish Grand Prix in Barcelona.
1,3,Redemption,8 Mar. 2019,8.4,"At the prestigious Monaco Grand Prix, Ricciardo feels pressure by an upstate. Also, the men and women of Williams Racing fight to remain relevant."
1,4,The Art of War,8 Mar. 2019,8.2,"The troubled offtrack relationship between Red Bull and Renault hits a new low. Meanwhile, a top Formula 1 driver makes a shocking move."
1,5,Trouble at the Top,8 Mar. 2019,7.6,"A team's financial backing doesn't always translate into victories. See: McLaren. Also, the principal and co-owner of Force India faces legal issues."
1,6,All or Nothing,8 Mar. 2019,7.8,"When Force India is bought by a group led by Lawrence Stroll, the team's two drivers worry Stroll's son, Lance, may take one of their spots."
1,7,Keeping Your Head,8 Mar. 2019,7.7,"Perhaps trying too hard, Haas F1 Team driver Romain Grosjean struggles with confidence and nerves at the famed French Grand Prix."
1,8,The Next Generation,8 Mar. 2019,8.2,Sauber driver Charles Leclerc hopes to achieve something his late godfather Jules Bianchi never did: race for Ferrari.
1,9,Stars and Stripes,8 Mar. 2019,7.7,"The bitter rivalry between Renault and Haas heats up, and the mid-tier teams vie for bragging rights at the United States Grand Prix in Austin, Texas."
1,10,Crossing the Line,8 Mar. 2019,7.8,Drivers -- both legends and upstarts -- focus on ending the year on a high note as the teams prepare for the season's final race at Abu Dhabi.
2,1,Lights Out,28 Feb. 2020,7.6,The 2019 season wrapped up. Follow the drivers ups and downs and experience the thrill of Formula 1 up close.
2,2,Boiling Point,28 Feb. 2020,8.0,"As mediocrity becomes the norm for Team Haas, frustration over the poor performances threaten to tear the group apart from within."
2,3,Dogfight,28 Feb. 2020,7.8,"Carlos Sainz and Daniel Ricciardo in focus: Carlos is eager to achieve good results with his new team, which has gone through some tough times. Daniel on the other hand is trying to turn around the bad luck that he has had so far in this season."
2,4,Dark Days,28 Feb. 2020,8.3,Lewis Hamilton and the Mercedes team - long dominant in Formula 1 - face a true test of mettle on a rain-soaked track at the German Grand Prix.
2,5,Great Expectations,28 Feb. 2020,8.0,"Red Bull rivals Max Verstappen and Pierre Gasly race in Monaco, Montreal and Austria, where one driver shines and the other struggles."
2,6,Raging Bulls,28 Feb. 2020,8.8,"Alex Albon, the newest driver on the Red Bull team, wants to achieve what his predecessor couldn't. At the Belgium Grand Prix, disaster strikes."
2,7,Seeing Red,28 Feb. 2020,7.8,Charles LeClerc challenges Seb Vettel on the Ferrari Team
2,8,Musical Chairs,28 Feb. 2020,7.7,Niko Hulkenberg is under pressure to perform at Renault
2,9,"Blood, Sweat & Tears",28 Feb. 2020,7.5,"Team Williams struggles, with Gerorge Russell frustrations"
2,10,Checkered Flag,28 Feb. 2020,8.4,Pierre Gasly and Alex Albon's Second Half of the Season
