temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,25,9 Nov. 2007,9.1,"Predrag ""Svaba"" Svabic is a petty criminal from Belgrade that lives with his eccentric parents and makes a living by fraud and con scams together with his friend Aleksandar ""Ekser"" Vrancov. Owning money to a local violent criminal-in-uprising Dule Pacov, they desperately try everything they can to pay it back, but their lives take a drastic turn after Svaba's family receives a court letter from the Pancevo municipality."
1,2,Episode #1.2,16 Nov. 2007,9.0,"Svaba and Ekser try to secure wedding rings for their soon to be married friends. Ekser causes a scene in front of Dule Pacov. Radmila and Rodja inform Svaba of their inheritance, as him and Ekser form a plan to hit the road to the village Baranda in order to investigate the inherited house."
1,3,Episode #1.3,23 Nov. 2007,8.8,"After a long and problematic road, Svaba and Ekser arrive in the rural village of Baranda and start interacting with the colorful array of locals, but soon realize that the countryside life is vastly different from theirs in the city."
1,4,Episode #1.4,30 Nov. 2007,8.8,"Svaba and Ekser's car breaks down from spending the night in the mud so they're forced to stay in Baranda for a little while longer, but the village may not be as innocent and carefree as it seems and may be more like Belgrade after all."
1,5,Episode #1.5,7 Dec. 2007,8.7,"After returning to Belgrade, Ekser has no choice but to inform Dule Pacov that the house in Baranda is on sale, and he wants in on the deal. Radmila and Rodja agree not to take the house which shocks Svaba. In Baranda, Ruza and her lawyer Trifun decide on what to do with the mysterious letter and box the deceased Toza left behind."
1,6,Episode #1.6,14 Dec. 2007,9.4,"Ekser becomes homeless after not being able to pay his rent. Pacov and Aki visit Baranda, and while charming the local residents, they get into trouble with the corrupt Mayor Batric. Svaba's generation is hosting a 10 year high school reunion party at Krlja's, but Svaba is reluctant to go because his ex girlfriend that just returned from America will be there."
1,7,Episode #1.7,21 Dec. 2007,8.9,Dule Pacov feels right at home in Baranda and forms a delicate business plan. Ekser tries to reconcile with his lost love. More mysteries about the late Toza arise.
1,8,Episode #1.8,28 Dec. 2007,9.0,Radmila learns more about Toza. Ekser takes Sanja out to dinner. Svaba attends the 10 year anniversary party at Krlja's.
1,9,Episode #1.9,11 Jan. 2008,8.9,"The party ends in a disaster, Svaba and Marina run away to Baranda. Ekser continues spiraling further into depression. Desa investigates the clock that Toza left him after his death."
1,10,Episode #1.10,18 Jan. 2008,8.6,Svaba learns that Toza was his biological grandfather and starts considering moving to Baranda with Marina permanently. Desa has suspicions that Toza was involved in the murder of his father. Dule Pacov and Mayor Batric begin their scheme of modernizing Baranda.
1,11,Episode #1.11,25 Jan. 2008,8.8,"An unexpected event splits Svaba and Marina and he needs money to get back with her. Krlja is forced to close his club, but Dule Pacov comes to offer a truce and bury the hatchet with him, Svaba and Ekser, offering them to join him in his Baranda business. An unfortunate tragedy and a major falling out between two former friends happen."
1,12,Episode #1.12,1 Feb. 2008,9.0,Pacov wants to meet Svaba one on one. Ekser has a talk with Rodja. Residents of Baranda come to terms that their small village is about to be turned into something different as Batric and his committee do everything in their power to buy off land.
1,13,Episode #1.13,8 Feb. 2008,8.9,Svaba gets angry at Dule Pacov for kicking out Ruza out of Toza's house. Pacov gets into a hot situation regarding a falsified painting. Ekser meets a kid that he relates to. Renovation of Toza's house and modernization of Baranda proceed well.
1,14,Episode #1.14,15 Feb. 2008,9.0,"Baranda expansion is a big success, the tension between the corrupt officials rises. Ekser continues spending time with the boy, but he notices something is wrong with his mother. Ruza is back at home, Desa learns the ugly truth about Toza."
1,15,Episode #1.15,22 Feb. 2008,8.9,"It's winter in Baranda. The storks still haven't returned, but Dule Pacov's brainchild is finally ready to open for business. Toza's house has been completely remade into a brothel."
1,16,Episode #1.16,14 Mar. 2008,8.8,
1,17,Episode #1.17,21 Mar. 2008,8.8,
1,18,Episode #1.18,4 Apr. 2008,8.8,
1,19,Episode #1.19,11 Apr. 2008,8.8,
1,20,Episode #1.20,18 Apr. 2008,9.3,
1,21,Episode #1.21,2 May 2008,8.9,
1,22,Episode #1.22,9 May 2008,9.0,
1,23,Episode #1.23,16 May 2008,9.1,
1,24,Episode #1.24,23 May 2008,9.2,
1,25,Episode #1.25,6 Jun. 2008,9.1,
