temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Rites of Passage,3 Mar. 2013,7.7,"Ragnar goes on a trip of initiation with his son. Meanwhile, he thinks he has finally found a way to sail ships to the west. However, his beliefs are seen as insane so he chooses to go against the law."
1,2,Wrath of the Northmen,10 Mar. 2013,8.0,The stage is set for the first journey west by Ragnar Lothbrok as he gathers a crew willing to risk their lives to travel into the unknown.
1,3,Dispossessed,17 Mar. 2013,8.1,"After his successful raid, Ragnar and his crew joyously return home with their riches. Earl Haraldson doesn't hesitate to summon Ragnar to the great hall where he lays claim to the entirety of the treasure. He allows the crew to take one thing from the hoard and Ragnar selects Brother Athelstan as his slave. From Athelstan, he learns the political structure in England and wants to learn some of the language. Haraldson sanctions a new raid but insists that one of his men, Knute, join Ragnar's crew. Ragnar takes his wife this time and surprises everyone by putting ..."
1,4,Trial,24 Mar. 2013,8.3,The Vikings head back to England to see what other treasures this new world has to offer. This go round Ragnar and his crew sail out with Earl Haraldson's permission.
1,5,Raid,31 Mar. 2013,8.3,"In the Great Hall of Kattegat, a seer reads Earl Haraldson's future and tells him that Ragnar Lothbrok searches for his death."
1,6,Burial of the Dead,7 Apr. 2013,8.3,"Ragnar, weak and still hurt, must meet the Earl head-on after it comes to light that Rollo has been tortured on Haraldson's orders."
1,7,A King's Ransom,14 Apr. 2013,8.5,Three Viking ships sail upriver towards the very heart of power in eastern England: the Royal Villa of King Aelle.
1,8,Sacrifice,21 Apr. 2013,7.8,"The traditional pilgrimage to Uppsala to thank the gods brings a torrent of emotions for Ragnar, Lagertha, and Athelstan."
1,9,All Change,28 Apr. 2013,7.8,"At the behest of King Horik, Ragnar assembles a small party to travel to Gotaland (modern day Sweden) to resolve a land dispute with the area's leader, Jarl Borg."
2,1,Brother's War,27 Feb. 2014,8.7,"The battle begins between Ragnar and King Horik's forces against Jarl Borg. Borg is joined by Rollo, and this Viking clash pits brother against brother."
2,2,Invasion,6 Mar. 2014,8.3,"Four peaceful years have since passed with Ragnar as Earl. The time has come for an unlikely alliance to band together in pursuit of a common goal - a new raid on England. A storm pushes the Viking fleet to a new destination, and on the beaches of Wessex, Ragnar and his men may have met their match."
2,3,Treachery,13 Mar. 2014,8.6,"The Wessex Viking raid is in full swing and King Ecbert finds himself facing an entirely new kind of foe. While Ragnar races to dominate in the West, Jarl Borg has his own plans in store for the future of Kattegat."
2,4,Eye for an Eye,20 Mar. 2014,8.5,A meeting between two great men may pave the way for future compromise as Ragnar and Ecbert come face to face. Jarl Borg now rules Kattegat and with an iron fist and Rollo must now become the leader his people need in Ragnar's absence.
2,5,Answers in Blood,27 Mar. 2014,8.6,Lagertha and Ragnar unite once again; Aslaug must face the truth of her prophecies; Athelstan struggles to define his faith; Bjorn must once again make a choice.
2,6,Unforgiven,3 Apr. 2014,8.6,King Horik returns to Kattegat with a surprising proposition for Ragnar; Lagertha runs into a less than enthusiastic homecoming from her new husband; Athelstan becomes confidant to King Ecbert.
2,7,Blood Eagle,10 Apr. 2014,8.6,Ragnar and King Horik clash over differences; King Aelle arrives in Wessex; Ecbert has an eye on a new alliance.
2,8,Boneless,17 Apr. 2014,8.1,Princess Aslaug's latest prophecy comes to fruition; Ragnar and Horik have very different ideas about the true purpose of their trip to Wessex.
2,9,The Choice,24 Apr. 2014,8.7,Ragnar's warriors march on to King Ecbert's villa and are met with a vicious surprise.
2,10,The Lord's Prayer,1 May 2014,9.3,Ragnar returns to Kattegat after the defeat in Wessex and places his trust in those who have stayed by his side all this time.
3,1,Mercenary,19 Feb. 2015,8.7,Ragnar and Lagertha's fleets depart Kattegat once more for Wessex but this time they bring settlers.
3,2,The Wanderer,26 Feb. 2015,8.2,Lagertha and Athelstan help to set up the Viking settlement; a mysterious wanderer turns up.
3,3,Warrior's Fate,5 Mar. 2015,8.3,King Ecbert visits the developing Viking settlement as the first harvest is sown.
3,4,Scarred,12 Mar. 2015,8.2,"There is bitterness in the camp, Floki is angry over the alliance with Ecbert."
3,5,The Usurper,19 Mar. 2015,8.5,The fleet returns to Kattegat to discover tragic circumstances await.
3,6,Born Again,26 Mar. 2015,8.8,"Preparations for the Paris raid pick up speed, and Rollo thinks about the Seer's prophecy."
3,7,Paris,2 Apr. 2015,8.1,The Viking fleet causes panic in Paris; the Emperor Charles declares he will remain in the city.
3,8,To the Gates!,9 Apr. 2015,9.3,The Viking army sets out and Paris goes into lockdown as the army prepares the defense.
3,9,Breaking Point,16 Apr. 2015,8.8,The Vikings hit Paris with a second assault; Emperor Charles has to make a difficult decision.
3,10,The Dead,23 Apr. 2015,9.2,"With one last chance to take Paris, Ragnar and his Viking troops take a daring chance. Ragnar asks Bjorn for a favor that could change the course of Viking history."
