temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,2 Feb. 2017,9.3,Rebecca goes into an early labor; Randall finds his biological father; Kevin faces a personal and professional crisis; Kate finds herself at a low point.
1,2,The Big Three,27 Sep. 2016,8.7,Jack and Rebecca struggle with raising a family; Beth grows suspicious of William; Kate stresses over her weight loss; Kevin faces fallout from his meltdown.
1,3,Kyle,11 Oct. 2016,8.8,"Rebecca pays a surprise visit, Kevin makes plans to move, and Toby prepares a special day for Kate."
1,4,The Pool,18 Oct. 2016,8.9,Jack and Rebecca take their kids to the community pool; Kevin experiences his first NYC audition; Kate stalks Toby's ex; William's past sends Randall spinning.
1,5,The Game Plan,25 Oct. 2016,8.8,"Jack and Rebecca disagree about the future, Toby makes a gesture to Kate which backfires, Beth surprises Randall, while Kevin and William have a heart-to-heart."
1,6,Career Days,1 Nov. 2016,8.6,"Jack and Rebecca face a dilemma, Randall puts his foot down, Kate lands a new job, and Kevin finds himself in an unusual situation."
1,7,The Best Washing Machine in the Whole World,15 Nov. 2016,8.6,"Old tensions between Kevin and Randall resurface, Beth discovers a secret, while Toby makes a change which knocks Kate off course."
1,8,Pilgrim Rick,22 Nov. 2016,9.2,"As Jack and Rebecca face a disastrous Thanksgiving, the family gather at Randall's house for the occasion."
1,9,The Trip,29 Nov. 2016,8.8,"As Jack and Rebecca deal with Randall's questions about his parents, the siblings head to the family cabin for a post-Thanksgiving trip."
1,10,Last Christmas,6 Dec. 2016,9.1,"At Christmas, Jack and Rebecca are unexpectedly reunited with an old friend, while Kevin, Randall and Kate face different holiday dramas."
1,11,The Right Thing to Do,10 Jan. 2017,8.5,"Jack and Rebecca receive surprising news, Kate tries to help Toby, Randall feels conflicted about William and Jessie, while Kevin must make a choice."
1,12,The Big Day,17 Jan. 2017,9.0,"As Rebecca's pregnancy drags on, she forgets Jack's birthday, Nathan copes with his grief, and Randall inadvertently intervenes in a difficult marriage."
1,13,Three Sentences,24 Jan. 2017,8.9,Jack and Rebecca throw three separate birthday parties; Toby helps Kevin with a romantic gesture; Kate gets a new plan; Randall helps William with his bucket list.
1,14,I Call Marriage,7 Feb. 2017,8.5,"Jack and Rebecca receive shocking news, Randall feels pressure both at work and at home, Kate's plans are thrown off kilter, and Kevin tries to win over Sophie."
1,15,Jack Pearson's Son,14 Feb. 2017,9.0,Jack and Rebecca's Valentine's Day goes south; Toby and Kate dig deep; Kevin preps for opening night; A tightly wound Randall begins to unravel.
1,16,Memphis,21 Feb. 2017,9.5,"Randall and William take a road trip to Memphis, where Randall learns about William's past."
1,17,What Now?,7 Mar. 2017,9.1,"Jack and Rebecca argue before the beginning of her tour, Kevin faces another opening night, while the entire family gathers at Randall's for an unusual party."
1,18,Moonshadow,14 Mar. 2017,8.7,"Jack attempts to meet Rebecca and make things right; Kate, Kevin and Randall make important decisions about their respective futures."
2,1,A Father's Advice,5 Oct. 2017,9.0,"The Big Three celebrate their 37th birthdays, and make changes in their lives; Jack and Rebecca pick up the pieces after their fight."
2,2,A Manny-Splendored Thing,12 Oct. 2017,8.5,"The Pearson family visits Kevin on set in Los Angeles for a ""Manny"" taping; Jack confronts his demons."
2,3,Déjà Vu,19 Oct. 2017,8.5,Rebecca and Jack struggle to reconnect; Kate visits Kevin on set of his movie; Randall and Beth get exciting news.
2,4,Still There,26 Oct. 2017,8.4,Randall and Beth adjust to a new family dynamic; Kate books her first big gig; Kevin suffers a setback; Jack and Rebecca are visited by an unwelcome guest.
2,5,Brothers,2 Nov. 2017,8.4,Kevin and Randall attend a charity fundraiser for Sophie's hospital; Jack takes the boys camping; Rebecca deals with some unexpected news.
2,6,The 20's,9 Nov. 2017,8.5,Trick-or-treating with the kids goes awry for Jack and Rebecca; The Big Three have life-changing Halloweens.
2,7,The Most Disappointed Man,16 Nov. 2017,8.9,Randall adjusts to the foster system; Kate and Toby take the next step in their relationship; Jack and Rebecca finalize Randall's adoption.
2,8,Number One,23 Nov. 2017,9.2,Kevin goes back to his high school to accept an award; Jack and Rebecca get excited about their kids' futures.
2,9,Number Two,30 Nov. 2017,8.8,Kate and Toby's lives take an unexpected turn; Rebecca encourages Kate's singing aspirations.
2,10,Number Three,7 Dec. 2017,8.9,Randall and Beth are faced with a hard choice; Jack takes Randall on a college tour.
2,11,The Fifth Wheel,9 Jan. 2018,9.2,The Pearsons come together under unexpected circumstances; Jack surprises the family.
2,12,Clooney,16 Jan. 2018,8.5,Kate goes wedding dress shopping; Kevin embraces a new lifestyle; Randall explores William's past; Jack and Rebecca take the kids to the mall.
2,13,That'll Be the Day,23 Jan. 2018,9.4,Kevin helps Randall and Beth with a project; Kate contemplates a big gift for Toby; Jack and Rebecca talk about their future.
2,14,Super Bowl Sunday,15 Feb. 2018,9.8,Randall hosts a Super Bowl party; Kevin and Kate reconnect with their past.
2,15,The Car,6 Feb. 2018,9.2,The history of the Pearsons told through the life of the family car; Rebecca finds solace with an old friend.
2,16,"Vegas, Baby",27 Feb. 2018,8.0,Kate and Toby go to Las Vegas for their bachelor/bachelorette parties; Jack and Rebecca celebrate their anniversary.
2,17,"This Big, Amazing, Beautiful Life",6 Mar. 2018,7.6,Déjà's life unfolds from the very beginning; Randall and Beth welcome visitors to their home.
2,18,The Wedding,13 Mar. 2018,8.8,Kevin and Randall struggle to pull off the big day; Kate is flooded with memories of Jack; Deja struggles to adjust to her new living situation.
3,1,Nine Bucks,23 Oct. 2018,8.7,The Big Three find themselves on new paths as they celebrate their 38th birthdays; Jack and Rebecca go on their first date; Deja turns a corner.
3,2,A Philadelphia Story,30 Oct. 2018,8.3,The Pearsons gather to support Kevin at his movie premiere; The teenage Big Three make college decisions.
3,3,Katie Girls,9 Oct. 2018,8.7,The Pearsons rally around Kate as she undergoes a medical procedure.
3,4,Vietnam,16 Oct. 2018,8.2,A young Jack makes a decision that will impact the course of his life.
3,5,Toby,23 Oct. 2018,8.3,Kate and Toby try to keep busy while waiting for big news; Randall embarks on a new journey; Kevin meets someone from his father's past.
3,6,Kamsahamnida,30 Oct. 2018,8.5,"Kate struggles with Toby's depression; Randall makes time for Kevin, who obsesses about Jack's past."
3,7,Sometimes,13 Nov. 2018,8.5,"Kevin and Zoe land in Vietnam; in the past, Jack and Rebecca take a road trip to Los Angeles; Jack's war story continues to be revealed."
3,8,Six Thanksgivings,20 Nov. 2018,8.3,"The Pearsons have an unconventional Thanksgiving dinner; In the past, Jack, Rebecca and the big three spend Thanksgiving with Miguel."
3,9,The Beginning Is the End Is the Beginning,27 Nov. 2018,9.0,Kevin arrives at the village his father served in; Kate pursues a new opportunity; Randall debates Councilman Solomon Brown; Jack struggles to get through to his brother.
3,10,The Last Seven Weeks,15 Jan. 2019,8.5,Randall's campaign comes to a close. Kevin meets someone from Zoe's past. Kate and Toby get ready for the baby.
3,11,Songbird Road: Part One,22 Jan. 2019,9.2,Rebecca and the Big Three reckon with secrets Jack kept from them; Jack's Vietnam story continues to be revealed.
3,12,Songbird Road: Part Two,12 Feb. 2019,8.6,Kevin attempts to help Nicky; Randall and Kate reflect on differing memories of their childhood.
3,13,Our Little Island Girl,19 Feb. 2019,8.8,Beth's trip home to care for her mother sparks an unexpected realization.
3,14,The Graduates,5 Mar. 2019,8.6,"Kevin keeps a secret from Zoe. Randall gets unexpected news about Deja. In the past, the Big Three graduate from High School."
3,15,The Waiting Room,12 Mar. 2019,8.3,Tensions run high as the Pearsons await news about Kate's pregnancy.
3,16,Don't Take My Sunshine Away,19 Mar. 2019,8.2,Beth and Randall adjust to their new normal. Kate and Toby spend time with baby Jack. Zoe and Kevin work on their relationship.
3,17,R & B,26 Mar. 2019,8.8,A history of Beth and Randall through the ages.
3,18,Her,2 Apr. 2019,9.2,Rebecca helps Kate and Toby care for baby Jack. Zoe and Kevin look after Tess and Annie. Randall and Beth consider how to move forward.
