temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Crocodile's Dilemma,12 Oct. 2014,9.4,"A ruthless, manipulative man meets a small town insurance salesman and sets him on a path of destruction."
1,2,The Rooster Prince,19 Oct. 2014,8.5,"Molly begins to suspect that Lester is involved in the murders, but her boss points her in a different direction. Meanwhile, Malvo investigates the plot against a man known as the Supermarket King."
1,3,A Muddy Road,26 Oct. 2014,8.7,"Malvo flips the script on the blackmail operation. Molly sets a trap, and Gus debates whether he should come clean. Lester's return to work has complicated repercussions."
1,4,Eating the Blame,2 Nov. 2014,9.0,"When Gus tries to right a wrong, Malvo embraces his alter ego. Lester finds himself in a surprising situation, and Molly uncovers a promising lead."
1,5,The Six Ungraspables,9 Nov. 2014,8.6,"When Lester has a close call, Molly makes an unorthodox decision. Gus weighs some neighborly advice, and Malvo gets what he wants."
1,6,Buridan's Ass,16 Nov. 2014,9.4,"Malvo executes his master plan, while Lester attempts to craft one of his own. Gus and Molly team up in Duluth."
1,7,Who Shaves the Barber?,23 Nov. 2014,9.0,"Molly recuperates from her injury, while Malvo looks to dispatch a syndicate in Fargo. Lester continues his descent into darkness with the unfolding of his plan."
1,8,The Heap,30 Nov. 2014,8.7,"Molly faces pressure to close the case, while Lester starts to feel like a new man."
1,9,"A Fox, a Rabbit, and a Cabbage",7 Dec. 2014,9.4,"Lester has an unexpected encounter, Malvo changes course, and a new investigation leads Molly down a familiar path."
1,10,Morton's Fork,14 Dec. 2014,9.4,"Molly takes the lead, while Gus pursues a hunch. Lester manipulates a situation, and Malvo finds a new target."
2,1,Waiting for Dutch,12 Oct. 2015,8.9,"In a small Minnesota town, a shooting at a diner disrupts the lives of a state officer, a married couple, and a North Dakota crime syndicate."
2,2,Before the Law,19 Oct. 2015,8.6,"The Gerhardts receive a surprising offer, while two unlikely murderers do their best to clean up their mess."
2,3,The Myth of Sisyphus,26 Oct. 2015,8.7,"The Gerhardts' search for Rye intensifies, Lou takes a trip to Fargo, and Peggy overhears a new theory about the Waffle Hut shooter."
2,4,Fear and Trembling,2 Nov. 2015,8.8,"The Gerhardts respond to Kansas City's proposal, while Hanzee finds a new lead in Rye's disappearance. Lou questions Ed and Peggy."
2,5,The Gift of the Magi,9 Nov. 2015,9.3,Floyd takes action and Charlie tries to prove himself; Peggy and Ed disagree about what to do next; Lou finds himself sidelined during Ronald Reagan's campaign tour.
2,6,Rhinoceros,16 Nov. 2015,9.4,"With Ed and Charlie in custody, the Gerhardts arrive at the police station, forcing Lou and Hank to try and prevent any more bloodshed."
2,7,"Did You Do This? No, You Did It!",23 Nov. 2015,9.0,"The police bring in Floyd for questioning, in an attempt to make her talk. Bear goes on a ride with Simone. Karl keeps an eye on Lou's family."
2,8,Loplop,30 Nov. 2015,9.5,"Ed and Peggy hold Dodd hostage in a secluded cabin and try to strike up a deal with the Gerhardts, while Hanzee attempts to hunt them down."
2,9,The Castle,7 Dec. 2015,9.5,"In an attempt to stop the Kansas City mob, the police decide to use Ed and Peggy as bait. Hanzee betrays the Gerhardts and takes revenge."
2,10,Palindrome,14 Dec. 2015,8.6,"In the events following the motel massacre, Hanzee goes after Ed and Peggy."
3,1,The Law of Vacant Places,20 Apr. 2017,8.6,"A twisted sibling rivalry leads to murder, mobsters and cutthroat competitive bridge in a small Midwestern town."
3,2,The Principle of Restricted Choice,26 Apr. 2017,8.1,"Gloria deals with the aftermath of the crime, Varga makes a move, and Ray and Nikki move on to their next plan."
3,3,The Law of Non-Contradiction,3 May 2017,8.0,Gloria revisits her stepfather's past to try and find some answers.
3,4,The Narrow Escape Problem,10 May 2017,8.4,Emmit and Sy try to sort things out; Nikki and Ray track down some collateral; Gloria learns more about Maurice.
3,5,The House of Special Purpose,17 May 2017,8.4,Nikki and Ray's retaliation has consequences for Emmit; Gloria and Winnie start connecting the dots.
3,6,The Lord of No Mercy,24 May 2017,8.8,Gloria and Winnie get closer to the truth; Emmit tries to make things right; Nikki and Ray prepare for payback; Varga cleans up a mess.
3,7,The Law of Inevitability,31 May 2017,8.5,Gloria tries to work around the system; Nikki finds herself in a familiar place; Varga comes up with an alternative plan; Emmit goes to dinner.
3,8,Who Rules the Land of Denial?,7 Jun. 2017,9.1,Nikki struggles to survive; Emmit gets spooked; Sy joins Varga for tea.
3,9,Aporia,14 Jun. 2017,8.9,Emmit sits down with Gloria; Nikki negotiates a deal.
3,10,Somebody to Love,21 Jun. 2017,8.6,Gloria follows the money; Nikki plays a game; Emmit learns a lesson about progress from Varga.
4,1,Welcome to the Alternate Economy,27 Sep. 2020,7.4,"The head of an African American crime syndicate goes to war with the Italian mafia in Kansas City, Missouri during the 1950s."
4,2,The Land of Taking and Killing,27 Sep. 2020,7.4,"The Smutnys receive unexpected guests, Josto and Gaetano reunite, Loy challenges the status quo and Oraetta is caught."
4,3,Raddoppiarlo,4 Oct. 2020,7.7,"Deafy and Odis join forces, Josto seeks revenge, Oraetta finds new employment, Gaetano makes a move and Zelmare and Swanee help the Smutnys with their debt."
